Código;Título;Descrição;Notas de aplicação;Exemplos de NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;
200;EXECUÇÃO DA POLÍTICA EXTERNA;"Relativo à definição e acompanhamento das políticas conjuntas de Portugal com outros Estados bem como à definição e acompanhamento das políticas de organismos internacionais de que Portugal é membro.
Relativo, ainda, à definição e acompanhamento da execução de acordos, protocolos ou outros compromissos de cooperação interinstitucional celebrados no quadro das relações internacionais estabelecidas pelo Estado português.";"Acompanhamento político e diplomático das relações internacionais bilaterais e multilaterais#
Acompanhamento dos compromissos institucionais e a realização de projetos e ações de execução da política externa concretizadas por organismos da Administração Central, Regional ou Local#";;"A produção de informações no âmbito do SIRP deve ser considerada em ""Planeamento e gestão estratégica/ Produção de informações estratégicas e de segurança"" (150.30)#
A componente protocolar da organização de cerimónias e receções oficiais deve ser considerada no âmbito do evento a que diz respeito#";;;;;;;;;;;;;;;;;;;;
200.10;Definição de políticas conjuntas e de instrumentos de regulação;"Compreende as atividades que consubstanciam a participação na negociação, preparação e fixação de instrumentos reguladores das relações internacionais, de decisões tomadas no âmbito da cooperação intergovernamental da União Europeia, bem como de instrumentos de regulação comunitária.
Compreende, igualmente, a participação na elaboração de normas técnicas europeias e internacionais.";"Atividades preparatórias de cimeiras, encontros e reuniões políticas ou técnicas, e na representação nacional nas mesmas cimeiras ou encontros de chefes de Estado e de Governo, reuniões e conselhos de ministros de diferentes Estados, reuniões de dirigentes, de comités e de grupos de peritos internacionais#
Participação política e técnica (de quaisquer entidades de âmbito nacional, regional ou local) na elaboração de tratados, acordos, protocolos, tomadas de posição comuns, memorandos de entendimento, cartas de princípios e instrumentos similares que regulam as relações internacionais, bilaterais ou multilaterais. Inclui os acordos de geminação estabelecidos no quadro das relações internacionais#
Trabalhos preparatórios da participação portuguesa na defesa das posições nacionais sobre as políticas da União Europeia em qualquer domínio, e a participação política e/ou técnica na elaboração de políticas comuns, programas-quadro, recomendações, diretivas, regulamentos ou outros instrumentos políticos e regulamentares de âmbito comunitário#
Trabalhos preparatórios da participação portuguesa em organismos de normalização europeus ou internacionais#";;"A definição da política externa portuguesa, tal como a definição das demais políticas, deve ser considerada em ""Planeamento e gestão estratégica/ Definição e avaliação de políticas"" (150.10);
Os processos de vinculação do Estado português a tratados e acordos internacionais, a respetiva publicitação e a publicitação da vinculação de outros Estados-parte, bem como os processos de transposição para o ordenamento nacional de diretivas comunitárias e de normas técnicas europeias ou internacionais, devem ser considerados em ""Ordenamento jurídico e normativo/ Elaboração de diplomas jurídico-normativos e de normas técnicas"" (100.10);
A celebração de acordos e protocolos de cooperação interinstitucional em que não participem organismos estrangeiros ou internacionais não está subordinada à política externa, pelo que deve ser considerada em ""Planeamento e gestão estratégica/ Definição e avaliação de políticas"" (150.10).";;;;;;;;;;;;;;;;;;;;
200.10.001;Definição e acompanhamento de posições nacionais no âmbito das relações bilaterais e multilaterais entre países;"Preparação e apresentação da posição de Portugal no âmbito das negociações, nas reuniões de organismos ou em instâncias multilaterais/bilaterais.
Inicia com o envio da agenda e termina com a remessa do contributo.
Inclui os contributos de embaixadas e de ministérios setoriais, demonstrativos da posição assumida por Portugal e do processo negocial empreendido nos vários grupos de trabalho preparatórios das reuniões.";"Relações bilaterais ou multilaterais (com países de fora da União Europeia ou com Estados-Membros da União Europeia)#
Elaboração de contributos para as cimeiras internacionais e reuniões ministeriais no quadro internacional#
Acompanhamento no âmbito de processos multilaterais#

";"Relações bilaterais / multilaterais  em matéria consular#
Relações bilaterais / multilaterais em matéria de ambiente#
Relações bilaterais / multilaterais em matéria de educaçãor#
Relações bilaterais / multilaterais em matéria de justiçar#
Relações bilaterais / multilaterais em matéria de culturar#
Relações bilaterais / multilaterais em matéria de saúder#
Relações bilaterais / multilaterais em matéria de segurançar#
Relações bilaterais / multilaterais em matéria de defesar#
Relações bilaterais / multilaterais em matéria de económicar#
Relações bilaterais / multilaterais em matéria de empregor#
Relações bilaterais / multilaterais em matéria de formação profissionar#
Relações bilaterais / multilaterais em matéria de relações e condições de trabalho, incluindo a segurança e saúde no trabalho#";"A definição de políticas nacionais setoriais deve ser considerada em 150.10.100 – Definição de políticas setoriais#
A definição de posições nacionais e de tomada de posição conjunta no âmbito da União Europeia devem ser classificadas em 200.10.400 – Definição conjunta das opções estratégicas da União Europeia e em 200.10.501 – Definição e coordenação das políticas setoriais pelos Estados Membros da União Europeia, respetivamente# ";Lei Constitucional 1/2005#;CRP, art 197#;PC;S;CM#;"AP#
AR#";"Assessorar#
Decidir#



";"100.10.001#
150.10.001#
150.10.100#
150.10.701#
200.10.002#
200.10.800#
200.20.001#
550.10.009#
550.30.005#
550.30.200#
550.30.400#
800.10.301#";"Produção e comunicação de atos legislativos#
Definição de políticas globais#
Definição de políticas setoriais#
Reunião de órgãos executivos#
Representação e participação em organizações internacionais#
Celebração de acordos e outros atos internacionais#
Acompanhamento da situação internacional#
Vigilância da fronteira#
Extração e proteção de contingentes e Forças Nacionais destacadas#
Defesa do território das nações aliadas#
Vigilância dos espaços sob soberania e jurisdição nacional, da circulação e segurança das linhas de comunicação#
Monitorização de índices da qualidade ambiental#


";"Sucessão (sucessor)#
Complementar#
Complementar#
Cruzada#
Cruzada#
Sucessão (antecessor)#
Síntese (sintetiza)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Cruzada#";Média;N;5;;"Critério gestionário:
Prazo para imputação de responsabilidade pela negociação e definição de posições nacionais, decorrente de escrutínio público (eleições) ou da não recondução no mandato.
Considerou-se para a definição do prazo o tempo do mandato de maior duração: 5 anos.
";Data de encerramento do processo;C;"Complementaridade informacional:
É complementar dos
PN 150.10.001 - Definição de políticas globais;
PN 150.10.100 - Definição de políticas setoriais

Sendo necessária uma visão do conjunto para o entendimento global da negociação e definição das posições nacionais.";;
200.10.002;"Representação e participação em organizações internacionais

";"Concretização de ações nas quais o Estado tem interesse e direito de participação, enviando representantes portugueses que tomam parte e intervêm em reuniões ou encontros de organismos e estruturas internacionais.
Inicia com o convite ou convocatória e termina com a realização de relatório final.
Inclui compilação de documentação de suporte, eventual consulta de entidades.";Participação de entidades da administração central (direta e indireta), local e do setor empresarial em reuniões que envolvam organismos e instituições internacionais congéneres#;"Elaboração de contributos para as estruturas da Organização das Nações Unidas (ONU)#
Elaboração de contributos para as estruturas da Organização do Tratatdo do Atlântico Norte (NATO)# Elaboração de contributos para as estruturas da Comunidade dos Países de Lingua Portuguesa (CPLP)#
Elaboração de contributos para as estruturas da Organização para a Segurança e Cooperação na Europa (OSCE)#
Elaboração de contributos para reuniões no âmbito do controlo de armamento#
";;"Lei 3/2004#
Lei 4/2004#
Lei 105/2007#
";;PC;S;AP#;AP#;Assessorar#;"150.10.001#
150.10.100#
200.10.001#
200.10.800#
200.20.500#
200.30.301#
200.30.302#
200.30.303#
550.30.200#
550.30.600#
550.30.601#";"Definição de políticas globais#
Definição de políticas setoriais#
Negociação e definição de posições nacionais#
Celebração de acordos e outros atos internacionais#
Organização de visitas de Estado ou equiparadas#
Conceção de programas de cooperação e ajuda pública ao desenvolvimento#
Execução de projetos de cooperação para o desenvolvimento#
Acompanhamento e avaliação da execução de projetos de cooperação e ajuda pública ao desenvolvimento#
Defesa do território das nações aliadas#
Participação em operações de resposta a crises#
Participação em missões de apoio à paz#";"Cruzada#
Complementar#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#";Média ;N;;;;;;;;
200.10.002.01;Representação e participação em organizações internacionais: preparação;"Inicia com o agendamento da reunião / encontro e termina com o envio de convocatória.
Inclui apresentação de propostas para discussão, apresentação de moções, preparação de propostas de deliberação, produção de recomendações, e definição de ordem de trabalhos.";;;;;;;;;;;;;;;;10;;"Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).";Data de encerramento do processo;E;"Densidade informacional:
Informação sintetizada em
PN 200.10.002.02 - Representação e participação em organizações internacionais: realização.";;
200.10.002.02;Representação e participação em organizações internacionais: realização;"Inicia com o controlo de presenças e termina com a redação definitiva da ata / relatório.
Inclui gestão de intervenções, registo da discussão, registo das votações e das declarações de voto e elaboração da ata em minuta.";;;;;;;;;;;;;;;;10;;"Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).";Data de encerramento do processo;C;"Densidade informacional:
Sintetiza informação de
PN 200.10.002.01 - Representação e participação em organizações internacionais: preparação.
A informação não é recuperável noutro PN.";;
200.10.100;Reivindicação do cumprimento de instrumentos ratificados por Portugal;Ações de reclamação ou queixa junto de organizações internacionais, por parte de Governos, organizações internacionais, respeitante ao não cumprimento de instrumentos normativos a que Portugal se encontra vinculado.;"Violação de normas internacionais ratificadas por Portugal#
Incumprimento de convenções, protocolos, regulamentos, ou outros instrumentos normativos internacionais ratificados por Portugal#
";;;;;;;;;;;;;;;;;;;;;;
200.10.200;Preparação e negociação de atos legislativos vinculativos da União Europeia ;"Estabelecimento e revisão de acordos vinculativos entre os países da UE, onde se encontram consagrados os objetivos da UE, as regras por que se regem as instituições europeias, o processo de tomada de decisões e a relação entre a UE e os países que a constituem, e ao abrigo dos quais as instituições europeias adotam a legislação a aplicar (Tratados), bem como de atos legislativos obrigatórios, de alcance geral  (Regulamento e Diretiva) ou específico (Decisão), que as instituições da UE adotam para exercer as suas competências e atribuições e através dos quais se procura, por um lado a unificação do direito, por outro, a necessária conciliação da unidade do direito da União com a manutenção das diversas peculiaridades nacionais, com uma aproximação das diversas legislações.
Inicia com o pedido remetido pela entidade proponente e termina com a aprovação.
Inclui a compilação de pareceres dos serviços, das versões provisórias e definitiva dos articulados, de documentos técnicos, apontamentos, pontos de situação, pareceres dos ministérios setoriais, memorandos e notas verbais atestando a conclusão do processo de aprovação.";"Preparação e negociação de Tratados da União Europeia e respetiva revisão#
Elaboração de Regulamentos# 
Preparaçao e negociação de Decisões e Diretivas#
";;;"Decreto do Presidente da República 31/2008#
DL 121/2011#";;PE;S;DGAE#;ACE#;"Apreciar#
Assessorar#
Decidir#";;;;;;;;;;;;;
200.10.201;Preparação e negociação de atos legislativos não vinculativos da União Europeia ;"Elaboração de atos legislativos de alcance geral ou específico, não vinculativos.
Inicia com o pedido remetido pela entidade proponente e termina com a aprovação.
Inclui compilação de pareceres dos serviços, de versões provisórias e definitiva dos articulados, de documentos técnicos, apontamentos, pontos de situação, pareceres dos ministérios setoriais, memorandos e notas verbais atestando a conclusão do processo de aprovação.";"Preparação de Recomendações UE#
Preparação de Pareceres UE#
";;;"Decreto do Presidente da República 31/2008#
DL 121/2011#";;PE;S;DGAE#;ACE#;"Apreciar#
Assessorar#
Comunicar#
Decidir#";;;;;;;;;;;;;
200.10.300;Ações de controlo da aplicação do Direito da União Europeia;"Coordenação da posição nacional relativa à má aplicação do direito da UE e à falta de transposição de diretivas na fase pré contenciosa formal e informal. 
Inicia com o pedido de informação requerido pela Comissão Europeia, oficiosamente ou na sequência de queixas, ou nos casos da transposição de diretivas com a notificação de incumprimento da Comissão e termina com o arquivamento da ação ou a sua passagem à fase contenciosa.
Inclui diligências efetuadas junto do Ministério setorial competente.";"Constatação da existência de uma violação grave e persistente formulada por um terço dos Estados-Membros ou pela Comissão# 
Fundamentação da existência de risco evidente de violação grave dos princípios da União por um Estado-Membro (por iniciativa da Comissão, do Parlamento ou de um terço dos Estados-Membros)#
Processos no âmbito das plataformas da Comissão Europeia EU PILOT e Rede SOLVIT#";;A aplicação de sanções a países terceiros deve ser considerada em 200.10.200 – Preparação e negociação de atos jurídicos vinculativos da EU# ;"Decreto do Presidente da República 31/2008#
DL 121/2011#";;PE;S;DGAE#;ACE#;"Apreciar#
Assessorar#
Decidir#";;;;;;;;;;;;;
