Estado;Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;
;250;ADMINISTRAÇÃO DE RELAÇÕES DE TRABALHO;"Relativo às atividades de estabelecimento e gestão de relações individuais de trabalho nos órgãos e serviços públicos, de caráter permanente, transitório ou eventual, subordinado ou autónomo, remunerado ou não.
Relativo, ainda, às atividades de gestão da relação coletiva de trabalho, no que se inclui a negociação e a contratação coletiva.";"As relações individuais de trabalho aqui consideradas abrangem todos aqueles que exercem um mandato, cargo, emprego ou função pública (em sentido lato) por eleição, nomeação, designação, contratação ou qualquer outra forma de investidura, vinculo ou acordo. As relações de trabalho podem, pois, ter configurações diversas#
A negociação coletiva respeita às relações de cada entidade com as respetivas comissões de trabalhadores, sindicatos ou outras entidades representativas de trabalhadores#";"Vínculo estabelecido com trabalhador ou funcionário público (relação de emprego)#
Designação e/ou posse de titulares de cargos políticos#
Designação e posse de titulares de altos cargos públicos e de titulares de cargos dirigentes#
Designação de individualidade ou representante institucional para concelhos, comissões, grupos de trabalho ou entidades similares#
Acolhimento temporário de pessoas em regime de voluntariado, estágio ou outros#";"Excluídas as relações de trabalho decorrentes de contratos de aquisição de serviços, cujo estabelecimento e gestão deve ser considerado em ""Administração de direitos, bens e serviços / Aquisição, venda, abate ou permuta"" (300.10);
A formação de recursos humanos / qualificação do mercado de trabalho deve ser considerada em ""Prestação de serviços de ensino e formação"" (750);
O apoio psicossocial orientado à integração social ou profissional do trabalhador deve ser considerado em ""Prestação de serviços de proteção e inclusão social/ Serviços e equipamentos sociais (650.20);
As consultas ou outros atos clínicos realizados no quadro da medicina no trabalho devem ser considerados em ""Prestação de cuidados de saúde/ Serviços clínicos"" (700.20).";;;;;;;;;;;;;;;;;;;;;;;;
;250.10;Estabelecimento e cessação de relações de trabalho;"Compreende as atividades de processamento administrativo do recrutamento/seleção e do provimento de pessoas no desempenho de funções e de cargos públicos (trabalhadores, funcionários públicos, dirigentes, membros do Governo e outros titulares de cargos políticos não eleitos por sufrágio universal), bem como os atos de posse no cargo ou função, quando haja lugar aos mesmos (no que se inclui a posse de titulares de cargos políticos eleitos por sufrágio universal). Inclui a designação de individualidades ou representantes institucionais para conselhos, comissões, grupos de trabalho ou missões específicas, remunerados ou não.
Inclui, igualmente, o recrutamento de voluntários e a definição dos termos da realização do trabalho voluntário (não obstante o voluntário nunca ocupar um designado posto de trabalho).
Compreende, ainda, os procedimentos de cessação da relação de trabalho, independentemente de ter sido estabelecida por nomeação, contrato, ou outra forma de acordo entre as partes.";"Os procedimentos de seleção podem revestir a forma de convite, proposta, concurso, eleição ou outros#
O provimento pode revestir a forma de contrato de trabalho, de despacho ou de decreto de nomeação/recondução, podendo ser ou não objeto de publicação em Diário da República#
A cessação de uma determinada relação de trabalho pode corresponder ao fim da relação jurídica de emprego ao fim do desempenho de uma função ou cargo determinado, ou ao fim da realização de trabalho voluntário#";"Titulares de cargos políticos não eleitos por sufrágio universal#
Chefias de missões diplomáticas e de representações do Estado#
Titulares de altos cargos públicos#
Titulares de cargos de direção ou coordenação#
Membros de órgãos de gestão e administração#
Membros de órgãos consultivos#
Representantes de organismos em comissões, conselhos e grupos de trabalho#
A cessação de uma determinada relação de trabalho pode corresponder ao fim da relação jurídica de emprego (por exemplo, por negociação com o trabalhador, por despedimento ou por reforma) ao fim do desempenho de uma função ou cargo determinado (por exemplo, por exoneração, por demissão ou por fim da comissão de serviço), ou ao fim da realização de trabalho voluntário#";"Os processos de eleição por sufrágio universal devem ser considerados em "" Administração da participação cívica/ Administração eleitoral"" (950.10) - concretamente, as eleições para a Presidência da República, Assembleia da República, Assembleias Legislativas das Regiões Autónomas, Autarquias Locais e Parlamento Europeu.";;;;;;;;;;;;;;;;;;;;;;;;
;250.10.001;Candidatura espontânea a trabalho;"Análise de candidaturas a trabalho na Administração, fora do âmbito de um procedimento concursal.
Inicia com receção da candidatura e termina com resposta ao candidato.
Inclui avaliação ao curriculo do candidato e verificação da eventual necessidade de trabalho na área proposta.";Todas as candidaturas genéricas de procura ativa de trabalho#;;"A candidatura a postos de trabalho colocados a concurso deve ser considerada em 250.10.101 – Procedimento concursal para preenchimento de postos de trabalho#
A candidatura para trabalho em regime de voluntariado, deve ser considerada em 250.10.301 – Seleção de cidadãos para trabalho voluntário#";DL 4/2015#;;PC;N;AP#;;;"150.20.300#
150.40.500#
300.30.008#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#";Média;S;1;;"Conjugação dos critérios:
- Legal
[DL 4/2015], CPA, artº.s 82 e 86, relativos à obrigatoriedade de resposta por parte da Administração e aos prazos previstos para a mesma.
""Artigo 82.º, Direito dos interessados à informação
1 - Os interessados têm o direito de ser informados pelo responsável pela direção do procedimento, sempre que o requeiram, sobre o andamento dos procedimentos que lhes digam diretamente respeito, bem como o direito de conhecer as resoluções definitivas que sobre eles forem tomadas.
2 - As informações a prestar abrangem a indicação do serviço onde o procedimento se encontra, os atos e diligências praticados, as deficiências a suprir pelos interessados, as decisões adotadas e quaisquer outros elementos solicitados.
3 - As informações solicitadas ao abrigo do presente artigo são fornecidas no prazo máximo de 10 dias.
Artigo 86.º, Prazo geral
1 - Exceto quanto ao prazo de decisão do procedimento e na falta de disposição especial ou de fixação pela Administração, o prazo para os atos a praticar pelos órgãos administrativos é de 10 dias.
2 - É igualmente de 10 dias o prazo para os interessados requererem ou praticarem quaisquer atos, promoverem diligências, responderem sobre os assuntos acerca dos quais se devam pronunciar ou exercerem outros poderes no procedimento.""
- Utilidade administrativa
Utilização para processamento do PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão
Não existe responsabilidade sobre o acto, uma vez que as candidaturas são apresentadas fora do âmbito de um procedimento concursal.";Data de encerramento do processo;E;"Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (quantificação / tipificação dos casos)
PN 300.30.008 - Registo de documentos e informação (casos tratados - proponente, data da candidatura).
";;;;;;
;250.10.100;Procedimento concursal para preenchimento de cargos de direção, coordenação e controlo;"Seleção de candidatos para satisfação de necessidades de recrutamento de cargos de direção superior e intermédia.
Inicia com a proposta de abertura de concurso e termina com a indicação do nome do(s) candidato(s) selecionado(s9 ou com a proposta de designação.
Inclui definição dos requisitos de candidatura e métodos de seleção, elaboração do aviso de abertura de concurso, publicitação do concurso, receção e apreciação de candidaturas, audiência de interessados, aplicação dos métodos de seleção, apuramento e ordenação dos candidatos.";"Cargos de direção superior#
Cargos de direção intermédia#";"Direção superior: Secretário-Geral, Secretário-Geral Adjunto, Adjunto do Secretário-Geral,  Diretor-Geral, Subdiretor-Geral, Diretor, Diretor Adjunto, Inspetor-Geral, Inspetor-Geral Adjunto, Diretor Municipal, Presidente, Vice-Presidente, Vogal#
Direção intermédia: Diretor de Serviços, Diretor de Departamento, Chefe de Divisão, Coordenador técnico, Coordenador, Chefe de Equipa de Projeto#";"As designações devem ser consideradas em 250.10.501 - Designação para cargos de direção, coordenação e controlo#
O cargo de chefe de equipa multidisciplinar deve ser considerado em 250.10.500 – Designação para cargos ou funções de confiança ou de interesse público#";"DL 8/2012#
Lei 49/2011#
Lei 64/2011#
DL 71/2007#
Lei 48/2006#
DL 2/2004#";;PC;S;AP#;CRESAP#;"Assessorar#

";"150.20.200#
150.20.300#
150.20.403#
150.40.500#
250.10.501#
250.10.401#
250.20.001#
300.30.008#
500.10.001#
500.40.500#";"Planeamento de necessidades de recursos humanos#
Avaliação de atividades#
Caracterização de recursos humanos#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Designação para cargos de direção, coordenação e controlo#
Nomeação para postos de trabalho#
Registo biográfico de trabalhadores#
Registo de documentos e informação#
Realização de auditorias#
Processamento de recursos hierárquicos#";"Sucessão (sucessor)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar)#
Cruzada#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
Nota: A prescrição do procedimento interrompe-se com a citação do demandado em processo jurisdicional.
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (quantificação / tipificação dos casos)
250.10.501 - Designação para cargos de direção, coordenação e controlo (resultado do procedimento concursal)
250.20.001 - Registo biográfico de trabalhadores (resultado do procedimento concursal)
PN 300.30.008 - Registo de documentos e informação (candidaturas entregues)
";;;;;;
;250.10.101;Procedimento para preenchimento de postos de trabalho;"Seleção de candidatos para ocupação imediata de posto de trabalho ou para constituição de reservas de recrutamento previstas no quadro ou mapa de pessoal e para mudança de nível.
Inicia com a proposta de abertura de concurso devidamente cabimentada e respetivo despacho ou procedimento interno de recrutamento e termina com a homologação da lista de classificação final ou indicação do nome dos candidatos selecionados.
Inclui definição dos requisitos de candidatura e métodos de seleção, elaboração do aviso de abertura de concurso, publicitação do concurso, receção e apreciação de candidaturas, audiência de interessados, aplicação dos métodos de seleção, publicitação dos resultados dos métodos de seleção intercalares, ordenação final dos candidatos, audiência de interessados e ordem de recrutamento.";"Procedimento concursal ou outros tipos de seleção para posto de trabalho, entre outras, nas seguintes carreiras: regime especial; regime geral; não revistas; subsistentes do regime geral, especial e de corpos especiais#";"Regime especial: Enfermagem, Inspeção, Militares, GNR, Oficiais, Sargentos e Guardas, PSP, Oficiais, Chefes e Agentes de Polícia#
Regime geral: Assistente Operacional, Assistente Técnico e Técnico Superior#
Não revistas: Especialista de Informática, Técnico de Informática, Consultor de Informática, Fiscal de Obras, Fiscal de Obras Públicas, Auxiliar de Estomatologia, Técnico de orientação escolar e social, Técnico Superior de Reinserção Social, Técnico Profissional de Reinserção Social, Polícia Municipal, Fiscal Municipal, Fiscal de Leituras e Cobranças, Mestre de Tráfego Fluvial, Marinheiro de Tráfego Fluvial, Viveirista, Mordomo, Oficiais dos Registos e do Notariado, Técnico Superior Aduaneiro, Chefia Tributária, Inspetor Superior de Viação, Técnico de Viação, Oficiais de Justiça, Guarda-florestal, Vigilante da Natureza, Gerente, Pessoal de Convés, Docentes da Educação Pré-Escolar, Docentes do Ensino Básico e Secundário, Auxiliar técnico de educação, Administrador prisional, Especialista superior de medicina legal, Técnicos ajudantes de medicina legal, Técnico de diagnóstico e terapêutica, Técnico de ensino profissional#
Subsistentes do regime geral, especial e de corpos especiais: Médica, Encarregado de Pessoal Auxiliar, Observador Meteorológico/Geofísico, Odontologista, Técnico de Património, Inspetor-Adjunto, Docente universitário, Docente do Ensino Superior Politécnico, Piloto de Aeronaves, Assistente Religioso, entre outras#";"O procedimento concursal para preenchimento de cargos de direção superior e intermédia e gestor público deve ser considerado em 250.10.100 – Procedimento concursal para preenchimento de cargos de direção, coordenação e controlo#
O contrato de trabalhadores em funções públicas deve ser considerado em 250.10.600 – Contratação de trabalhadores#";"Lei 35/2014#
Portaria 145-A/2011#
Lei 7/2010#
DL 207/2009#
Portaria 83-A/2009#
DL 205/2009#
Lei 48/2006#
DL 97/2001#
DL 29/2001#
DL 185/81#";"Regulamentos das IES#
Lei 84-B/2014 (verificar)#";PC;S;AP#;INA#;"Assessorar#

";"150.20.200#
150.20.300#
250.10.401#
150.20.403#
150.40.500#
250.10.600#
250.20.001#
250.20.605#
500.10.001#
500.40.500#
";"Planeamento de necessidades de recursos humanos#
Avaliação de atividades#
Nomeação para postos de trabalho#
Caracterização de recursos humanos#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Contratação de trabalhadores#
Registo biográfico de trabalhadores#
Acompanhamento dos trabalhadores em situação de requalificação#
Realização de auditorias#
Processamento de recursos hierárquicos#
";"Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Cruzada#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
Nota: A prescrição do procedimento interrompe-se com a citação do demandado em processo jurisdicional.
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (quantificação / tipificação dos casos)
PN 250.10.600 - Contratação de trabalhadores (resultado do procedimento concursal)
PN 300.30.008 - Registo de documentos e informação (candidaturas entregues)";"Ao abrigo da Portaria 145-A/2011, Artigo 49.º, 
Restituição e destruição de documentos, 
""1 - É destruída a documentação apresentada pelos candidatos quando a sua restituição não seja solicitada no prazo máximo de um ano."", dado que são considerados documentos do candidato e não da Administração. ";;;;;
;250.10.103;Seleção de candidatos para frequência de estágios profissionais e programas ocupacionais;"Aplicação de critérios para escolha de candidatos a estágios que proporcionam uma experiência prática e formativa em contexto real de trabalho.
Inicia com a definição e publicação do período para apresentação de candidaturas e termina com a comunicação da seleção dos candidatos.
Inclui formalização da candidatura por parte do interessado, recrutamento e seleção.
";"Instrumentos de promoção da empregabilidade# 
Seleção de candidatos a estágios dirigidos a trabalhadores desempregados# 
Seleção de candidatos a estágios dirigidos a jovens recém formados#
Seleção de candidatos a programas ocupacionais#";;"A formalização dos estágios profissionais devem ser considerados em 250.10.601 – Formalização de estágios profissionais#
Os estágios curriculares devem ser considerados em 750.20.600 – Realização de atividades de ensino ou formação#";"DL 214/2012#
Portaria 20-A/2014#
Portaria 20-B/2014#
Portaria 149-B/2014#
Despacho 9841-A/2014#
Despacho 1573-A/2014#
Portaria 378-H/2013#
Portaria 375/2013#
Portaria 204-B/2013#
Portaria 164/2011#
Portaria 294/2010#
DL 18/2010#
Portaria 128/2009#
DL 166/2014#";;PC;S;"INA#
IEFP#";AP#;Decidir#;"150.20.200#
150.20.300#
150.40.500#
250.10.601#
250.20.001#
300.30.008#
500.10.001#
500.40.001#
650.20.302#
850.10.003#
";"Planeamento de necessidades de recursos humanos#
Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Formalização de estágios profissionais#
Registo biográfico de trabalhadores#
Registo de documentos e informação#
Realização de auditorias#
Processamento de reclamações de atos administrativos#
Apoio à integração e inserção profissional#
Formalização de candidaturas e acompanhamento de apoios pontuais#
";"Sucessão (sucessor)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Suplementar#
Sucessão (sucessor)#
Sucessão (antecessor)#
";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
Nota: A prescrição do procedimento interrompe-se com a citação do demandado em processo jurisdicional.
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (quantificação / tipificação dos casos)
PN 250.20.001 - Registo biográfico de trabalhadores (inclui registo dos estagiários)
PN 300.30.008 - Registo de documentos e informação (candidaturas entregues)";"A formalização de seleção, contrato, tem um prazo máximo de duração do estágio.
Os estágios financiados pelo fundo social europeu fixam o prazo de conservação dos documentos até à data de encerramento do programa operacional.
O estagiário durante o estágio profissional é considerado um trabalhador.";;;;;
;250.10.200;Eleição para cargos em órgãos sociais e estruturas internas;"Escolha, por via eleitoral, de titulares de órgãos de gestão, consultivos e estruturas internas.
Inicia com despacho determinando a organização do processo eleitoral e termina com a publicitação do resultado do ato eleitoral e conversão dos votos em mandatos.
Inclui criação de listas, elaboração de cadernos eleitorais, elaboração de boletins de voto, designação dos membros das mesas das assembleias eleitorais, redação das atas da sessão da assembleia eleitoral.";"Eleição de gestor público#
Eleição de órgãos sociais de serviços personalizados do Estado#
Eleição do diretor escolar#
Eleição de reitor#
Eleição de representantes de trabalhadores em Comissões Paritárias#
Eleição dos membros de órgãos sociais de IPSS’s ou Pessoa Coletiva
de Utilidade Pública#
Eleição dos membros de Conselhos Superiores#
Eleição dos representantes dos alunos ou formandos#";;"A designação para a comissão paritária por parte da Administração deve ser considerada em 250.10.500 – Designação para cargos ou funções de confiança ou de interesse público#
O ato eleitoral por sufrágio universal deve ser considerado em “Administração da participação cívica/ Administração eleitoral” (950.10)#";"Lei 66-B/2012#
DL 8/2012#
Lei 55-A/2010#
Lei 59/2008#
DL 71/2007#
Lei 66-B/2007#
Lei 62/2007#";Estatutos IES#;PC;S;AP#;AP#;Decidir#;"150.20.300#
150.40.500#
250.10.700#
300.30.008#
500.10.001#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Provimento por eleição em cargos ou funções#
Registo de documentos e informação#
Realização de auditorias#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Suplementar#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
Nota: A prescrição do procedimento interrompe-se com a citação do demandado em processo jurisdicional.
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (quantificação / tipificação dos casos)
PN 250.10.700 - Provimento por eleição em cargos ou funções (resultado do procedimento)
PN 300.30.008 - Registo de documentos  e informação (candidaturas entregues)";;;;;;
;250.10.300;Seleção de cidadãos para a administração da justiça;"Angariação de candidatos com vista à participação popular na administração da justiça.
Inicia com requerimento de uma das partes (Ministério Público, assistente ou arguido, no caso dos jurados) ou com a elaboração das listas (juízes sociais) e termina com o apuramento dos resultados e publicação da lista de candidatos.
Inclui organização do recrutamento e seleção, aprovação das listas pela entidade competente e sorteio.";"Escolha de juízes sociais#
Ecolha de jurados para tribunais de júri#";;;"Lei 166/99#
Lei 147/99#
DL 387-A/87#
DL 156/78#";;PE;S;Trb#;"CNPCJ#
CSM#
TFM#
AL#";"Apreciar#
Comunicar#
Comunicar#
Comunicar#";"150.20.300#
150.40.500#
250.10.500#
400.10.031#
300.30.008#
500.10.001#
600.20#
600.30#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Designação para cargos ou funções de confiança ou de interesse público#
Recenseamento eleitoral#
Registo de documentos e informação#
Realização de auditorias#
Resolução alternativa de litígios#
Produção de prova e decisão judicial#



";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Suplementar#
Sucessão (sucessor)#
Sucessão (sucessor)#";Reduzida;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
Nota: A prescrição do procedimento interrompe-se com a citação do demandado em processo jurisdicional.
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (quantificação / tipificação dos casos)
PN 250.10.500 - Designação para cargos ou funções de confiança ou de interesse público (resultado do procedimento)
PN 300.30.008 - Registo de documentos e informação (candidaturas entregues)
";"A nomeação dos juízes sociais (utilizados em processos tutelares educativos e de proteção de menores) faz-se por um periodo de 2 anos. Compete à Câmara Municipal a organização de candidaturas e elaboração das listas de juízes sociais. As listas são aprovadas em Assembleia Municipal e são remetidas ao Conselho Superior de Magistratura e ao Ministério da Justiça. São nomeados por despacho do Ministério da Justiça a que se segue a sua publicitação em DR. Tomam posse nos tribunais.

A seleção dos jurados é feita por sorteio a partir dos cadernos do recenseamento eleitoral. No fim há um despacho de designação.";;;;;
;250.10.301;Seleção de cidadãos para trabalho voluntário;"Escolha de elementos da população para participação no desenvolvimento de ações de interesse social, cultural e comunitário em prol da sociedade.
Inicia com campanha de angariação de voluntários ou com consulta às bolsas de voluntariado e termina com assinatura do programa de voluntariado.
Inclui formalização da candidatura, análise de perfil dos candidatos, aprovação e escolha dos candidatos.";"Seleção de voluntários para ações de proteção civil#
Seleção de voluntários para a área do ambiente#
Seleção de voluntários para a área da cidadania e direitos#
Seleção de voluntários para a área de cultura e artes#
Seleção de voluntários para a área de desporto e lazer#
Seleção de voluntários para a área de educação e novas tecnologias#
Seleção de voluntários para a área de saúde e solidariedade social#
Seleção de voluntários para missões de associações ou instituições humanitárias sem fins lucrativos#";;;"DL 389/99#
Lei 71/98#";;PC;S;AP#;CNPV#;"Assessorar#

";"150.20.300#
150.40.500#
250.20.001#
300.30.008#
400.10.033#
450.30.502#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo biográfico de trabalhadores#
Registo de documentos e informação#
Recenseamento nacional dos bombeiros portugueses#
Emissão de declarações comprovativas#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Síntese (sintetizado)#
";Reduzida;S;5;;"Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social - artº 27
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).
";Data de encerramento do processo;E;"Densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (quantificação / tipificação dos casos)
PN 250.20.001 - Registo biográfico de trabalhadores (inclui registo dos voluntários)
PN 300.30.008 - Registo de documentos e informação (candidaturas entregues)";;;;;;
;250.10.400;Nomeação para comando, direção ou chefia;"Formalização ou provimento de cargos de direção, comenado ou chefia.
Inicia com a indicação de designação e termina com a aceitação. 
Inclui designação por competência própria ou por delegação, comunicação superior do termo da respetiva comissão de serviço, análise do relatório dos resultados obtidos durante o mandato, nos casos de recondução, e declaração de regime de exclusividade, se aplicável. 
";Nomeação de militares para o exercício de funções de comando, direção ou chefia#;;A organização de cerimónias de tomada de posse deve ser considerada em 900.20.601 – Organização de cerimónias de tomada de posse e assinatura de documentos#;"DL 90/2015#
DL 30/2017#";;PC;N;AP#;;;"250.10.100#
250.10.800#
250.20.001#
250.20.800#
350.10.509#
400.10.011#
400.10.012#
500.10.001#";"Procedimento concursal para preenchimento de cargos de direção, coordenação e controlo#
Cessação da relação jurídica de emprego ou de funções#
Registo biográfico de trabalhadores#
Avaliação individual do desempenho#
Processamento de remunerações#
Registo de trabalhadores no sistema da Segurança Social#
Registo de trabalhadores em subsistemas de saúde públicos#
Realização de auditorias#";"Sucessão (sucessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#";Média;S;50;;"Conjugação dos critérios
-Legal:
Garantia de direitos e deveres adquiridos com esta formalização e que podem produzir efeitos durante a vida ativa como trabalhador (mesmo após a cessação).
- Utilidade administrativa
Definição de um prazo de vida ativa do trabalhador de 50 anos para processamento de PN decorrentes dos direitos e deveres adquiridos com a nomeação.
";Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável no
PN 250.20.001 - Registo biográfico de trabalhadores";;;;;;
