Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;;;;;;
300;ADMINISTRAÇÃO DE DIREITOS, BENS E SERVIÇOS;Relativo à aquisição e gestão de direitos e de bens, no que se incluem os bens materiais e imateriais dos domínios privado e público do Estado, das Regiões Autónomas e das Autarquias Locais. Inclui a gestão dos bens que, sendo propriedade de entidades privadas, se encontram à guarda de serviços públicos (por exemplo, bens apreendidos, documentos depositados em arquivos públicos). Relativo, ainda, à contratualização e gestão de contratos de serviços adjudicados, fornecidos ou concessionados pela Administração;"Contratualização de serviços#
Transferência de propriedade, gratuita ou onerosa#
Transferência de responsabilidades de gestão#
Transferência de direitos de utilização ou exploração#
Identificação de bens#
Monitorização e intervenções de melhoramento de bens#
Controlo da utilização de bens#";;"A fixação de regras e procedimentos de suporte à gestão, incluindo regulamentos
internos e manuais de procedimentos de gestão e/ou utilização, deve ser
considerada em ""Ordenamento jurídico e normativo/ Elaboração de diplomas
jurídico-normativos e de normas técnicas"" (100.10).
Os diagnósticos de necessidades e elaboração de planos estratégicos para a gestão
de bens e serviços deverão ser considerados em ""Planeamento e gestão estratégica/
Planeamento, avaliação e melhoria de serviços"" (150.20).
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300.10;Aquisição, venda, abate ou permuta;"Compreende as atividades que suportam os processos de aquisição, alienação e permuta de direitos de propriedade sobre bens móveis e imóveis e/ou transferência de responsabilidades de gestão.
Compreende, igualmente, a contratualização e a gestão de contratos de serviços adjudicados ou fornecidos pelos organismos da administração, no que se inclui o registo de controlo de fornecedores e o registo de controlo dos clientes a quem são prestados serviços contratualizados.
";Devem ser aqui consideradas todas as fases da formação dos contratos, o acompanhamento da respetiva execução, e eventuais alterações ou rescisão do contrato estabelecido (o que pode incluir a avaliação de bens, a análise prévia de mercado, a escolha e implementação do procedimento de aquisição, decisão de adjudicação, a negociação do contrato e das eventuais alterações, e a respetiva execução)#;" Contratos de aquisição onerosa de bens e/ou de serviços (incluindo contratos de empreitada)#
Contratos, acordos ou protocolos de fornecimento de bens e/ou de prestação de serviços (por exemplo, abastecimento de água, prestação de consultoria técnicocientífica)#
Atos de aquisição gratuita de bens (aceitação de heranças, legados, doações)#
Atos de aceitação de bens à guarda do Estado (bens apreendidos, bens depositados)#
Contratos de locação financeira#
Contratos de permuta#
Procedimentos de venda de imóveis ou outros bens#
Procedimentos de abate de bens#
Autos de eliminação de documentos#
Constituição de participação financeira em entidade#
Alienação de capital em entidade#";"Os processos de recrutamento e contratação de trabalhadores em serviço público devem ser considerados em ""Administração de relações de trabalho/Estabelecimento e cessação de relações de trabalho"" (250.10).
A contratualização de direitos de utilização de bens, ou meras autorizações de uso, devem ser consideradas em ""Administração de direitos, bens e serviços/Utilização,
exploração e rendibilidade"" (300.50) - no que se inclui, entre outros, a contratualização do arrendamento ou aluguer, a autorização para uso de material sujeito a direitos de autor, a cedência de instalações.
A celebração de escrituras deve ser considerada em ""Prestação de serviços de identificação e registo/Formalização notarial de atos jurídicos"" (400.30).
A instrução de pedidos de registo de propriedade deve ser considerada em ""Prestação de serviços de identificação e registo/ Registo de dados de identificação e caracterização de entidades ou atos"" (400.10).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300.10.001;Contratação de empreitadas de obras públicas de natureza não crítica;"Aquisição da execução ou, conjuntamente, da conceção e execução de projetos de infraestrutura não crítica para servir a sociedade, mediante um preço.
Inicia com a proposta de aquisição e termina com a confirmação da receção definitiva do bem.
Inclui elaboração de caderno de encargos, autorização, receção e avaliação de propostas, comprovativo de cabimentação, decisão e contratualização da adjudicação, verificação do cumprimento das cláusulas contratualizadas, verificação da conformidade da caução e informação para a liberação de caução, resolução ou revogação de contrato, quando aplicável. ";"Considera-se donos de obras públicas: 
- O Estado; 
- Os institutos públicos; 
- As associações públicas; 
- As autarquias locais e outras entidades sujeitas a tutela administrativa; 
- As Regiões Autónomas dos Açores e da Madeira; 
- As associações de que façam parte autarquias locais ou outras pessoas coletivas de direito público; 
- As empresas públicas e as sociedades anónimas de capitais maioritária ou exclusivamente públicos; 
- As concessionárias de serviço público, sempre que o valor da obra seja igual ou superior ao estabelecido para efeitos de aplicação das diretivas da União Europeia relativas à coordenação dos processos de adjudicação de empreitadas de obras públicas; 
- Entidades dotadas de personalidade jurídica, criadas para satisfazer de um modo específico necessidades de interesse geral, sem caracter industrial ou comercial e em relação às quais se verifique uma das seguintes circunstâncias: 
a) cuja atividade seja financiada maioritariamente por alguma das entidades anteriores; 
b) cuja gestão esteja sujeita a um controlo por parte de alguma das entidades anteriores; 
c) cujos órgãos de administração, de direção ou de fiscalização sejam compostos, em mais de metade, por membros designados por alguma das entidades anteriores.#
";;"A formalização jurídica do contrato deve ser considerada em 400.30.001 – Celebração de contratos, escrituras, títulos equivalentes e testamentos#
Quando se adquire unicamente o projeto de obras públicas tal deve ser considerado em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#
A compilação técnica da obra deve ser considerada em 300.30.001 – Compilação técnica de obra#
O acionamento e a libertação da garantia bancária devem ser considerados em 350.10.505 – Processamento de cauções#
As empreitadas de infraestruturas críticas devem ser consideradas em 300.10.011 – Transação e transmissão de bens e serviços críticos e de defesa e segurança#";"Lei 20/2015#
DL 4/2015#
DL 273/2003#
DL 18/2008#
DL 149/2012#
DL 190/2012#
DL 104/2011#
Resolução do Tribunal de Contas 14/2011#
DL 46/2008#
DL 73/2011#
DL 12/2004#
DL 69/2011#


";"DL 18/2008, alterado pelo DL 149/2012#
DL 46/2008, alterado pelo DL 73/2011#
DL 12/2004, alterado pelo DL 69/2011#


";PC;N;AP#;;;"150.10.700#
150.10.701#
150.20.300#
150.40.500#
300.30.001#
300.50.803#
350.10.505#
400.30.001#
450.10.805#
500.10.001#
500.10.002#
500.10.301#
500.30.002#
500.30.003#
";"Reunião de órgãos deliberativos#
Reunião de órgãos executivos#
Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Compilação técnica de obra#
Identificação e caracterização de prestadores e fornecedores de bens e serviços#
Processamento de cauções#
Celebração de contratos, escrituras, títulos equivalentes e testamentos#
Autorização de condições de exceção para aquisição de bens e serviços#
Realização de auditorias#
Fiscalização prévia do Tribunal de Contas#
Realização de fiscalização#
Aplicação de sanções administrativas inominadas#
Aplicação de sanções contratuais#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Cruzada#
Sucessão (sucessor)#
Suplementar#
Cruzada#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#";Média;S;10;;" Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], art.º 70, n.º 1).
- Utilidade administrativa
Prazo decorrente da necessidade de  consulta para apuramento da responsabilidade em sede de
PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração);
PN 500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização).";Data da confirmação da receção definitiva da obra ou data da libertação da garantia, caso seja superior.;E;"Densidade informacional:
Informação síntese recuperável complementarmente em
PN 150.10.700 - Reunião de órgãos deliberativos
PN 150.10.701 - Reunião de órgãos executivos (decisão)
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 300.30.001 - Compilação técnica de obra (síntese das intervenções efetuadas no imóvel)
";A parte técnica só pode ser eliminada se for conservada no PN compilação técnica.;;;;;;;;;;
300.10.002;Contratação de fornecimento de serviços públicos essenciais;"Aquisição da prestação de serviços públicos básicos e universais ao bem-estar das pessoas, singulares ou coletivas, públicas ou privadas, de forma permanente ou eventual.
Inicia com o acordo que vincula as partes nas suas obrigações e direitos e termina com a extinção da prestação de serviços.
Inclui recolha de elementos para celebração do contrato, alterações e aditamentos, e acompanhamento do contrato.";"Abastecimento e distribuição de água potável para consumo humano#
Fornecimento de energia elétrica#
Fornecimento de serviços de transportes públicos#
Fornecimento de serviços postais#";;"A recolha de resíduos deve ser considerada em 710.10.002 – Recolha de resíduos#
O tratamento de águas residuais urbanas deve ser considerado em 710.10.005 – Tratamento e rejeição de águas resíduais# 
O tratamento de resíduos sólidos urbanos deve ser considerado em 710.10.004 – Tratamento de resíduos# ";"DL 4/2015#
DL 18/2008#
DL 149/2012#
Lei 23/96#
Lei 12/2008#
Lei 24/2008#
Lei 6/2011#
Lei 10/2013#";"DL 18/2008, alterado pelo DL 149/2012#
Lei 23/96, atualizado pelas Leis 12/2008, 24/2008, 6/2011 e 10/2013#";PC;S;AP#;AP#;Iniciar#;"150.20.300#
150.20.404#
150.40.500#
350.10.600#
300.30.008#
450.10.805#
500.10.001#
500.10.002#
500.10.301#
500.30.002#
500.30.003#
800.10.601#";"Avaliação de atividades#
Prestação de contas#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Lançamento de receitas e de despesas#
Registo de documentos e informação#
Autorização de condições de exceção para aquisição de bens e serviços#
Realização de auditorias#
Fiscalização prévia do Tribunal de Contas#
Realização de fiscalização#
Aplicação de sanções administrativas inominadas#
Aplicação de sanções contratuais#
Realização de ensaios laboratoriais#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Suplementar#
Cruzada#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#";"Reduzida
";S;10;;" Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], art.º 70, n.º 1).
- Utilidade administrativa
Prazo decorrente da necessidade de  consulta para apuramento da responsabilidade em sede de
PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração);
PN 500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização).";Data da cessação do contrato;E;"Densidade informacional:
Informação síntese recuperável em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 150.20.404 - Prestação de contas (síntese de valores obtidos pela prestação do serviço)
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (quantificação/tipificação dos casos
PN 300.30.008 - Registo de documentos e informação (quantificação e descrição dos clientes)";;;;;;;;;;;
300.10.003;Transação e transmissão de bens imóveis;"Aquisição ou alienação do direito de propriedade e de outros direitos reais sobre bens imóveis, de forma onerosa ou gratuita, por contrato, expropriação, sucessão, usucapião e pelas demais formas previstas na lei.
Inicia, quando aplicável, com a proposta de aquisição ou de alienação do imóvel e termina com a receção ou entrega.
Inclui, de acordo com a forma de transmissão do direito, avaliação e negociação das condições contratuais, adjudicação da proposta, celebração do contrato, quando este seja celebrado por documento particular e resolução ou revogação de contrato, aceitação da herança, do legado ou da doação, bem como das suas condições ou encargos, celebração da promessa de aquisição do direito.";"Alienação de imóvel urbano e de imóvel rural#
Aquisição ou alienação de bens imóveis através de cessão de posição contratual#
Aquisição ou alienação de bens imóveis através de dação em cumprimento#
Aquisição ou alienação de bens imóveis decorrente do exercício do direito de preferência#
Aquisição ou alienação de bens imóveis culturais e não culturais#
Transmissão de imóvel por herança, legado ou doação#
Transmissão de imóvel por expropriação#

";;"A transmissão do direito, quando efetuada por ato notarial deve ser considerada em 400.30.001 – Celebração de contratos, escrituras, títulos equivalentes e testamentos#
";"Lei 56/2008#
DL 219/2008#
DL 280/2007#
Lei 5-A/2002#
DL 196/2001#
DL 32/99#
";"Lei 5-A/2002, retificação 9/2002#
";PC;S;AP#;AP#;Assessorar#;"150.10.700#
150.10.701#
150.20.300#
150.20.401#
300.10.009#
300.30.005#
300.30.600#
450.20.002#
400.30.001#
400.10.406#
400.10.407#
500.10.001#
500.10.002#
500.10.301#
500.30.002#
500.30.003#";"Reunião de órgãos deliberativos#
Reunião de órgãos executivos#
Avaliação de atividades#
Acompanhamento de liquidação de entidades#
Pronúncia sobre o exercício do direito de preferência#
Inventariação e cadastro de bens imóveis#
Avaliação de bens imóveis#
Reconhecimento de utilidade pública para efeitos de expropriação#
Celebração de contratos, escrituras, títulos equivalentes e testamentos#
Registo predial#
Registo de prédios nas matrizes prediais#
Realização de auditorias#
Fiscalização prévia do Tribunal de Contas#
Realização de fiscalização#
Aplicação de sanções administrativas inominadas#
Aplicação de sanções contratuais#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Cruzada#
Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Suplementar#
Cruzada#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#";Média;S;10;;" Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], art.º 70, n.º 1).
- Utilidade administrativa
Prazo decorrente da necessidade de  consulta para apuramento da responsabilidade em sede de
PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração);
PN 500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização).";Data da extinção do direito de propriedade;E;"Densidade informacional:
Informação síntese recuperável em
PN 150.10.700 - Reunião de órgãos deliberativos
PN 150.10.701 - Reunião de órgãos executivos (decisão)
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 300.30.005 - Inventariação e cadastro de bens imóveis (identificação e caracterização)
PN 400.10.406 - Registo predial
PN 400.10.407 Registo de prédios na matriz predial (registo de bens materiais)";Nota: a eliminação só pode ser efetuada após confirmação do registo definitivo do bem.;;;;;;;;;;
300.10.004;Transação e transmissão de bens móveis culturais;"Aquisição e alienação do direito de propriedade e de outros direitos reais sobre bens móveis culturais, de forma onerosa ou gratuita, por contrato, expropriação, sucessão, usucapião e pelas demais formas previstas na lei.
Inicia, quando devido, com a proposta de aquisição ou de alienação do bem móvel cultural e termina com a declaração de receção ou entrega do bem.
Inclui, de acordo com a forma de transmissão do direito, avaliação e negociação das condições contratuais, adjudicação da proposta, celebração do contrato e resolução ou a revogação de contrato, aceitação da herança, do legado ou da doação, bem como das suas condições ou encargos e celebração da promessa de aquisição do direito e elaboração de guia de remessa dos bens trasacionados, quando devido. ";"Aquisição de direitos de autor sobre bens culturais, se adquiridos conjuntamente com os bens#
Aquisição ou alienação de bens móveis culturais através de cessão de posição contratual#
Aquisição ou alienação de bens móveis culturais através de dação em cumprimento#
Aquisição ou alienação de bens móveis culturais decorrente do exercício do direito de preferência#
Incorporação de documentos provenientes de outras entidades, em que se incluem as guias de remessa dos bens transacionados#";"Aplica-se, entre outras, às seguintes situações#
Aquisição de direitos de autor sobre bens culturais, se adquiridos conjuntamente com os bens#
Aquisição ou alienação de bens móveis culturais através de cessão de posição contratual#
Aquisição ou alienação de bens móveis culturais através de dação em cumprimento#
Aquisição ou alienação de bens móveis culturais decorrente do exercício do direito de preferência#
Incorporação de documentos provenientes de outras entidades, em que se incluem as guias de remessa dos bens transacionados#";"A aquisição de direitos de autor não adquiridos conjuntamente com os bens culturais deve ser considerada em 300.10.006 – Transação e transmissão de direitos de propriedade intelectual#
";"Despacho 5775/2014#
DL 124/2013#
DL 74/2006#
DL 115/2013#
Lei 47/2004#
Lei 107/2001#
DL 362/86#
DL 74/82#";DL 74/2006, alterado pelo DL 115/2013#;PC;S;AP#;AP#;Assessorar#;"150.10.700#
150.10.701#
150.20.300#
150.20.401#
300.10.009#
300.30.002#
350.10.600#
450.10.644#
500.10.001#
500.10.002#
500.10.301#
500.30.002#
500.30.003#";"Reunião de órgãos deliberativos#
Reunião de órgãos executivos#
Avaliação de atividades#
Acompanhamento de liquidação de entidades#
Pronúncia sobre o exercício do direito de preferência#
Inventariação de bens móveis culturais#
Lançamento de receitas e de despesas#
Autorização para transação de produtos#
Realização de auditorias#
Fiscalização prévia do Tribunal de Contas#
Realização de fiscalização#
Aplicação de sanções administrativas inominadas#
Aplicação de sanções contratuais#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetiza)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Suplementar#
Cruzada#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#";Média;N;10;;" Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória (Lei 98/97, art.º 70, n.º 1).
- Utilidade administrativa
Prazo decorrente da necessidade de  consulta para apuramento da responsabilidade em sede de
PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração):
PN 500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização).";Data da confirmação da receção do bem;C;"Densidade informacional:
Informação detalhada não recuperável noutro PN, nomeadamente a relativa ao percurso custodial do bem conservado a título permanente, elemento determinante para a demonstração da sua autenticidade.";;;;;;;;;;;
300.10.005;Transação e transmissão de bens móveis não culturais e contratação de serviços;"Aquisição ou alienação do direito de propriedade ou de outros direitos reais sobre bens móveis, de forma onerosa ou gratuita, por contrato, expropriação, sucessão, usucapião e pelas demais formas previstas na lei, e aquisição e venda de serviços.
Inicia com a proposta de aquisição ou de alienação do bem móvel ou do serviço e termina com a receção ou entrega do bem ou do resultado do serviço prestado.
Inclui, dependendo da sujeição do procedimento de contratação ao Código dos Contratos Públicos, decisão de contratar, escolha do procedimento, designação do júri, avaliação e negociação das propostas, adjudicação, verificação dos documentos de habilitação do adjudicatário, verificação da conformidade da caução, celebração e alteração do contrato, acompanhamento da sua execução e resolução ou revogação de contrato.
Pode incluir, ainda, dependendo da forma de transmissão do direito, aceitação da herança, do legado ou da doação, bem como das suas condições ou encargos e celebração da promessa de aquisição do direito.";"Aquisição de bens através de locação financeira (leasing)#
Aquisição de direitos de autor inerentes à aquisição de bens móveis, se adquiridos conjuntamente com os bens#
Aquisição de seguros sobre pessoas e bens e participação de sinistros a seguradoras, no âmbito do acompanhamento do contrato#
Execução do contrato de depósito#
Execução do contrato de mandato#
Requisição de ""serviços remunerados de segurança"", comummente denominados ""gratificados""#
Aquisição de serviços de consultadoria#
Aquisição de serviços de manutenção#
Aquisição de serviços de alojamento#
Aquisição de normas e documentos normativos#
Pedido de insignias e brindes institucionais (canetas, pins, calendários, galhardetes, porta-chaves, livros de pintar e outros pequenos objetos com a logomarca e brasão da  instituição)#
Ofertas protocolares#";;"A aquisição de empreitadas de obras públicas deve ser considerada em 300.10.001 – Contratação de empreitadas de obras públicas#
A aquisição de serviços de distribuição de água deve ser considerada em 300.10.002 – Contratação de fornecimento de serviços públicos essenciais#
A aquisição de bens culturais deve ser considerada em 300.10.004 – Transação e transmissão de bens móveis culturais#
A aquisição de direitos de propriedade intelectual e industrial deve ser considerada em 300.10.006 – Transação e transmissão de direitos de propriedade intelectual#
A custódia de bens não culturais (guarda provisória de bens) deve ser considerada em 300.10.700 – Depósito de bens não culturais#";"DL 4/2015#
DL 104/2011#
DL 18/2008, alterado pelo DL 149/2012#";;PC;N;AP#;;;"150.10.700#
150.10.701#
150.20.300#
300.30.003#
350.30.001#
400.10.409#
500.10.001#
500.10.002#
500.10.301#";"Reunião de órgãos deliberativos#
Reunião de órgãos executivos#
Avaliação de atividades#
Inventariação de bens móveis duradouros não culturais#
Cobrança de receitas e pagamento de despesas#
Registo de veículos a motor e respetivos reboques#
Realização de auditorias#
Fiscalização prévia do Tribunal de Contas#
Realização de fiscalização#


[Os demais PN que impliquem a aquisição de bens e serviços para a sua prossecução]";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Síntese (sintetizado)#
Suplementar#
Cruzada#
Suplementar#";Elevada;S;10;;" Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], art.º 70, n.º 1).
- Utilidade administrativa
Prazo decorrente da necessidade de  consulta para apuramento da responsabilidade em sede de
PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração);
PN 500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização).";Data da confirmação da receção do bem ou do término da prestação do serviço.;E;"Densidade informacional:
Informação síntese recuperável em
PN  150.10.700 - Reunião de órgãos deliberativos
PN 150.10.701 - Reunião de órgãos executivos (decisão)
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 300.30.003 - Inventariação de bens móveis duradouros não culturais (identificação e caracterização)
PN 400.10.409 - Registo de veículos automóveis (registo de bens materiais)
PN 400.30.001 - Celebração de contratos, escrituras, títulos equivalentes e testamentos (ato jurídico transposto para um instrumento público)";;;;;;;;;;;
300.10.006;"Transação e transmissão de direitos de propriedade intelectual


";"Aquisição ou alienação, onerosa ou não onerosa, de direitos de autor ou de direitos de propriedade industrial, sobre bens ou conhecimento técnico e científico.
Inicia com a proposta de aquisição e termina com a transmissão dos direitos sobre o bem ou o conhecimento.
Inclui, no caso da transferência de conhecimento, criação, organização e disseminação do conhecimento, assegurando a sua disponibilização a terceiros e, no caso de transferência de tecnologia, transmissão de resultados de investigação de uma organização para outra, com o objetivo de desenvolvimento posterior ou comercialização.";"Aquisição ou alienação de direitos de autor#
Aquisição ou alienação de know-how#
Aquisição ou alienação de patentes#
Transferência de tecnologia#";"Aplica-se, entre outras, às seguintes situações#
Aquisição ou alienação de direitos de autor#
Aquisição ou alienação de know-how#
Aquisição ou alienação de patentes#
Transferência de tecnologia#";"O registo da propriedade intelectual industrial deve ser considerado em 400.10.606 – Registo de marcas e outros sinais distintivos de comércio e em 400.10.609 – Registo de patentes e modelos de utilidade#
O registo de obras protegidas nos termos do Código do Direito de Autor e Direitos Conexos deve ser considerado em 400.10.610 – Registo de obras científicas, literárias e artísticas#
";"Lei 32/2015#
DL 36/2003#
DL 318/2007#
DL 360/2007#
DL 143/2008#
Lei 16/2008#
DL 63/85#
Lei 45/85#
Lei 114/91#
DL 332/97#
DL 334/97#
Lei 50/2004#
Lei 24/2006#
Lei 16/2008#";"Lei 32/2015 , transpõe a Diretiva 2012/28/EU#
DL 36/2003, alterado pelos DL 318/2007, DL 360/2007, DL 143/2008 e pela Lei 16/2008#
DL 63/85, alterado por: Lei 45/85, Lei 114/91, DL 332/97 e DL 334/97, Lei 50/2004, Lei 24/2006 e Lei 16/2008#";PC;N;AP#;;;"300.50.204#
350.10.600#
350.30.001#
400.10.606#
400.10.609#
400.10.610#
400.30.001#
500.10.001#
500.10.301#
900.10.001#";"Cedência de direitos de propriedade intelectual#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Registo de marcas e outros sinais distintivos de comércio#
Registo de patentes e modelos de utilidades#
Registo de obras científicas, literárias e artísticas#
Celebração de contratos, escrituras, títulos equivalentes e testamentos#
Realização de auditorias#
Realização de fiscalização#
Conceção e realização de atividades ou acontecimentos artísticos#";"Sucessão (antecessor)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Síntese (sintetizado)#
Suplementar#
Suplementar#
Sucessão (antecessor)#";Elevada;S;10;;" Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], art.º 70, n.º 1).
- Utilidade administrativa
Prazo decorrente da necessidade de  consulta para apuramento da responsabilidade em sede de
PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração);
PN 500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização).";Data de confirmação da transmissão do direito;C;"Densidade informacional:
Informação detalhada não recuperável noutro PN";;;;;;;;;;;
300.10.007;Transação e transmissão de participações sociais;"Aquisição ou alienação de posições patrimoniais, ativos e passivos, formalizado por ato de fé pública.
Inicia com a proposta de aquisição ou transmissão por falecimento de um sócio e termina com o reconhecimento expresso perante a sociedade.
Inclui o expresso consentimento dos sócios e atualização do Registo Comercial.";"Transmissão por herança de partes sociais, pertencentes a um sócio falecido#
Transmissão por exoneração ou exclusão de um sócio#";;A formalização da transmissão por ato notarial deve ser considerada em 400.30.001 – Celebração de contratos, escrituras, títulos equivalentes e testamentos#;"Lei 41/2013#
DL 250/2012#
Lei 50/2012#
Lei 4/2004#
DL 105/2007#
DL 76-A/2006#
Lei 3/2004#
DL 262/86#";Lei 4/2004, alterada pelo DL 105/2007#;PC;S;"AP#
SPE#";"AP#
SPE#";"Iniciar#
Iniciar#";"150.10.700#
150.10.701#
150.20.401#
150.20.404#
300.30.004#
350.10.600#
350.30.004#
400.10.200#
400.30.001#
500.10.001#
500.10.301#";"Reunião de órgãos deliberativos#
Reunião de órgãos executivos#
Acompanhamento de liquidação de entidades#
Prestação de contas#
Inventariação do património financeiro#
Lançamento de receitas e de despesas#
Movimentação de contas bancárias#
Registo comercial#
Celebração de contratos, escrituras, títulos equivalentes e testamentos#
Realização de auditorias#
Realização de fiscalização#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Suplementar#";Reduzida;N;10;;" Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], art.º 70, n.º 1).
- Utilidade administrativa
Prazo decorrente da necessidade de  consulta para apuramento da responsabilidade em sede de
PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração);
PN 500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização).";Data de confirmação da transmissão do direito;C;"Densidade informacional:
Informação detalhada não recuperável noutro PN";Nos termos da Portaria n.º 671/2000 (2.ª série) os bens do património financeiro do Estado não são abrangidos pelo CIBE - Cadastro e inventário dos bens do Estado;;;;;;;;;;
300.10.008;Estabelecimento de convenções com operadores privados;"Celebração de um contrato (convenção) com entidade privada para prestação de determinado serviço na área da saúde.
Inicia com a proposta de seleção da modalidade de procedimento: a) convenção específica ou b) adesão ao clausulado-tipo e termina com a celebração da convenção e registo no Registo de Prestadores Convencionados.
Inclui audição de entidades envolvidas, análise de idoneidade da entidade e negociação de preços.
";Contrato com entidades (não integradas no SNS) para prestação de cuidados de saúde a beneficiários do Serviço Nacional de Saúde, da ADSE e de outros subsistemas de saúde#;;Os acordos de cooperação devem ser considerados em 150.10.500 – Elaboração de instrumemtos de cooperação interinstitucional#;"DL 139/2013#
DL 118/83#
DL 234/2005# 
Portaria 351/2007#
";;PE;S;"ACSS#
ARS#
ADSE#
AL#";"ACES#
HH#";"Iniciar#
";"150.10.700#
150.10.701#
150.20.300#
300.50.803#
350.10.507#
350.30.001#
500.10.001#
700.10.001#";"Reunião de órgãos deliberativos#
Reunião de órgãos executivos#
Avaliação de atividades#
Identificação e caracterização de prestadores e fornecedores de bens e serviços#
Processamento de despesas de saúde a prestadores de serviços e farmácias#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Referenciação de utentes para consultas#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Cruzada#
Suplementar#
Cruzada#";Elevada;S;10;;"Critério legal:
- [DL 139/2013], Artigo 11.º, Prazo das convenções ""1 — Na falta de disposição em contrário, as convenções são válidas por períodos de cinco anos"".
- Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], art.º 70, n.º1).
";Data da cessação da convenção;E;"Densidade informacional:
Informação síntese recuperável em
PN 150.10.700 - Reunião de órgãos deliberativos
PN 150.10.701 - Reunião de órgãos executivos (decisão)
PN 150.20.300 - Avaliação de atividades (atuação da entidade)";;;;;;;;;;;
