Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400;PRESTAÇÃO DE SERVIÇOS DE IDENTIFICAÇÃO E REGISTO;Relativo a atividades tendentes ao registo de entidades ou atos sobre os quais impendam direitos ou obrigações que ao Estado (através de organismos da Administração Central, Regional ou Local) compete salvaguardar ou fazer cumprir. Compreende a recolha, processamento e registo de dados de identificação da condição e/ou situação jurídica, fiscal, económica, física, administrativa ou outra de entidades (pessoas singulares ou coletivas, bens, animais, entre outros). Compreende, igualmente, a formalização notarial de atos jurídicos e respetivo registo.;Serviços de registo orientados à comunidade, de âmbito nacional, regional ou local, cuja constituição está prevista na lei#;;"Os registos que cumprem funções de gestão de âmbito organizacional devem ser considerados no quadro da função que suportam. Exemplos de exclusão:
Registo de doentes entrados num hospital deve ser considerado em ""Prestação de cuidados de saúde/ Gestão de utentes"" (700.10);
Registo de alunos inscritos num estabelecimento de ensino deve ser considerado em ""Prestação de serviços de ensino e formação/ gestão do aluno/formando"" (750.10);
Registo de pessoas no âmbito de operações de prevenção ou investigação criminal deve ser considerado em ""Administração da Justiça/ Prevenção e investigação criminal"" (600.10);
Registo de trabalhadores da Administração deve ser considerado em ""Administração de relações de trabalho/ Gestão de relações individuais de trabalho"" (250.20);
Registo de 'bens inventariáveis', ou registo de documentos (expediente geral, setorial, ou de matérias classificadas) deve ser considerado em ""Administração de direitos, bens e serviços/ Identificação e caracterização de bens"" (300.30);
Registo de dados técnico-científicos deve ser considerado em ""Prestação de serviços técnicos e científicos, investigação e desenvolvimento/ Execução de serviços científicos e técnicos"" (800.10);
Registo de contactos institucionais deve ser considerado em ""Dinamização e comunicação institucional/ Execução de atividades de comunicação institucional"" (900.20).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400.10;Registo de dados de identificação e caracterização de entidades ou atos;"Compreende as atividades que decorrem durante a tramitação dos processos administrativos que visam a inscrição de novas entidades ou atos no Registo, alteração ou eliminação de dados referentes a entidades ou atos já registados ou, ainda, a emissão
de títulos de identificação. Os processos podem ser de iniciativa dos serviços competentes para manter o Registo atualizado, ou de iniciativa de partes interessadas, através da apresentação de pedidos ou propostas de inscrição ou atualização do registo. Compreende, igualmente, os repositórios de dados recolhidos que identificam e caracterizam as entidades ou os atos objeto de Registo, no quadro específico da prestação de serviços de identificação e registo assegurada pelas autoridades públicas.";"Registo civil#
Registo criminal#
Registo de contribuinte#
Registo de eleitor#
Registo de beneficiário de regimes de proteção social#
Registo de utente dos serviços de saúde#
Registo de não dador de órgãos#
Registo de passaporte#
Registo de vistos#
Registo de estrangeiros residentes#
Registo registo comercial#
Registo de associações#
Registo de operadores económicos#
Registo de entidades certificadas#
Registo registo predial#
Registo matricial#
Registo de prédios urbanos e rústicos#
Registo de veículos automóveis
Registo de navios#
Registo de aeronaves#
Registo de armas de fogo#
Registo de animais#
Registo de plantas#
Registo de materiais de reprodução#
Registo de bens do património cultural classificado ou em vias de classificação#
Registo de árvores de interesse público#
Registo registo de criações intelectuais e de propriedade industrial#
Registo nacional de autoridades arquivísticas#
Registo de escrituras públicas#
Registo de testamentos#";;"É de notar que nem todos os registos necessitam de ter uma instrução de processos para inscrição e/ou atualização de dados, podendo os serviços utilizar informação produzida no âmbito de outra função. Por exemplo:
O registo de entidades acreditadas para o exercício de determinada atividade é atualizado com base na decisão sobre pedidos de acreditação, os quais devem ser considerados em ""Reconhecimentos e permissões/ Licenciamentos, certificações e outras autorizações"" (450.10);
O registo de classificação de património é atualizado com base na instrução de propostas de classificação, as quais devem ser consideradas em ""Reconhecimentos e permissões/ Classificação e declaração de interesse ou utilidade pública"" (450.20);
A emissão de certidões de registos deve ser considerada em ""Reconhecimentos e permissões/ Emissão de comprovativos de factos ou atos"" (450.30).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400.10.001;Registo civil;"Publicita os factos e os atos relativos ao estado civil e à capacidade dos cidadãos.
Inicia com o pedido da pessoa com legitimidade para o efeito ou por iniciativa do conservador e termina com a feitura do assento ou do averbamento.
Inclui a recolha de informações, comprovativos dos factos alegados, a instrução dos atos, a preservação e atualização dos dados recolhidos.";"Pedidos de registo de pessoas singulares#
Retificação administrativa ou judicial#
Dissolução ou extinção de qualquer dos factos sujeito ao registo civil e os que decorram de imposição legal#
Factos sujeitos a registo obrigatório respeitantes a estrangeiros, quando ocorram em território português#
Registos das decisões dos tribunais estrangeiros, quando sujeita a registo obrigatório#
";"Registo de nascimento#
Registo de declaração de maternidade#
Registo de perfilhação#
Registo de adoção#
Registo de casamento#
Registo de óbito (Anterior PN 400.10.035)#
Mudança de sexo no registo e consequente alteração de nome próprio#
Registo das convenções antenupciais e as alterações do regime de bens convencionado ou legalmente fixado#
Divórcio por mútuo consentimento#
Divórcio por mútuo consentimento e partilha de bens em simultâneo#
Separação de pessoas e bens por mútuo consentimento#
Separação de pessoas e bens por mútuo consentimento e partilha de bens em simultâneo#
Conversão da separação em divórcio#
A regulação do exercício das responsabilidades parentais do poder paternal#
Atribuição de casa de morada de família#
Alimentos a filhos maiores ou emancipados#
Tutela de menores, tutela de interditos#
Reconciliação de cônjuges separados#
Apadrinhamento civil#";"O apuramento emolumentar devido pela prática do ato por parte da Administração, bem como a cobrança coerciva da conta do ato (certificado de conta), não voluntariamente liquidada deve ser considerada em 350.30.001 – Cobrança de receitas e pagamento de despesas#
instrumentos públicos, de registos ou de outros documentos arquivados deve ser considerada em 450.30.503 – Confirmação, conferência ou emissão de cópias não certificadas#
A emissão de certidões de instrumentos públicos, de registos ou de outros documentos arquivados deve ser considerada em 450.30.003 – Emissão de certidões#
A instauração e instrução dos processos de contraordenação, no âmbito da Identificação civil, deve ser considerado em 500.30.001 – Processamento de contraordenações#
Os pedidos de informação que não se integram em nenhum processo específico devem considerados em 900.20.604 – Processamento de pedidos de informação e de esclarecimento#";"Lei 7/2011#
DL 121/2010#
Lei 103/2009#
Portaria 1109/2009#
DL 324/2007#
DL 53/2004#
DL 272/2001#
DL 131/95#


";;PE;S;IRN#;"Cns#
DGLAB#";"Iniciar#
Comunicar#";"350.30.001#
400.10.025#
400.10.027#
400.10.031#
400.10.041#
450.10.810#
450.30.003#
450.30.503#
450.30.504#
500.30.001#
500.40.500#
600.10.004#
600.10.006#
600.30.293#
600.30.361#
950.10.400#
950.10.401#
950.10.601#
";"Cobrança de receitas e pagamento de despesas#
Aquisição de nacionalidade#
Emissão de passaportes#
Recenseamento eleitoral#
Identificação civil#
Autorização de registo de nome próprio#
Emissão de certidões#
Confirmação, conferência ou emissão de cópias não certificadas#
Certificação de óbito#
Processamento de contraordenações#
Processamento de recursos hierárquicos#
Averiguação de identidade de cadáveres#
Averiguação e localização de pessoas desaparecidas#
Privação e autorização do direito de uso dos apelidos do ex-cônjuge#
Instauração da tutela e administração de bens#
Apoio técnico e logístico ao processo eleitoral e referendário#
Constituição de assembleias de voto#
Constituição de assembleias de apuramento geral#
";"Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão(sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Cruzada#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Complementar#
Sucessão(sucessor)#
";Elevada;S;"30#
50# 
100# 


";"30 - após a data do assento de óbito# 
50 - anos sobre a data do registo de casamento#
100 - anos após a data do assento de nascimento#";"Critério legal:
[DL 324/2007], artº 15
1 - Os livros cujos registos tenham sido objecto de informatização são transferidos para a entidade responsável pelos arquivos nacionais.
2 - O disposto no número anterior é aplicável aos livros de registo relativamente aos quais tenha decorrido, à data do último assento:
a) Mais de 30 anos, quanto aos livros de assentos de óbito;
b) Mais de 50 anos, quanto aos livros de assentos de casamento;
c) Mais de 100 anos, quanto aos restantes livros de assentos.
3 - O disposto no número anterior é aplicável aos documentos que tenham servido de base aos assentos nele referidos.
(Tem por base o tempo médio de vida da pessoa, visa a utilidade gestionária esgotando quase na totalidade as necessidades administrativas de consulta.)                     ";"(1) Data do assento de óbito
(2) Data do registo de casamento.
(3) Data do assento de nascimento.
No caso dos registos em livro os prazos contam-se a partir da data do último assento lavrado no livro.";C;"Critério legal:
Código Civil, [DL 47344/66] (conservação para garante do exercício dos direitos de personalidade. Consagram direitos que não prescrevem no tempo).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400.10.002;Identificação fiscal;"Atribuição de número de identificação fiscal (NIF) destinado ao tratamento de informação de índole fiscal e aduaneira, constituindo um repositório de dados em atualização permanente.
Inicia com o pedido (declaração) e termina com a emissão de documento comprovativo de inscrição.
Inclui entrega, verificação e processamento de elementos identificativos,  bem como de elementos para o início, alteração e cessação de uma atividade económica.
Inclui também a emissão e autenticação de documento provisório de identificação fiscal.
Inclui ainda, sempre que o NIF corresponda ao Número de Identificação de Pessoa Coletiva (NIPC) atribuído pelo Registo Nacional de Pessoas Coletivas (RNPC), os elementos identificativos transmitidos  por aquela entidade à AT, por meio de transmissão eletrónica de dados.
";"Emissão de cartões de contribuinte#
Alteração, cancelamento e suspensão do registo#
Início, alteração e cessação de uma atividade profissional, comercial, industrial ou agrícola#
Inscrição oficiosa#
Pessoas singulares#
Pessoas coletivas#
Entidades legalmente equiparadas que se encontrem sujeitas ao cumprimento de obrigações ou pretendam exercer os seus direitos junto da entidade competente#
Cidadãos estrangeiros que pretendam inscrever-se como residentes#
Cidadãos estrangeiros que pretendam inscrever-se como não residentes#
Heranças indivisas#";;"O registo e identificação de pessoas coletivas e entidades equiparadas no Ficheiro Central de Pessoas Coletivas (FCPC), deve ser considerado em 400.10.009 – Registo Nacional de Pessoas Coletivas#
";"DL 14/2013#
DL 463/79#";;PC;S;AT#;AP#;Iniciar#;"400.10.009#
400.10.050#";"Registo Nacional de Pessoas Coletivas#
Registo de Operadores Económicos#";"Complementar#
Sucessão (antecessor)#";Elevada;S;10;;"Critério legal:
[DL 433/99], CPPT, artº 27, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos(...)"".";Data em que a pessoa deixou de existir;C;"Densidade informacional:
Informação não recuperável noutro processo de negócio (PN).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400.10.003;Registo de associações de municípios e de freguesias;"Atribuição de número e inscrição da constituição e extinção de associações de freguesias, seus estatutos e respetivas modificações.
Inicia com a comunicação pela entidade autárquica, respetivamente município ou freguesia, em cuja área está sediada a associação e termina com a emissão de declaração.
Inclui análise ao pedido, decisão, registo, atribuição de número e envio para publicação.";;;;"Portaria 376/2015
Lei 175/99#";;PE;S;DGAL#;AL#;Iniciar#;"400.10.009#
150.10.601#";"Registo Nacional de Pessoas Coletivas#
Caracterização de entidades para apoio à definição de políticas#";"Sucessão (sucessor)#
Suplementar#";Reduzida;S;5;;"Critério Legal:
CPA, [DL 4/2015], artº 168, nº 4 ""Salvo se a lei ou o direito da União Europeia prescreverem prazo diferente, os atos constitutivos de direitos podem ser objeto de anulação administrativa no prazo de cinco anos""
Prazo para a anulação do direito.";Data de encerramento do processo (dissolução ou extinção da entidade).;E;"Densidade informacional:
Informação sintetizada no
PN 400.10.09 - Registo Nacional de Pessoas Coletivas.
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400.10.004;Registo de cidadãos da União Europeia;"Formalização do direito de residência em Portugal de cidadão da União Europeia, Espaço Económico Europeu ou Suíça.
Inicia com o pedido do interessado e termina com a emissão de um certificado de registo temporário válido por cinco anos, ou de um certificado de residência permanente, nos casos dos cidadãos que tenham já residido ininterruptamente em território nacional por um período de 5 anos.
Inclui análise das condições do requerente, nomeadamente verificação do documento de identidade e declaração de honra assinada pelo requerente em como preenche as condições estipuladas por lei, para beneficiar do direito de residência.
";"Pedidos de cidadão da União Europeia, Islândia, Liechtenstein, Noruega e Suíça que entrem em território nacional e aqui desejem permanecer por período superior a três meses, ao abrigo do direito de livre circulação e de residência, conferido pelo direito da União aos cidadãos dos respetivos Estados-membros#
Pedidos de renovação do registo#
";;;"Portaria 1334-D/2010#
Lei 37/2006#";;PE;S;SEF#;AL#;Iniciar#;950.10.601#;Constituição de assembleias de apuramento geral#;Sucessão (sucessor)#;Média;S;5;;"Critério Legal:
[Lei 37/2006], artº 14, nº 4 ""O certificado de registo a que se refere o número anterior é válido por cinco anos a contar da data da sua emissão ou para o período previsto de residência do cidadão da União, se este período for inferior a cinco anos.""
O PCA foi inferido a partir do prazo de validade do certificado de registo (5 anos).";Data da emissão do certificado ou cartão.;C;"Densidade informacional:
A informação não recuperável noutro PN.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400.10.005;Registo de emissão de Cartão Europeu de Seguro de Doença;"Emissão de documento que assegura a prestação de cuidados de saúde a beneficiários de um sistema de segurança social de um dos Estados da União Europeia, Espaço Económico Europeu ou Suíça quando se desloca temporariamente a esses Estados.
Inicia com o pedido e termina com a emissão de cartão ou com a atualização dos dados.
Inclui apresentação de documento comprovativo de beneficiário de subsistema de saúde público ou particular.
";"Pedidos de renovação dos cartões dos restantes titulares# 
Pedidos de segunda via do cartão#";;;"Circular DSNEC 7/2012#
Portaria 1359/2009#
Circular Informativa DSPCS 20/2004#
Regulamento (CE) 883/2004#
Regulamento (CE) 859/2003#";;PE;S;"ISS#
ISSA#
ISSM#
ADSE#
IASFA#";;Comunicar#;"400.10.011#
400.10.012#";"Registo de trabalhadores no sistema da Segurança Social#
Registo de trabalhadores em subsistemas de saúde públicos#


 ";"Cruzada#
Cruzada#";Elevada;S;3;;"Conjugação dos critérios:
- Legal:
2003/751/CE: Decisão n.º 189 [Decisão (CE) 189/2003], de 18 de Junho de 2003;
[Portaria 1359/2009].
- Utilidade administrativa:
 tempo médio de validade do cartão (3 anos).";Data de encerramento  do processo.;E;"Densidade informacional:
Informação recuperável complementarmente em
PN 400.10.011 Registo de trabalhadores no sistema da Segurança Social;
PN 400.10.012 Registo de trabalhadores em subsistemas de saúde públicos.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400.10.007;Registo de entidades no sistema de Depósito Legal;"Inscrição de entidades depositantes no sistema de depósito legal.
Inicia com o pré-registo de inscrição de novas entidades depositantes e termina com a validação dos dados.
";"Proprietários, gerentes ou equivalentes de tipografias, oficinas ou fábricas#
Editores de  obras impressas no estrangeiro que tenham indicação do editor domiciliado em Portugal#";;;DL 73/82#;;PE;S;BNP#;AP#;Iniciar#;400.10.611#;Registo de publicações no sistema de Depósito Legal#;Sucessão (antecessor)#;Reduzida;S;5;;"Critério Legal:
Conjugação do CPA, [DL 4/2015], (responsabilização artº 168 - prazo para o registado pedir a anulação do ato de encerramento do registo)
com o prazo de prescrição para a aplicação da responsabilização sancionatória à entidade depositante, resultante da capacidade de punição pela não realização do depósito legal (artº 18, [DL 73/82], conjugado com o artº 70 da [Lei 98/97].

";"Data da cessação da inscrição da entidade no registo.

(Considerar o artigo 15.º do [DL 73/82], ""Até ao dia 10 de Janeiro de cada ano, as pessoas indicadas no artigo 10.º, n.º 1, deverão apresentar no Serviço do Depósito Legal uma declaração de que nada produziram no ano anterior sujeito a depósito legal, se tal houver acontecido."")
";C;"Complementaridade com o Registo de Depósito Legal.
 ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400.10.009;Registo Nacional de Pessoas Coletivas;"Registo e identificação de pessoas coletivas e entidades equiparadas mediante a inscrição no Ficheiro Central de Pessoas Coletivas (FCPC).
No caso de pessoas coletivas (não sujeitas a registo comercial):
Inicia com o pedido de certificado de admissibilidade de firma ou denominação e termina com a inscrição no FCPC e consequente emissão de cartão eletrónico de pessoa coletiva.
Inclui a instrução do processo, apreciação e decisão sobre a confundibilidade e verdade da firma ou denominação da mesma, emissão do certificado de admissibilidade e atribuição do número provisório de identificação.
No caso de pessoa coletiva sujeita a registo comercial:
O pedido de certificado inicia-se com o pedido, e termina com a inscrição no FCPC.
A inscrição ocorre oficiosamente e de forma automática no FCPC na sequência da confirmação de ato de registo comercial.
A inscrição de pessoa coletiva não sujeita a registo comercial no FCPC inclui a instrução do processo, apreciação e decisão sobre o pedido de inscrição, inscrição e consequente atualização dos dados no FCPC, conversão do número provisório em definitivo e consequente emissão do cartão eletrónico de pessoa coletiva.
No caso das entidades equiparadas:
Inicia com a inscrição no FCPC e termina com a atribuição do número de identificação e consequente emissão de cartão eletrónico de pessoa coletiva.
Inclui a instrução do processo, apreciação e decisão de inscrição e emissão do cartão de identificação de pessoa coletiva.                                                      
";"Registo de pessoas coletivas religiosas não católicos#
Certificado de constituição, inscrição, alteração de firma, sede ou objeto#
Constituição, modificação de firma ou denominação#
Alteração do objeto ou capital#
Alteração da sede#
Alteração do código de atividade económica#
Fusão, cisão ou transformação#
Cessão de atividade, dissolução#
Encerramento da liquidação de pessoas coletivas#
Inscrição e respetivas alterações de firma ou denominação, sede ou domicílio e endereço postal, objeto social ou atividade exercida, início e cessação de atividade#
Situações muito excecionais# 
Inscrição oficiosa das entidades que não tenham cumprido a obrigação legal de requerer a constituição de firma nome ou denominação#

";;"O apuramento emolumentar devido pela prática do ato por parte da Administração, bem como a cobrança coerciva da conta do ato (certificado de conta), não voluntariamente liquidada deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A emissão de cópias não certificadas de instrumentos públicos, de registos ou de outros documentos arquivados deve ser considerada em 450.30.503 – Confirmação, conferência ou emissão de cópias não certificadas#
A emissão de certidões de instrumentos públicos, de registos ou de outros documentos arquivados deve ser considerada em 450.30.003 – Emissão de certidões#
A impugnação hierárquica das decisões dos conservadores, deve ser considerada em 500.40.500 – Processamento de recursos hierárquicos#
A impugnação contenciosa das decisões dos conservadores deve ser considerada em 600.30.751 – Recurso das decisões das Autoridades Administrativas#
Os pedidos de informação que não se integram em nenhum processo específico devem considerados em 900.20.604 – Processamento de pedidos de informação e de esclarecimento#";"DL 129/98#
DL 247-B/2008#          ";;PC;S;IRN#;AP#;Iniciar#;"150.10.601#
350.10.600#
350.30.001#
400.10.002#
400.10.003#
400.10.053#
400.10.045#
400.10.046#
400.10.047#
400.10.050#
400.10.053#
400.10.200#
400.10.607#
400.10.612#
450.10.063#
450.10.072#
450.10.446#
450.10.447#
450.20.001#
450.30.003#
450.30.503#
500.30.001#
500.40.500#
";"Caracterização de entidades para apoio à definição de políticas#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Identificação fiscal#
Registo de associações de municípios e de freguesias#
Registo de organizações da sociedade civil em autoridade setorial#
Registo de Pessoas Coletivas Religiosas#
Registo de Pessoas Jurídicas Canónicas#
Identificador internacional de entidades contrapartes em transações financeiras#
Registo de operadores económicos#
Registo de organizações da sociedade civil em autoridade setorial#
Registo comercial#
Registo de domínio de .PT#
Registo de símbolos heráldicos#
Licenciamento ou autorização de atividades de transporte, circulação e deslocação#
Licenciamento ou autorização de atividades artísticas, desportivas e recreativas#
Reconhecimento de fundações#
Reconhecimento da natureza, âmbito e representatividade de entidades#
Reconhecimento de pessoas coletivas de utilidade pública#
Emissão de certidões#
Confirmação, conferência ou emissão de cópias não certificadas#
Processamento de contraordenações#
Processamento de recursos hierárquicos#
";"Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Complementar#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetiza)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Cruzada#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#";Média;S;1;;"Critério Legal:
[DL 129/98], artº 27, Conservação dos dados
""Os dados pessoais podem ser conservados no FCPC:
a) Até um ano após a inscrição da cessação da actividade de empresário individual;
b) Até um ano após a caducidade do certificado de admissibilidade ou, no caso de recurso hierárquico ou impugnação judicial, até um ano após o trânsito em julgado da decisão final"".
[DL 129/98]: Artigo 28.º, Conservação de documentos
«1 - Os pedidos de certificado de admissibilidade e de inscrição no FCPC são conservados em suporte informático.
2 - Se os pedidos referidos no número anterior forem efectuados em suporte físico, estes e a respetiva documentação anexa, caso exista, devem ser informatizados e conservados dessa forma, sendo imediatamente devolvidos aos interessados, desde que as condições técnicas permitam a informatização.
3 - Quaisquer outros documentos e registos inerentes ao funcionamento dos serviços que não contenham decisão de eficácia permanente podem ser destruídos decorrido um ano sobre a respetiva data»
";"Data cessação da atividade, dissolução ou extinção da entidade.
";C;"Densidade informacional:
Não é recuperável noutro PN.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400.10.010;Registo de trabalhadores no sistema da Caixa Geral de Aposentações;"Reinscrição ou atualização de dados no sistema da Caixa Geral de Aposentações.
Inicia com o envio dos dados e termina com o registo.
Inclui validação dos dados.";Atualização de dados de trabalhadores, incluindo os trabalhadores das Comissões sem estrutura administrativa e outras entidades que venham a ser designadas pelo(s) membro(s) do Governo#;;;"DL 309/2007#
DL 498/72#
DL 191-A/79#";"DL 309/2007#
DL 498/72 (com a redação dada pelo DL 191-A/79)#";PC;S;CGA#;AP#;Iniciar#;250.10.800#;Cessação da relação jurídica de emprego público#;Sucessão (sucessor)#;Elevada;S;5;;"Critério Legal:
CPA, [DL 4/2015], artº 168, nº 4º ""Salvo se a lei ou o direito da União Europeia prescreverem prazo diferente, os atos constitutivos de direitos podem ser objeto de anulação administrativa no prazo de cinco anos""
Prazo para a anulação do direito.
";Data de encerramento do processo;C;"Densidade informacional:
Não é recuperável noutro PN.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
