Estado;Código;Título;PN que aglutina;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;;;;;;
;450;RECONHECIMENTOS E PERMISSÕES;;"Relativo à atribuição de permissões para o exercício de atividades ou tarefas que observam padrões específicos; ao reconhecimento de características em entidades, serviços ou produtos que os tornam conformes a determinados parâmetros técnicos ou normativos; ao reconhecimento de características em entidades que as tornam passíveis de obter especial proteção ou especial benefício; à comprovação de factos ou atos.
Relativo, ainda, à formalização notarial de atos jurídicos extrajudiciais, conferindo-lhes fé pública.";;;"O processamento de pedidos de reconhecimento do estatuto de igualdade e do estatuto de refugiado, bem como o processamento de pedidos de autorização de residência, devem ser considerados em ""Prestação de serviços de identificação e registo/ Registo de dados de identificação e caracterização de entidades ou atos"" (400.10).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;450.10;Licenciamentos, certificações e outras autorizações;;Compreende os processos de natureza permissiva - licenciamento, acreditação, certificação, homologação, credenciação e outras autorizações que visam possibilitar o exercício de uma atividade ou reconhecer a conformidade de um produto ou serviço a determinados parâmetros legais ou normativos.;"Requerimentos e emissão do título respetivo#
Processamento intermédio, no que se inclui os pareceres emitidos por qualquer entidade no âmbito de cada processo#";"Licenciamento de intervenções urbanísticas#
Licenciamento de empresa#
Licenciamento de uso de explosivos#
Processamento das comunicações prévias produzidas no âmbito do regime simplificado de autorizações (por exemplo, para as atividades sujeitas ao designado ""licenciamento zero"")#
Homologação de curso#
Reconhecimento genérico de um grau académico num Estado, ou de um grau académico conferido por um conjunto de instituições de ensino superior de um Estado#
Certificação de produto#
Certificação de capacidade profissional#
Credenciação de pessoa ou empresa para o exercício de determinada ativida#";"As licenças de utilização de software devem ser consideradas em ""Administração de direitos, bens e serviços/ Aquisição, venda, abate ou permuta"" (300.10);
A certificação de habilitações deve ser considerada em ""Reconhecimentos e permissões/ Emissão de comprovativos de factos ou atos"" (450.30);
A certificação de saúde ou de incapacidade deve ser considerada em ""Reconhecimentos e permissões/ Emissão de comprovativos de factos ou atos"" (450.30);
A acreditação de diplomatas deve ser considerada em ""Execução da política externa/Coordenação e acompanhamento político e diplomático"" (200.20);
O processamento de pedidos de equivalência ou reconhecimento específicos, apresentados por titulares de graus académicos obtidos no estrangeiro, deve ser considerado em ""Prestação de serviços de ensino e formação/ Avaliação de aprendizagens"" (750.30).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;450.10.062;Licenciamento ou autorização de atividades de comércio;"450.10.007
450.10.042
450.10.044 
450.10.048
450.10.049
450.10.050
450.10.055";"Permissão para prestação de serviços de comércio de produtos, bem como para a abertura, modificação ou encerramento de estabelecimentos para o exercício da atividade.
Inicia com o pedido e termina com a comunicação da decisão ou com a libertação, substituição ou penalização da garantia, quando aplicável.
Inclui análise preliminar, verificação das condições de segurança das instalações ou apresentação e apreciação sumária da declaração de responsabilidade, quando devido, decisão sobre o pedido, cálculo do valor da taxa e comprovativo do seu pagamento, quando devido e a prestação de garantia, quando aplicável.";"Abertura e encerramento do estabelecimento#
Alteração da atividade exercida no estabelecimento#
Mudança de nome ou de insígnia do estabelecimento#
Mudança de titular do estabelecimento#
Comércio e armazenamento de produtos alimentares  (Anterior PN 450.10.007)#  
Armazenagem e comércio de armas, explosivos ou matérias perigosas (Anterior PN 450.10.044 – venda)#
Atividades de armeiro#
Comércio de substâncias controladas (PN Ex 450.10.055 – transação)#
Importação e exportação de mercadorias#
Licenciamento das empresas gestoras das plataformas eletrónicas da contratação pública#
";;"O pagamento da  taxa devida deve ser classificado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
O registo e a atualização dos dados relativos ao estabelecimento devem ser considerados em 400.10.200 – Registo comercial#
A aplicação da medida de suspensão da atividade deve ser classificada em 500.30.002 – Aplicação de sanções administrativas inominadas#
O licenciamento para o exercício da atividade e registo dos operadores de produtos químicos precursores de droga, o qual deve ser considerado em 450.10.444 – Reconhecimento de requisitos e competência técnica a entidades#
";"DL 15/93#
Decreto Regulamentar 61/94#
Decreto Regulamentar 28/2009#
Regulamento (CE) 273/2004#
Regulamento (CE) 111/2005#
DL 176/2006#
DL 259/2007#
DL 234/2007#
Regulamento (CE) 376/2008#
Regulamento (CE) 428/2009#
DL 92/2010#
DL 145/2009#
Deliberação do Conselho Diretivo do INFARMED 516/2010#
Deliberação do Conselho Diretivo do IGFSS 15/2010#
DL 48/2011#
Regulamento Delegado (UE) 1011/2015#
Regulamento (UE) 1013/2015#
Lei 5/2015#";"DL 15/93 e Decreto Reg. 61/94, republicado pelo Dec. Reg  28/2009# regulamentos setoriais#
DL 92/2010#
DL 145/2009#
Deliberação do Conselho Directivo do INFARMED 516/2010 (Regulamento anexo)#
Deliberação do Conselho Directivo do IGFSS 15/2010#

";PE;S;"AL#
PSP#
INFARMED#
AT#";"ASAE#
DGAE#";"Apreciar#
Apreciar#";"150.20.300#
300.30.008#
350.30.001#
400.10.200#
450.10.444#
500.10.001#
500.10.300#
500.10.301#
850.30.003#

";"Avaliação de atividades#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Registo comercial#
Reconhecimento de requisitos e competência técnica a entidades#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#
Gestão de suspensões e de contingentes pautais#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Síntese (sintetizado)#
Sucessão (sucessor)#
Suplementar#
Suplementar#
Suplementar#
Sucessão (sucessor)#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
[DL 433/99], CPPT, art 27º, n.º 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos(...)"".
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à atuação da entidade licenciada)

";"data da caducidade ou cancelamento da licença (sendo que no caso da licenças permanentes, deve considerar-se a data da cessação do exercício da atividade)
";E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade licenciadora);
PN 300.30.008 - Registo de documentos (casos licenciados);
PN 400.10.200 - Registo comercial (situação jurídica da entidade licenciada: início, alteração e cessação da actividade; modificações do seu estado civil e regime de bens; mudança de estabelecimento principal).";;;;;;;;;;;
;450.10.063;Licenciamento ou autorização de atividades de transporte, circulação e deslocação;"450.10.003
450.10.008
450.10.016
450.10.022
450.10.026
450.10.059
450.10.054 (parcial)";"Permissão para a prestação de serviços de transporte de passageiros e de mercadorias, desenvolvido de modo regular ou irregular.
Inicia com o pedido e termina com a notificação da decisão final.
Inclui análise preliminar, caracterização do tipo de transporte e da carga transportada, consulta de entidadades quando devido, apresentação de seguro de responsabilidade civil,  cálculo do valor da taxa devida e comprovativo do seu pagamento e entrega de dístico, quando devido.
";"Transporte de passageiros#
Transporte de mercadorias#
Transportes terrestres#
Transportes por oledutos ou gasodutos#
Transportes por água#
Transportes aéreos#
Armazenagem e atividades auxiliares dos transportes (inclui manuseamento)#
Atividades postais e de courier#
Atividades de aluguer de veículos#
Distribuição de medicamentos e produtos de saúde#
Circulação de veículos de grandes dimensões ou veículos especiais (PN Ex 450.10.003)#
Deslocação de animais (PN Ex 450.10.008)#
Transportes turísticos (PN Ex 450.10.016)#
Atividades de táxi (PN Ex 450.10.022 e PN Ex 450.10.026)#
Transporte de doentes não urgente (PN Ex 450.10.059)#";;A autorização para o transporte de resíduos deve ser considerada em PN 450.10.068 – Licenciamento de atividades de gestão de resíduos#;"Portaria 260/2014#
Lei 72/2013#
Lei 5/2013#
DL 255/2009#
DL 265/2007#
DL 44/2005#
DL 315/2003#
DL 41/2003#
DL 276/2001#
Lei 106/2001#
DL 251/98#
DL 114/94#";;PE;S;"IMT#
AL#

";"AL#
SPE#
GNR#
PSP#I
ES#
CCDR#
DGAV#
IES#
CPL#";"Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#";"150.20.300#
300.30.008#
350.30.001#
400.10.009#
500.10.001#
500.10.300#
500.10.301#";"Avaliação de atividades#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Registo Nacional de Pessoas Coletivas#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Síntese (sintetizado)#
Suplementar#
Suplementar#
Suplementar#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à atuação da entidade licenciada)

";"data da caducidade ou cancelamento da licença (sendo que no caso da licenças permanentes, deve considerar-se a data da cessação do exercício da atividade)
";E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade licenciadora);
PN 300.30.008 - Registo de documentos (casos licenciados);
PN 400.10.009 - Registo nacional de pessoas coletivas (situação jurídica da entidade licenciada: início, alteração e cessação da actividade; modificações do seu estado civil e regime de bens; mudança de estabelecimento principal).";;;;;;;;;;;
;450.10.064;Licenciamento ou autorização de atividades de alojamento e de restauração;450.10.005;"Permissão para a prestação de serviços de restauração e de alojamento temporário com fins lucrativos.
Inicia com o pedido e termina com o registo do estabelecimento.
Inclui realização de vistoria, definição da capacidade máxima de utilizadores, cálculo do valor da taxa devida e apresentação do comprovativo do seu pagamento.";"Empreendimentos de alojamento local (PN Ex 450.10.005)#
Empreendimentos de turismo no espaço rural#
Empreendimentos de turismo de habitação#
Empreendimentos turísticos#
Parques de campismo e de caravanismo#
Estabelecimentos de restauração e bebidas#";;A definição da capacidade e a classificação dos empreendimentos turísticos de acordo com o tipo de serviços aí prestado, deve ser considerado em 450.10.649 – Categorização de bens e produtos#;"DL 63/2015#
DL 128/2014#
DL 15/2014#
DL 228/2009#
DL 39/2008#
Portaria 517/2008#";;PE;S;"TP#
AL#";"AL#
CCDR#
DGADR#";"Apreciar#
Apreciar#
Apreciar#";"150.20.300#
300.30.008#
350.30.001#
500.10.001#
500.10.300#
500.10.301#";"Avaliação de atividades#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
Suplementar#
Suplementar#";Média;N;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à atuação da entidade licenciada)";"data da caducidade ou cancelamento da licença (sendo que no caso da licenças permanentes, deve considerar-se a data da cessação do exercício da atividade)
";E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade licenciadora);
PN 300.30.008 - Registo de documentos (casos licenciados);
PN 400.10.009 - Registo nacional de pessoas coletivas (situação jurídica da entidade licenciada: início, alteração e cessação da actividade; modificações do seu estado civil e regime de bens; mudança de estabelecimento principal).";"Lei 15/2014 - artº 40:
Fala do registo nacional turismo que compreende, entre outros, os empreendimentos turísticos (regulado pela Portaria n.º 1087/2010) assegurado pelo Turismo de Portugal, IP, para os empreendimentos com títulos válidos. A caducidade da autorização de utilização para fins
turísticos nos termos do artigo 33.º determina o cancelamento
da inscrição do empreendimento turístico no RNET.

Será um registo de 400 ou um registo operacional?";;;;;;;;;;
;450.10.065;Licenciamento ou autorização de atividades de prestação de serviços de segurança privada;450.10.041;"Permissão para o exercício da atividade de prestação de serviços de segurança privada a terceiros  por concessão de alvará, licença ou autorização.
Inicia com o pedido e termina com a comunicação da decisão ao interessado e às forças de segurança e de inspeção competentes.
Inclui análise preliminar, validação e verificação de qualificações profissionais, vistoria (quando devido)  a instalações e meios materiais a utilizar na atividade, consulta de entidades, submissão para decisão ao membro do governo competente, decisão, cálculo do valor da taxa devida e entrega do comprovativo do seu pagamento, emissão de cartões de vigilante, renovação de documentos.
";"Prestação de serviços a terceiros por entidades privadas com vista à proteção de pessoas e bens, bem como à prevenção da prática de crimes (PN 450.10.041)#
Organização, por quaisquer entidades e em proveito próprio, de serviços de autoproteção, com vista à proteção de pessoas e bens, bem como à prevenção da prática de crimes#
Registo das entidades que exercem a atividade de estudo e conceção, instalação, manutenção ou assistência técnica de material e equipamento de segurança ou de centrais de alarme#";;;"Lei 34/2013#
Lei 53/2007#
Portaria 273/2013#
Portaria 272/2013#
Portaria 261/2013#
Lei 53/2013#
Lei 52/2013#
Lei 9/2012#
Lei 39/2009#
Lei 49/2008#
DL 101/2008#
Lei 1/2005#";;PE;S;PSP#;"CNPD#
IGAI#
";"Apreciar#
Comunicar#";"150.20.300#
300.30.008#
350.30.001#
500.10.001#
500.10.300#
500.10.301#";"Avaliação de atividades#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
Suplementar#
Suplementar#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à atuação da entidade licenciada)";"data da caducidade ou cancelamento da licença (sendo que no caso da licenças permanentes, deve considerar-se a data da cessação do exercício da atividade)
";C;"Critério: Densidade informacional
Embora a informação relativa à atuação da entidade licenciadora e aos casos licenciados se encontre sintetizada em
PN 150.20.300 - Avaliação de atividades;
PN 300.30.008 - Registo de documentos.
Não se dispõe de PN sintetizador sobre a atividade da entidade licenciada, pelo que aplicando a escala de risco se opta pela conservação.

";PN sem registo nacional;;;;;;;;;;
;450.10.066;"Licenciamento ou autorização de atividades agrícolas, pecuárias, florestais, de caça e de pesca



";"450.10.009
450.10.013
450.10.014
";"Permissão para desenvolver atividades de exploração agrícola, produção animal, silvicultura e exploração florestal.
Inicia com a formulação do pedido e termina com a emissão da licença.
Inclui análise preliminar, verificação da conformidade com planos de ordenamento aplicáveis, consulta e concertação de entidades, vistoria, quando aplicável, cálculo da taxa devida e apresentação do comprovativo do seu pagamento.
";"Permissão para atividades de aquicultura e de pesca#
Permissão para realizar ações tendentes à alteração do revestimento vegetal e do relevo natural do solo arável#
Permissão para caçar em determinado período e local (PN 450.10.014)#
Permissão para o exercício de atividades pecuárias (PN 450.10.009)#
Licenciamento de atividades agrícolas e florestais (PN 450.10.013)#";;"As atividades de pesca desportiva e recreativa devem ser consideradas em 450.10.072 – Licenciamento ou autorização de atividades artísticas, desportivas e recreativas#
";"DL 96/2013#
DL 81/2013#
DL 107/2011#
DL 114/2010#
DL 73/2009#
DL 16/2009#
DL 214/2008#
DL 166 /2008#
Portaria 1509/2007#
DL 180/2006#
Lei 33/96#
DL 139/89#
";;PE;S;"DRAP#
ICNF#
AL#";"CCDR#
APA#
AL#
CPL#";"Apreciar#
Apreciar#
Apreciar#
Apreciar#";"150.20.300#
300.30.008#
350.30.001#
400.10.200#
500.10.001#
500.10.300#
500.10.301#
800.10.301#";"Avaliação de atividades#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Registo comercial#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#
Monitorização de índices da qualidade ambiental#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Síntese (sintetizado)#
Suplementar#
Suplementar#
Suplementar#
Cruzada#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à atuação da entidade licenciada)";"data da caducidade ou cancelamento da licença (sendo que no caso da licenças permanentes, deve considerar-se a data da cessação do exercício da atividade)
";E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade licenciadora);
PN 300.30.008 - Registo de documentos (casos licenciados);
PN 400.10.200 - Registo comercial (situação jurídica da entidade licenciada: início, alteração e cessação da actividade; modificações do seu estado civil e regime de bens; mudança de estabelecimento principal)";;;;;;;;;;;
;450.10.068;Licenciamento de atividades de gestão de resíduos;;"Atribuição  de licença a operadores de transporte e armazenagem, tratamento, valorização e eliminação de resíduos (OGR).
Inicia com  a entrega do pedido e termina com a emissão do alvará.
Inclui análise preliminar, consulta a entidades, avaliação do projeto de execução e de exploração, realização de vistoria, prestação de garantia financeira e  decisão.  ";"Operações de imersão e aterro de resíduos#
Gestão de todo o tipo de resíduos, incluindo os resíduos radioactivos#
Alteração de alvará#
Renovação de alvará#
";;;"Portaria 209/2004#
Portaria 29-B/98#
Portaria 174/97#
Portaria 732-A/96#
DL 127/2013#
DL 73/2011#
DL 226-A/2007#
DL 178/2006#
DL 3/2004#
DL 236/98#
Decreto 59/97#
Lei 58/2005#
Portaria 335/97#
DL 41-A/2010#
Declaração de Retificação 18/2010#";;PE;S;"DGS#
APA#
CCDR#";"APA#
IST#
IMT#
CCDR#";"Apreciar#
Apreciar#
Apreciar#
Apreciar#";"150.20.300#
300.30.008#
350.30.001#
500.10.001#
500.10.300#
500.10.301#
800.10.301#
900.20.201#";"Avaliação de atividades#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#
Monitorização de índices da qualidade ambiental#
Edição e publicação de conteúdos#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
Suplementar#
Suplementar#
Cruzada#
Sucessão (sucessor)#";Elevada;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à atuação da entidade licenciada)";data da caducidade da licença (sendo que no caso da licenças permanentes, deve considerar-se a data da cessação do exercício da atividade);E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade licenciadora);
PN 300.30.008 - Registo de documentos (casos licenciados).";;;;;;;;;;;
;450.10.070;Licenciamento ou autorização de atividades industriais;"450.10.017
450.10.018
450.10.024
450.10.047
450.10.044 
450.10.042 
450.10.055 
";"Obtenção de título para o exercício de atividades industriais.
Inicia com o requerimento ou com a entrega de formulário e termina com a autorização ou com o registo no balcão de empreendedor.
Inclui análise preliminar, consulta de entidades, quando devido, verificação de condicionantes legais, realização de vistoria, concertação de posições, cálculo do valor da taxa e comprovativo do seu pagamento.
";"Licenciamento de exploração de pedreiras (PN 450.10.017)#
Licenciamento de indústrias (PN 450.10.018)#
Licenciamento de pesquisa de massas minerais e pedreiras (PN 450.10.024)#
Autorização de fabrico de medicamentos e de medicamentos experimentais (PN 450.10.047)#
Autorização de fabrico de armas (PN 450.10.044 – fabrico)#
Autorização de fabrico de explosivos (PN 450.10.042 – fabrico)#
Autorização de fabrico de substâncias controladas (PN 450.10.055 – fabrico)#";;"As instalações devem ser consideradas em 450.10.208 – Licenciamento ou autorização de instalações industriais#
O licenciamneto da transformação e aproveitamento de resíduos para outros fins deve ser considerado em PN 450.10.068 – Licenciamento de atividades de gestão de resíduos# ";"DL 54/2015#
DL 381/2007#
DL 127/2013#
Portaria 303/2013#
Portaria 302/2013#
DL 48/2011#
DL 169/2012#
Declaração de Retificação 108/2007#
DL 340/2007#
DL 270/2001#";;PE;S;"AL#
DGAE#";"AL#
ANPC#
ACT#
CCDR#
DGAV#
";"Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#";"150.20.300#
150.40.500#
300.30.008#
350.30.001#
450.10.210#
500.10.001#
500.10.300#
500.10.301#
800.10.301#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Autorização para ligação à rede de efluentes industriais#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#
Monitorização de índices da qualidade ambiental#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Sucessão (antecessor)#
Suplementar#
Suplementar#
Suplementar#
Cruzada#";Elevada;N;30;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade por danos ambientais
[DL 147/2008], Artigo 33.º
""Consideram-se prescritos os danos causados por quaisquer emissões, acontecimentos ou incidentes que hajam decorrido há mais de 30 anos sobre a efectivação do mesmo.""";data da caducidade da licença (sendo que no caso da licenças permanentes, deve considerar-se a data da cessação do exercício da atividade);C;"Critério: Densidade informacional
Embora a informação relativa à atuação da entidade licenciadora e aos casos licenciados se encontre sintetizada em
PN 150.20.300 - Avaliação de atividades;
PN 300.30.008 - Registo de documentos.
Não se dispõe de PN sintetizador sobre a atividade da entidade licenciada, pelo que aplicando a escala de risco se opta pela conservação.";;;;;;;;;;;
;450.10.071;Licenciamento ou autorização de atividades de prestação de serviços de apoio social;450.10.020;"Atribuição de licença de funcionamento necessária para que os estabelecimentos de apoio social geridos por entidades privadas e instituições particulares de solidariedade social sem acordo, possam exercer atividades de respostas sociais.
Inicia com o requerimento do interessado e termina com a emissão da licença.
Inclui análise preliminar, validação do projeto de regulamento, consulta de entidades, cálculo do valor da taxa devida e comprovativo do seu pagamento.";"Licenciamento da atividade de serviços de apoio social (Anterior PN 450.10.020)#
Substituição de alvará de licenciamento#
Apoio social com alojamento#
Apoio social sem alojamento#";;"A construção de edifícios destinados ao funcionamento de respostas sociais deve ser considerada em 450.10.204 – Licenciamento ou autorização de edificações#
A autorização para usar determinado edifício ou espaço para atividades sociais deve ser considerada em 450.10.205 – Licenciamento de utilização de fogos ou espaços#";"DL 172-A/2014#
Portaria 96/2013#
Portaria 38/2013#
Lei 24/2012#
Portaria 411/2012#
Portaria 262/2011#
DL 99/2011#
DL 92/2010#
Portaria 139/2007#
Despacho Normativo 28/2006#
Despacho Normativo 96/89#";;PE;S;ISS#;AL#;Apreciar#;"150.20.300#
300.30.008#
350.30.001#
500.10.001#
500.10.300#
500.10.301#";"Avaliação de atividades#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
Suplementar#
Suplementar#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à atuação da entidade licenciada)";data da caducidade da licença (sendo que no caso da licenças permanentes, deve considerar-se a data da cessação do exercício da atividade);E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade licenciadora)
PN 300.30.008 - Registo de documentos (casos licenciados)
e no Registo de instituições Particulares de Solidariedade social (situação jurídica da entidade licenciada: início, alteração e cessação da actividade; modificações do seu estado civil e regime de bens; mudança de estabelecimento principal)";"Portaria 139/2007:  aprova o Regulamento de Registo das Instituições Particulares de Solidariedade Social do Âmbito da
ação Social do Sistema de Segurança Social,";;;;;;;;;;
