Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos Complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma contagem de prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;
600;ADMINISTRAÇÃO DA JUSTIÇA;"Relativo às atividades diretamente relacionadas com o acesso à justiça, sejam elas no âmbito da competência específica das autoridades administrativas e/ou da respetiva interação com as autoridades judiciárias.
Compreende toda a resolução de litígios pela via administrativa, judicial ou por formas alternativas, bem como a aplicação de sanções, de penas e de medidas cautelares, em qualquer tipo de ilícito.";Todas as entidades que participam nos processos de administração da justiça, independentemente da sua participação ser ativa ou passiva#;;;;;;;;;;;;;;;;;;;;;;;;;
600.10;Prevenção e investigação criminal;Compreende as operações relacionadas com a prevenção, deteção e investigação de crimes (incluindo averiguações e inquéritos, processo-crime, apreensões e detenções) e com a recolha e o processamento de informação criminal.;;;"As ações de sensibilização e divulgação pública de informação de prevenção criminal devem ser consideradas em ""Dinamização e comunicação institucional/ Execução de atividades de dinamização da sociedade"" (900.10).";;;;;;;;;;;;;;;;;;;;;;;
600.10.001;Processamento de averiguação preventiva;"Ações de prevenção no âmbito da criminalidade económico-financeira realizadas por iniciativa própria da Polícia Judiciária ou do Ministério Público.
Inicia com a aquisição da notícia de factos suscetíveis de fundamentar suspeitas do perigo da prática de um crime e termina com a instauração do respetivo processo criminal ou com o arquivamento.
Inclui diligências preventivas relativas a certos tipos de crimes (corrupção, peculato e participação económica em negócio, administração danosa em unidade económica do setor público, fraude na obtenção ou desvio de subsídio, subvenção ou crédito, infrações económico-financeiras cometidas de forma organizada, com recurso à tecnologia informática, infrações económico-financeiras de dimensão internacional ou transnacional), realizadas quer pelo Ministério Público quer pela Polícia Judiciária.";"Recolha de informação relativamente a notícia de factos suscetíveis de fundamentar suspeitas do perigo da prática de um crime#
Solicitação de inquéritos, sindicâncias, inspeções e outras diligências que se revelem necessárias e adequadas à averiguação da conformidade de determinados atos ou procedimentos administrativos, no âmbito das relações entre a Administração Pública e as entidades privadas#
Proposta de medidas suscetíveis de conduzirem à diminuição da corrupção e da criminalidade económica e financeira#";;;"Ordem de Serviço da PGR 4/2015#
Lei 20/2008#
Decisão-Quadro (UE) 568/JAI/2003#
Lei 36/94#";"Ordem de Serviço 4/2015 da PGR#
Lei 20/2008, art 10#
Decisão Quadro 2003/568/JAI#
Lei 36/94, art 1#";PE;S;"PJ#
MP#";AL#;"Iniciar#
Comunicar#";"150.20.300#
150.40.500#
600.10.007#
600.10.500#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Processamento de informação criminal#
Processamento de inquérito-crime#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Sucessão (sucessor)#";Média;S;15;;"Critério legal:
Prescrição do procedimento criminal ([DL 48/95], Código Penal, artº 118).";Data de inicio do processo (abertura da averiguação preventiva).;E;"Conjugação dos critérios
- Legal:
Com a exceção dos casos em que surjam elementos que indiciem a prática de um crime (em que é instaurado o respetivo inquérito/processo criminal), as Averiguações Preventivas, dado o seu elevado grau de sigilo, não são passíveis de comunicabilidade, sob pena de violação dos direitos, liberdades e garantias dos cidadãos (cf. artº 2, 3 e, em especial, artº 7 da [Lei 36/94]).
- Densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (Relatório anual de atividades);
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (estatísticas organizacionais e operacionais).";;;;;
600.10.002;Processamento de ação de prevenção do branqueamento de capitais;"Tratamento da informação financeira proveniente de transações suspeitas, no âmbito da prevenção do branqueamento de capitais, financiamento do terrorismo e crimes tributários.
Inicia com a comunicação ou participação às entidades competentes de factos suscetíveis de poder configurar a prática do crime de branqueamento ou de financiamento do terrorismo (comunicação de transação suspeita) e termina com a confirmação da suspeita e encaminhamento para inquérito ou com o arquivamento.
Inclui a recolha, registo, tratamento e difusão da informação proveniente de entidades financeiras e de supervisão, bem como de entidades não financeiras e de fiscalização no âmbito da prevenção do branqueamento de capitais, financiamento do terrorismo e crimes tributários.";Comunicações de entidades financeiras e de supervisão, bem como às de entidades não financeiras e de fiscalização no âmbito da prevenção do branqueamento de capitais, financiamento do terrorismo e crimes tributários#;;;"DL 42/2009#
Lei 25/2008#
DL 93/2003#
Lei 47/86#";"DL 42/2009, art 5#
Lei 25/2008#
DL 93/2003#
 Lei 47/86, art 47, nº 4#";PE;S;"PJ#
MP#";"IRN#
ASF#";"Decidir#
Comunicar#

";"150.20.300#
150.40.500#
600.10.007#
600.10.500#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Processamento de informação criminal#
Processamento de inquérito-crime#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Sucessão (sucessor)#";Média;S;15;;"Critério legal:
Prescrição do procedimento criminal ([DL 48/95], Código Penal, artº 118).
Considerou-se o prazo de prescrição do crime de branqueamento e financiamento do terrorismo, atendendo à utilidade deste tipo de informação nos crimes considerados.

Nota: As entidades que remetem à PJ/PGR a informação financeira proveniente de transações suspeitas são obrigadas a conservar os registos pelos prazos previstos, respetivamente, nos n.os 1 e 2 do artigo 14º da [Lei 25/2008]: ""Dever de conservação - 1 — As cópias ou referências aos documentos comprovativos do cumprimento do dever de identificação e de diligência devem ser conservadas por um período de sete anos após o momento em que a identificação se processou ou, no caso das relações de negócio, após o termo das mesmas. 2 — Os originais, cópias, referências ou quaisquer suportes duradouros, com idêntica força probatória, dos documentos comprovativos e dos registos das operações devem ser sempre conservados, de molde a permitir a reconstituição da operação, durante um período de sete anos a contar da sua execução, ainda que, no caso de se inserir numa relação de negócio, esta última já tenha terminado"".
";Data de início do processo (data de receção da comunicação de operação suspeita).;E;"Conjugação dos critérios
- Legal:
As informações fornecidas para efeitos das ações de prevenção do branqueamento de capitais apenas podem ser utilizadas em processo penal, não podendo ser revelada, em caso algum, a identidade de quem as forneceu (cf. nº 2 do artº 16 e 20 da [Lei 25/2008]). Paralelamente, acautela-se o caráter reservado da informação contida no processo (dados pessoais/nominais dos visados e sigilo bancário).
- Densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (Relatório anual de atividades);
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (estatísticas organizacionais e operacionais).";;;;;
600.10.003;Validação judiciária de medidas de polícia;"Comunicações legais avulsas dos órgãos de polícia criminal (OPC) relativas à identificação de suspeitos, revista de pessoas, apreensão de correspondência, localização celular sem processo em curso, operações especiais de prevenção de armas, acesso a instalações, entre outras, que carecem de ratificação judicial, em cumprimento de preceito legal do Código de Processo Penal ou de outro diploma legal.
Inicia com a comunicação dos órgãos de polícia criminal e termina com o seu arquivamento pelo Ministério Público (MP) ou com a evolução para outro tipo de processo.
";"Identificação de suspeitos#
Revista de pessoas#
Apreensão de correspondência#
Localização celular sem processo em curso#
Operações especiais de prevenção de armas#
Acesso a instalações#
Outras medidas de polícia previstas nos art 28.º e 29.º da Lei 53/2008#
";;;"Ordem de Serviço da PGR 4/2015#
Lei 54/2012#
Lei 53/2008#
Lei 37/2008#
Lei 5/2006#
DL 78/87#";"Ordem de Serviço da PGR 4/2015#
Lei 54/2012, art 6#
Lei 53/2008, art 28, 29 e 33#
Lei 37/2008, art 4#
Lei 5/2006, art 107 e 109 a 111#
Código de Processo Penal, art 250 a 253#";PE;S;"Trb#
MP#";"OPC#
AL#
";"Iniciar#
Comunicar#
";"150.20.300#
150.40.500#
600.10.007#
600.10.500#
600.10.502#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Processamento de informação criminal#
Processamento de inquérito-crime#
Procedimento preliminar a processo sumário#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Sucessão (sucessor)#
Sucessão (antecessor)#";Média;N;10;;"Critério legal:
Prescrição do procedimento criminal ([DL 48/95], Código Penal, artº 118).
Caducidade de direitos de ação por eventual responsabilidade tipicamente associados a esta ação.";A partir do conhecimento do cidadão afetado.;E;"Densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (Relatório anual de atividades);
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (estatísticas organizacionais e operacionais).";;;;;
600.10.004;"Averiguação de identidade de cadáveres
";"Recolha e tratamento de elementos que possibilitem a identificação de cadáveres não identificados.
Inicia com a comunicação da existência de um cadáver não identificado e termina com o apuramento da identidade ou com a eventual evolução para inquérito-crime ou outro tipo de processo.
Inclui todas as diligências para a identificação do cadáver, colaboração com outros serviços oficiais, bem como eventuais difusões e pedidos de colaboração (de cariz policial ou pela publicação na internet ou em jornais dirigidos ao público em geral).";Identificação através de dados biométricos, vestuário e características anatómicas (por exemplo, ficha dentária ou existência de próteses)#;Ficha dentária ou existência de próteses#;;"DL 42/2009#
DL 352/99#";;PE;S;"PJ#
INMLCF#";"MP#
IRN#
HH#
OPC#";"Decidir#
Assessorar#
Assessorar#
Assessorar#";"150.20.300#
150.40.500#
400.10.001#
400.10.048#
600.10.006#
600.10.007#
600.10.500#
800.10.603#
";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo civil#
Registo de perfis de ADN com fins de identificação criminal e civil#
Averiguação e localização de pessoas desaparecidas#
Processamento de informação criminal#
Processamento de inquérito-crime#
Realização de perícias#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#";Média;N;15;;"Conjugação dos critérios:
- Legal:
Prescrição do procedimento criminal ([DL 48/95], Código Penal, artº 118), pelo eventual apoio informacional a um processo no PN 600.10.500 (Processamento de inquérito-crime).
Paralelamente, cobrem-se os prazos necessários para o desencadeamento e processamento de outro processo judicial que resulte da identificação do cadáver (ex.: morte presumida judicialmente declarada - artº 114º do Código Civil, [DL 47344/66]), bem como para os averbamentos (e posterior processamento) no PN 400.10.001 - Registo Civil (ex.: artºs 69º e 70º do Código do Registo Civil, [DL n.º 131/95]).
- Utilidade administrativa:
Pela possibilidade de confrontação com os elementos do PN 600.10.006 - Averiguação e localização de pessoas desaparecidas.
";Data de encerramento do processo (após a descoberta da identidade do cadáver ou do arquivamento /inconclusivo).;E;"Critério da densidade informacional:
Existência de relações síntese com o
PN 400.10.001 - Registo Civil (Registo do óbito), em especial.
PN 150.20.300 - Avaliação de atividades (Relatório anual de atividades);
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (estatísticas organizacionais e operacionais).";;;;;
600.10.005;Deteção de bens furtados em registos de objetos transacionados e de salvados;"Análise e tratamento de relações e listas de objetos transacionados (provenientes de casas de penhores, adelos, leiloeiras, etc.) e de existências ou vendas de salvados (veículos automóveis), destinando-se a apoiar a investigação de furtos ou roubos de objetos e de tráfico e viciação de veículos.
Inicia com a comunicação dos proprietários, administradores, gerentes, diretores ou quaisquer outros responsáveis dos estabelecimentos lugares e estabelecimentos que possam ocultar atividades de recetação ou comercialização ilícita de bens ou com a comunicação da companhia de seguros à unidade da PJ com jurisdição na área em que se situam e termina com o arquivamento da documentação ou com o seu envio para um inquérito pré-existente.
Inclui todo o processamento, tratamento e cruzamento da documentação.";;;As ações de fiscalização e vigilância de locais suscetíveis de propiciarem a prática de atos ilícitos criminais, nomeadamente estabelecimentos de transação de objetos (casas de penhores, adelos, ourivesarias, ferros-velhos, etc.), deverão ser consideradas em 500.10.301 – Realização de fiscalização.;"DL 42/200#
Lei 37/2008#";"DL 42/2009, art 14#
Lei 37/2008, art 4, nº 2 e 3#";PE;S;PJ#;"IRN#
OPC#
AL#";"Comunicar#
Assessorar#
Comunicar#";"150.20.300#
150.40.500#
500.10.301#
600.10.007#
600.10.500#
";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Realização de fiscalização#
Processamento de informação criminal#
Processamento de inquérito-crime#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#";Média;S;10;;"Conjugação dos critérios:
- Legal:
Prescrição do procedimento criminal ([DL 48/95], Código Penal, artº 118) - Determinante para o enquadramento da prescrição do crime.
- Utilidade administrativa:
Cobertura dos prazos necessários para a investigação e para a prescrição ([DL 48/95], Código Penal, artº 118) dos crimes tipicamente associados (ex. furto) a esta ação.";Data da receção das relações ou listas.;E;"Densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (Relatório anual de atividades);
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (estatísticas organizacionais e operacionais).";;;;;
600.10.006;Averiguação e localização de pessoas desaparecidas;"Ações e demais diligências de deteção de pessoas dadas como desaparecidas e de averiguação do motivo para o seu desaparecimento.
Inicia com a participação às autoridades do desaparecimento de uma pessoa e termina com a localização ou aparecimento da pessoa ou cadáver, arquivamento ou ainda com a eventual evolução para inquérito-crime.
Inclui as difusões e pedidos de colaboração (de cariz oficial ou pela publicação na internet ou em jornais, dirigidos ao público em geral), bem como o correspondente registo na base de dados de desaparecidos.";Tratamento dado às ações de averiguação e localização de pessoas desaparecidas que não evoluem para inquérito-crime#;;;"Ordem de Serviço da PGR 4/2015#
DL 42/2009#
DL 352/99#";"Ordem de Serviço da PGR 4/2015#
DL 42/2009, art 14#
DL 352/99#";PE;S;PJ#;"OPC#
INMLCF#";"Assessorar#
Comunicar#
";"150.20.300#
150.40.500#
400.10.001#
400.10.048#
600.10.004#
600.10.007#
600.10.500#
600.30.#
800.10.603#
";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo civil#
Registo de perfis de ADN com fins de identificação criminal e civil#
Averiguação de identidade de cadáveres#
Processamento de informação criminal#
Processamento de inquérito-crime#
Produção de prova e decisão judicial#
Realização de perícias#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#";Média;N;10;;"Critério Legal:
[DL 47344/66], Código Civil, artº 114 - (Morte presumida)
""1. Decorridos dez anos sobre a data das últimas notícias, ou passados cinco anos, se entretanto o ausente houver completado oitenta anos de idade, podem os interessados a que se refere o artigo 100º requerer a declaração de morte presumida.
2. A declaração de morte presumida não será proferida antes de haverem decorrido cinco anos sobre a data em que o ausente, se fosse vivo, atingiria a maioridade.
3. A declaração de morte presumida do ausente não depende de prévia instalação da curadoria provisória ou definitiva e referir-se-á ao fim do dia das últimas notícias que dele houve.""";Data da descoberta, do arquivamento ou encerramento. No caso de menores, a partir da data em que atingiriam a maioridade.;E;"Critério da densidade informacional:
Existência de relações síntese, em especial, com o PN 400.10.001 - Registo Civil (Registo do óbito) e com os processos subsequentes do PN 600.30.
Possui ainda relações de síntese com os
PN 150.20.300 - Avaliação de atividades (Relatório anual de atividades);
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (estatísticas organizacionais e operacionais).";;;;;
600.10.007;Processamento de informação criminal;"Recolha, tratamento, registo, análise, gestão e difusão de informação proveniente de participações, inquéritos e outro expediente oriundo das autoridades judiciárias, policiais e outras, referente a pessoas e bens sobre as quais recai um pedido de ação.
Inicia com a solicitação da autoridade competente ou outra comunicação e termina com a satisfação do solicitado, captura, anulação ou outra resposta.
Inclui todo o processamento da informação e sua utilização.";"Processamento de pedidos de pessoas a procurar e de objetos furtados#
Reconhecimento de pessoas, bem como o registo, controlo e resposta a diversos pedidos de informação""
Procedimentos realizados em caso de ocorrência de evasão de recluso do estabelecimento prisional e de ausência não autorizada do recluso#";"Pedidos de paradeiro#
Mandados/pedidos de captura#
Ordens de expulsão#
Interdições de saída#
Mandados de recondução#
Obras de arte furtadas#
Veículos furtados#";;"Lei 115/2009#
DL 352/99#";"Lei 115/2009, art 97#
DL 352/99#";PE;S;PJ#;"DGRSP#
OPC#
AL#";"Comunicar#
Executar#
Comunicar#";"150.20.300#
150.40.500#
400.10.048#
600.10.001#
600.10.002#
600.10.003#
600.10.004#
600.10.005#
600.10.006#
600.10.008#
600.10.500#
600.10.501#
600.10.502#
600.10.503#
600.10.507#
600.10.508#
600.10.509#
600.10.511#
600.10.512#
600.30.001#
600.30.002#
600.30.050#
600.30.051#
600.30.052#
600.30.150#
600.30.151#
600.30.152#
600.30.153#
600.30.154#
600.30.156#
600.30.157#
600.30.358#
600.40.001#
600.40.002#
600.40.300#
600.40.302#
800.10.603#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de perfis de ADN com fins de identificação criminal e civil#
Processamento de averiguação preventiva#
Processamento de ação de prevenção do branqueamento de capitais#
Validação judiciária de medidas de polícia#
Averiguação de identidade de cadáveres#
Deteção de bens furtados em registos de objetos transacionados e de salvados#
Averiguação e localização de pessoas desaparecidas#
Transmissão prévia de ações a desencadear no combate ao tráfico de estupefacientes#
Processamento de inquérito-crime#
Processamento de inquérito tutelar educativo#
Procedimento preliminar a processo sumário#
Processamento da instrução#
Diligências de investigação decorrentes de pedido de cooperação internacional#
Processamento de informação respeitante ao combate ao tráfico de estupefacientes#
Controlo operacional do consumo e apreensão de droga#
Realização de serviço permanente de piquete e prevenção#
Processamento de autos de notícia, participações, denúncias e outras informações de interesse criminal não registadas como inquérito#
Comum com intervenção de tribunal coletivo ou de júri#
Comum com intervenção de tribunal singular#
Ação Abreviada#
Ação Sumária#
Ação Sumaríssima#
Extradição passiva#
Mandado de detenção europeu#
Transferência de pessoa condenada#
Transmissão de processo penal#
Execução de sentença penal estrangeira#
Vigilância de pessoa condenada ou libertada condicionalmente#
Atos particulares de auxílio internacional em matéria penal#
Ação tutelar educativa#
Acompanhamento da execução de pena e medida privativa da liberdade#
Execução de pena e medida privativa da liberdade em meio prisional#
Expulsão judicial#
Execução de pena e medida na comunidade#
Realização de perícias#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
";Elevada;N;15;;"Conjugação dos critérios:
- Legal:
Prescrição do procedimento criminal ([DL 48/95], Código Penal, artº 118).
- Utilidade administrativa:
Tempo requerido para que nos PN relacionados seja verificada a informação criminal existente, atendendo aos prazos de prescrição do procedimento criminal (ver PN relacionados); Amplitude temporal necessária para a constituição de amostras padrão (dada a diversidade dos crimes investigados, alguns com reduzidas ocorrências/ano) que permitam a realização de estudos de reincidência e análise criminal de padrões de comportamento.";Data da comunicação da cessação do interesse (anulação ou passagem ao estado de inativo).;E;"Conjugação dos critérios:
- Legal:
[Lei 67/98] - Lei da Proteção Dados Pessoais - artº 5, nº 1, al) e - [Os dados pessoais devem ser] ""Conservados de forma a permitir a identificação dos seus titulares apenas durante o período necessário para a prossecução das finalidades da recolha ou do tratamento posterior"".
- Densidade informacional:
Os elementos relevantes apurados para efeitos de informação criminal encontram-se nos processos-fonte da classe 600.";;;;;
600.10.008;Transmissão prévia de ações a desencadear no combate ao tráfico de estupefacientes;"Processamento dos pedidos submetidos pelas várias entidades policiais à PJ, decorrente da obrigatoriedade de comunicação prévia de ações planeadas a desencadear no âmbito de investigações sobre tráfico de estupefacientes, para efeitos de coordenação entre órgãos de polícia criminal.
Inicia com a realização e correspondente receção do pedido e termina com a resposta.
Inclui toda a troca de informações relativa ao pedido.";;;;DL 81/95#;"DL 81/95, art 4, nº 3#
Protocolo de 07-10-1996 - PJ, GNR, PSP, SEF e Alfândegas#";PE;S;PJ#;"OPC#
PMun#";"Iniciar#
Comunicar#";"150.20.300#
150.40.500#
600.10.007#
600.10.500#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Processamento de informação criminal#
Processamento de inquérito-crime#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Sucessão (sucessor)#";Reduzida;S;5;;"Conjugação dos critérios:
- Legal:
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27)
Prazo prescricional do procedimento disciplinar das Forças de segurança ([Lei 66/2004], artº 46, nº 1; [Lei 7/90], artº 55, nº 1 )
Prazo que cobre um eventual procedimento disciplinar com consequente aplicação contraordenacional (por não cumprimento da comunicação)
- Utilidade administrativa:
Tempo necessário para que o inquérito decorra no OPC de origem.";Data de encerramento do processo (após a resposta ao pedido).;E;"Densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (Relatório anual de atividades);
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (estatísticas organizacionais e operacionais).
";;;;;
