Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;
710;PRESTAÇÃO DE SERVIÇOS DE HIGIENE E SALUBRIDADE PÚBLICAS;Relativo à prestação de serviços nos domínios da higiene e salubridade públicas, assegurando uma adequada qualidade ambiental às populações. Inclui as atividades de limpeza de espaços públicos, recolha e tratamento de resíduos sólidos e efluentes, recolha de animais da via pública, combate às pragas, e os serviços prestados no âmbito do movimento mortuário.;Situações em que estes serviços sejam efetivamente prestados por entidades públicas.#;;"A contratualização e controlo da concessão de serviços públicos, bem como a constituição de parcerias público-privadas para a prestação dos serviços, devem ser consideradas em ""Administração de direitos, bens e serviços/ Concessão e Parceria Público-Privada"" (300.20);#
A contratualização e gestão de contratos de fornecimento de água deve ser considerada em ""Administração de direitos, bens e serviços/ Aquisição, venda, abate ou permuta"" (300.10).#
As ações de promoção da higiene e salubridade públicas que se revistam da forma de campanhas de sensibilização e educação sanitária devem ser consideradas em ""Dinamização e comunicação institucional/ Execução de atividades de dinamização da sociedade"" (900.10);#
Os estudos e ações de monitorização de parâmetros de qualidade ambiental (níveis de ruído, de poluição) devem ser considerados em ""Prestação de serviços técnicos e científicos, investigação e desenvolvimento"" (800);#
A inspeção higiénico-sanitária ou outras formas de verificação do cumprimento de leis e regulamentos deve ser considerada em ""Supervisão, controlo e responsabilização/ Inspeção, auditoria, fiscalização e monitorização de conformidade à norma"" (500.10).#";;;;;;;;;;;;;;;;;;;;
710.10;Serviços de higiene e limpeza;"Compreende as atividades de limpeza dos espaços públicos e de recolha e tratamento de resíduos sólidos e efluentes.
Compreende, igualmente, o controlo de pragas, a recolha, tratamento e encaminhamento de animais abandonados ou errantes na via pública e outras ações de profilaxia sanitária.";"Qualquer tipo de resíduos sólidos, líquidos ou gasosos - urbanos, industriais, hospitalares, agrícolas, florestais ou outros.#
Inclui a prestação de serviços de limpeza de equipamentos sanitários privados (exemplo, limpeza de fossas).#
O controlo de pragas pode assumir a forma de desratizações, controlo de reprodução de espécies ou outras.#";;"A construção, monitorização do estado de conservação e realização de obras de manutenção, tanto em infraestruturas como em espaços públicos, bem como a higiene e limpeza regular de instalações públicas, devem ser consideradas em ""Administração de direitos, bens e serviços"" (300);#
O processamento de análises laboratoriais deve ser considerado em ""Prestação de serviços técnicos e científicos, investigação e desenvolvimento/ Execução de serviços científicos e técnicos"" (800.10);#
Os atos médico-veterinários devem ser considerados em ""Prestação de cuidados de saúde/ Serviços clínicos"" (700.20).#";;;;;;;;;;;;;;;;;;;;
710.10.001;Limpeza de espaços públicos;"Prestação de serviços no âmbito da regular manutenção e conservação da limpeza no espaço público.
Inicia na sequência do planeamento e calendarização definidos ou por pedido de particulares e termina com o comprovativo dos trabalhos executados ou com a resposta aos requerentes.
Inclui operacionalização e registo de ocorrências.";"Despejo de papeleiras#
Eliminação de ervas de passeios públicos#
Lavagem e varredura de arruamentos e espaços públicos#
Limpeza de dejetos caninos#
Limpeza de praias#
Limpeza de sargetas e sumidouros#
Limpeza de terrenos#
Limpeza de cemitérios, talhões, ossários, criptas e monumentos  de militares portugueses sediados em território nacional e no estrangeiro#";;"A recolha de resíduos deve ser considerada em 710.10.002 – Recolha de resíduos#
A desobstrução de equipamentos sanitários privados como as fossas sépticas deve ser considerada em 710.10.003 – Recolha e drenagem de águas residuais#";Lei 75/2013#;;PE;N;"AL#
APA#
IP#";;;"150.20.300#
300.30.008#
500.10.301#";"Avaliação de atividades#
Registo de documentos e informação#
Realização de fiscalização#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#";Elevada;S;5;;"Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], artº 27)
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.301 - Realização de fiscalização.";Data de encerramento do processo;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 300.30.008 - Registo de documentos e informação (casos tratados).";;
710.10.002;Recolha de resíduos;"Prestação dos serviços de recolha de todo o tipo de resíduos.
Inicia na sequência do planeamento e calendarização definidos ou por pedido de particulares  ou ainda por pedido de entidades públicas produtoras de resíduos e termina com o comprovativo de trabalhos realizados ou com a resposta aos requerentes.
Inclui recolha, transporte e depósito dos resíduos em lugar apropriado e registo de ocorrências.";"Recolha de monstros#
Recolha de resíduos animais#
Recolha de cadávers de animais#
Recolha de resíduos de obras#
Recolha de resíduos sólidos urbanos (RSU)#
Recolha de resíduos tóxicos#
Recolha de resíduos verdes#
Recolha seletiva#
Remoção de cortes de jardim#
Recolha de equipamentos elétricos e eletrónicos#
Transporte de resíduos efetuados pelas  empresas transportadoras que procedam à recolha ou ao transporte de resíduos a título profissional#";;"A recolha e manutenção de papeleiras e dispensadores para dejetos caninos devem ser considerados em 710.10.001 – Limpeza de espaços públicos#
A triagem, reciclagem, valorização ou eliminação de resíduos devem ser consideradas em 710.10.004 – Tratamento de resíduos#";"DL 67/2014#
DL 366-A/97#
DL 162/2000#
DL 92/2006#
DL 110/2013#
DL 178/2006#
DL 73/2011#
DL 267/2009#
DL 6/2009#
DL 46/2008#
Portaria 417/2008#
Portaria 29-B/98#
Portaria 335/97#";"DL 366-A/97 (embalagens) alterado por DL 162/2000, DL 92/2006 e DL 110/2013#
DL 267/2009 (óleos)#
DL 6/2009 (pilhas)#
Portaria 417/2008 (transporte RCD)#
Portaria 29-B/98 (embalagens)#
Portaria 335/97 (transporte)#
";PC;S;"AL#
IP#";AP#;Comunicar#;"150.20.300#
300.30.008#
500.10.301#
710.10.004#";"Avaliação de atividades#
Registo de documentos e informação#
Realização de fiscalização#
Tratamento de resíduos#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Sucessão (antecessor)#";Elevada;S;5;;"Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27; [Lei 50/2006] - Lei quadro das contraordenações ambientais, artº 40)
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.301 - Realização de fiscalização
";Data de encerramento do processo;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 300.30.008 - Registo de documentos e informação (casos tratados).";;
710.10.003;Recolha e drenagem de águas residuais;"Operações de recolha de águas residuais em estações elevatórias ou fossas sépticas e transporte para destino adequado.
Inicia na sequência do planeamento ou a pedido de particulares e termina com o registo  de operações ou com a resposta aos requerentes.
Inclui operacionalização e comprovativo de pagamento, quando devido.";"Desobstrução de fossas séticas privadas#
Drenagem de águas residuais domésticas#
Drenagem de águas residuais pluviais#  
Drenagem de águas residuais unitárias#
Drenagem de efluentes agrícolas#
Drenagem de efluentes industriais#

";;"A limpeza, desobstrução e reparação de coletores, ramais de ligação e fossas sépticas públicas devem ser consideradas em 300.40.503 – Conservação e valorização de edifícios, infraestruturas e equipamentos públicos#
Os pagamentos devem ser classificados em 350.30.001 – Cobrança de receitas e pagamento de despesas#
O tratamento de efluentes e lamas deve ser considerado em 710.10.005 – Tratamento e rejeição de águas residuais#
A recolha de dados sobre o saneamento de águas residuais deve ser considerada em 800.10.303 – Monitorização do abastecimento e distribuição de água e do saneamento de águas residuais#
A aquisição de serviços deve ser considerada em 300.10.005 Transação e transmissão de bens móveis não culturais e contratação de serviços#
";"DL 194/2009#
Decreto Regulamentar 23/95#
DL 379/93#";;PC;S;AP#;AP#;Iniciar#;"150.20.300#
500.10.001#
500.10.301#
710.10.005#
800.10.001#
800.10.303#";"Avaliação de atividades#
Realização de auditorias#
Realização de fiscalização#
Tratamento de rejeição de águas resíduais#
Produção de informação georreferenciada#
Monitorização do abastecimento e distribuição de água e do saneamento de águas residuais#";"Síntese (sintetizado)#
Suplementar#
Suplementar#
Sucessão (antecessor)#
Síntese (sintetizado)#
Cruzada#";Elevada;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27; [Lei 50/2006] Lei quadro das contraordenações ambientais, artº 40)
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN  500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização)
";Data de encerramento do processo;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades,
PN 800.10.001 - Produção de informação georreferenciada.";;
"710.10.004
";Tratamento de resíduos;"Execução da triagem, reciclagem, valorização ou eliminação por incineração, co-incineração, aterro ou outro meio adequado de todo o tipo de resíduos.
Inicia com a receção de resíduos e termina com o relato das operações.
Inclui registo de ocorrências, operacionalização, cálculo e comprovativo de pagamento, quando devido.
";"Tratamento de resíduos animais#
Tratamento de resíduos hospitalares#
Tratamento de resíduos indiferenciados#
Tratamento de resíduos industriais#
Tratamento de resíduos seletivos#";;"Os pagamentos devem ser classificados em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A remoção indiferenciada e seletiva de resíduos deve ser considerada em 710.10.002 – Recolha de resíduos#
O tratamento de lamas deve ser considerado em 710.10.005 – Tratamento e rejeição de águas residuais#
";"DL 73/2011#
DL 46/2008#
DL 178/2006#
";;PE;N;"SPE#
AL#
HH#";;;"150.20.300#
500.10.001#
500.10.301#
710.10.002#
800.10.001#";"Avaliação de atividades#
Realização de auditorias#
Realização de fiscalização#
Recolha de resíduos#
Produção de informação georreferenciada#";"Síntese (sintetizado)#
Suplementar#
Suplementar#
Sucessão (sucessor)#
Síntese (sintetizado)#";Elevada;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27; [Lei 50/2006] Lei quadro das contraordenações ambientais, artº 40)
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e do PN  500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização)";Término do ano civil (a informação criada é contínua, não se verificando a lógica do processo documental).;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades,
PN 800.10.001 - Produção de informação georreferenciada.";;
710.10.005;Tratamento e rejeição de águas residuais;"Correção das características físicas, químicas e microbiológicas de águas residuais em função das características do meio recetor.
Inicia com a receção das águas residuais e termina com a sua reutilização ou rejeição em meio recetor.
Inclui operações de valorização ou rejeição das lamas resultantes.
";"Tratamento de águas residuais domésticas#
Tratamento de águas residuais pluviais#  
Tratamento de águas residuais unitárias#
Tratamento de efluentes agrícolas#
Tratamento de efluentes industriais#
Tratamento de lamas#
";;"A recolha e o transporte de efluentes e lamas provenientes de fossas sépticas, coletores e ramais de ligação devem ser considerados em 710.10.003 – Recolha e drenagem de águas residuais#
A monitorização do tratamento de águas residuais deve ser considerada em 800.10.303 – Monitorização do abastecimento e distribuição de água e do saneamento de águas residuais#";DL 152/97#;;PE;N;"SPE#
AL#";;;"150.20.300#
500.10.001#
500.10.301#
710.10.003#
800.10.001#";"Avaliação de atividades#
Realização de auditorias#
Realização de fiscalização#
Recolha e drenagem de águas resíduais#
Produção de informação georreferenciada#";"Síntese (sintetizado)#
Suplementar#
Suplementar#
Sucessão (sucessor)#
Síntese (sintetizado)#";Elevada;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27; [Lei 50/2006] Lei quadro das contraordenações ambientais, artº 40)
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e do PN  500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização)";Término do ano civil (a informação criada é contínua, não se verificando a lógica do processo documental).;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades,
PN 800.10.001 - Produção de informação georreferenciada.";;
710.10.300;Recolha de animais;"Captura ou entrega em centros de recolha de animais perigosos ou vadios, errantes ou com donos, de vias e espaços públicos ou de espaços privados.
Inicia na sequência de planeamento, a pedido de particulares ou de denúncia e termina com a entrega do animal.
Inclui registo de ocorrências, comunicação às entidades competentes, quarentena do animal.
";"Captura de animais domésticos silvestres e assilvestrados#
Captura de animais em espaços particulares a pedido de interessados#
Captura de cães e gatos vadios#
Entrega de animais capturados em canil ou gatil municipal#
Recolha de animais no âmbito da higiene pública e veterinária# 
Recolha de animais que tenham causado ofensa ao corpo ou à saúde de uma pessoa#
Recolha de animais perigosos#

";;A recolha de animais portadores de zoonoses ou doença terminal deve ser considerada em 700.20.701 – Sequestro sanitário de animais#;"Lei 169/99#
DL 315/2009#
";;PE;N;AL#;;;"150.20.300#
300.30.008#
650.20.306#
400.10.400#
500.10.001#
500.10.301#";"Avaliação de atividades#
Registo de documentos e informação#
Prestação de cuidados alimentares e de higiene a institucionalizados#
Registo animal#
Realização de auditorias#
Realização de fiscalização#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (sucede)#
Cruzada#
Suplementar#
Suplementar#";Elevada;S;5;;"Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27)
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e do PN  500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização)";Data de encerramento do processo;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
 PN 150.20.300 - Avaliação de atividades, no PN 300.30.008 - Registo de documentos e informação.";"Verificar se o PN 400.10.400 - Registo de animais de companhia é de conservação definitiva!
É de eliminação ao fim de 10 anos. Retirei da justificação do DF
";
710.10.600;Controlo de pragas e infestantes;"Controlo preventivo e reativo de surtos de espécies animais ou vegetais, em meios urbanos ou rurais, nocivas ao bem-estar das populações, do património e do meio ambiente.
Inicia na sequência de planeamento e calendarização de ações ou a pedido de entidades públicas ou privadas e termina com a elaboração do relatório dos trabalhos realizados.
Inclui definição e preparação de meios adequados ao tipo de praga, operacionalização, cálculo do valor da taxa, quando devido.";"Controlo de infestantes aquáticas#
Controlo de plantas infestantes em solo agrícola#
Controlo de população de pombos em meio urbano#
Controlo de população de ratos e baratas#
Controlo de pragas em redes de esgotos#
Controlo sazonal de espécies nocivas na via e espaços públicos#";;"Os pagamentos devem ser considerados em 350.30.001 – Cobrança de receitas e pagamento de despesas#
As ações de desinfestação em instalações e equipamentos públicos deverão ser consideradas em 300.40.505 – Higienização de instalações e equipamentos públicos#

";"Resolução da Assembleia da República 93/2015#
DL 113/2006#
Lei 58/2005#";;PC;S;"AL#
APA#
";AP#;Iniciar#;"150.20.300#
300.30.008#
500.10.001#
500.10.301#
800.10.300#";"Avaliação de atividades#
Registo de documentos e informação#
Realização de auditorias#
Realização de fiscalização#
Controlo ambiental de infraestruturas e equipamentos#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Suplementar#
Cruzada#";Elevada;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27; [Lei 50/2006] Lei quadro das contraordenações ambientais, artº 40)
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN  500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização)";Data de encerramento do processo;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 300.30.008 - Registo de documentos (casos tratados)";;
710.20;Serviços mortuários;Compreende a prestação de serviços relacionados com a gestão de restos mortais e de outras atividades dos cemitérios, centros funerários e outros espaços adequados.;"Trasladações#
Inumações#
Exumações#
Cremações#
Serviços prestados no quadro da gestão de restos mortais#";;"A concessão de terrenos em cemitérios deve ser considerada em “Administração de direitos, bens e serviços/ Concessão e parceria público-privada” (300.20).
O licenciamento deve ser considerado em “Reconhecimentos e permissões/ Licenciamentos, certificações e outras autorizações” (450.10).";;;;;;;;;;;;;;;;;;;;
