Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;;;;
800;PRESTAÇÃO DE SERVIÇOS TÉCNICOS E CIENTÍFICOS, INVESTIGAÇÃO E DESENVOLVIMENTO;Relativo a atividades de investigação científica em qualquer domínio do conhecimento, a atividades de desenvolvimento técnico e tecnológico, de transferência de tecnologia e inovação, bem como a outras atividades que utilizam métodos científicos para a produção de conhecimento ou resolução de problemas.;Aplicável tanto às entidades que prestam os serviços referidos como aos que solicitam a prestação dos mesmos.#;;"A prestação de serviços de ensino/formação deve ser considerada em ""Prestação de serviços de ensino e formação"" (750).
A prestação de cuidados de saúde deve ser considerada em ""Prestação de cuidados de saúde"" (700).
Os processos de investigação criminal devem ser considerados em ""Administração da justiça/ Prevenção e investigação criminal"" (600.10).";;;;;;;;;;;;;;;;;;;;;;;;;;;
800.10;Execução de serviços científicos e técnicos;"Compreende os serviços de assistência técnica por emissão de relatórios ou pareceres técnicos especializados com base em instrumentos de referência e/ou no conhecimento científico, e/ou serviços de assistência técnica no campo (ex. exploração de recursos naturais) ou laboratorial (ex. desenvolvimento de novos métodos analíticos ou aplicação de metodologias conhecidas a pedido de clientes).
Compreende também o levantamento de dados e constituição de repositórios ou bancos de dados de reconhecimento ou monitorização de parâmetros em qualquer domínio científico e para qualquer finalidade, a produção de cartografia digital ou analógica, a realização de trabalhos laboratoriais, de exames periciais, de estudos de impacto ou outros trabalhos de apoio e consultoria técnico-científica.";"Exemplos de aplicação:
- Processos de recolha e processamento de informação geodésica e georreferenciada para caracterização topográfica e topo-hidrográfica, administrativa, geológica, biológica, ou outra;
- Processos de monitorização e vigilância sísmica, climática, sanitária, epidemiológica;
- Produção de cartografia de base ou temática;
- Realização de análises laboratoriais;
- Realização de peritagens;
- Elaboração de estudos de impacto ambiental.";;"De notar que os resultados (relatórios finais) das atividades técnico-científicas constituem-se, por vezes, em inputs de outros processos (por exemplo, o resultado de um estudo de impacto ambiental pode vir a integrar um processo de planeamento, o resultado do processamento de análises laboratoriais pode vir a integrar um processo de investigação criminal, etc.).
Os relatórios de estudos de impacto ambiental, ou outros, entregues para fundamentação ou apreciação associada a um processo de decisão (de planeamento, de licenciamento ou outro) devem ser considerados no âmbito do processo em causa.
A produção estatística deve ser considerada em ""Planeamento e gestão estratégica/ Produção de informação estatística"" (150.40).
A contratualização e a gestão de contratos de qualquer serviço prestado pelos organismos da Administração devem ser consideradas em ""Administração de direitos, bens e serviços/ Aquisição, venda, abate ou permuta"" (300.10).";;;;;;;;;;;;;;;;;;;;;;;;;;;
800.10.001;Produção de informação georreferenciada;"Aquisição e processamento de informação geográfica e alfanumérica.
Inicia com recolha de informação geodésica, topográfica e fotogramétrica e de informação temática, organizada ou não sob a forma de bases de dados digitais, e termina com a obtenção de cartografia de base, de cartografia temática e de conjuntos de dados geográficos, de acordo com as solicitações dos utilizadores
Inclui execução de levantamentos diretos com base em GNSS e Topografia, levantamentos fotogramétricos com base em imagens aéreas ou orbitais, recolha de dados cartográficos já existentes, fotointerpretação de imagens, generalização cartográfica, criação de Modelos Digitais do Terreno e de Superfície. 
";"Produção de cartografia de base (topográfica e topográfica de imagem, vulgarmente conhecida por ortofotomapas)#
Produção de cartografia hidrográfica#
Produção de cartografia temática#
Produção de cartografia derivada#";Sistema de identificação do parcelário agricola#;A contratualização de serviços no âmbito da recolha ou produção de informação geográfica deve ser considerada em 300.10.005 – Transação e transmissão de bens móveis e prestação de serviços#;"Decreto Regulamentar 10/2009#
DL 180/2009#
DL 202/2007#
DL 193/95#";;PE;N;"AL#
DGT#
";;;"150.10.600#
710.10.003#
710.10.004#
710.10.005#
800.10.002#
800.10.302#";"Avaliação de políticas e instrumentos de operacionalização#
Recolha e drenagem de águas residuais#
Tratamento de resíduos#
Tratamento e rejeição de águas residuais#
Produção de informação geodésica#
Monitorização de recursos naturais, espécies e paisagens#";"Cruzada#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Complementar#
Sucessão (sucessor)#";Média ;S;3;;"Conjugação dos critérios:
- Legal
[DL 180/2009], artº 24, ""3 — O IGP compila e envia à Comissão Europeia um relatório, de três em três anos (…)
- Utilidade administrativa
Prazo para processamento do PN 150.10.600 - Avaliação de políticas e instrumentos de operacionalização";Data do registo;C;"Densidade informacional:
Informação não recuperável noutro PN.";;;;;;;;;
800.10.002;Produção de informação geodésica;"Levantamento e processamento de dados geodésicos para constituição de repositórios de dados, com vista à determinação de sistemas geográficos de referência, data altimétricos e planimétricos e parâmetros de transformação. Processo essencial de suporte a toda a produção de cartografia de base. 
Inicia com a aquisição de dados e termina com a produção da informação. 
Inclui levantamentos geodésicos no local, monitorização/aferição de equipamentos, validação, cálculo e processamento dos dados.";"Constituição de sistemas geodésicos de referência#
Determinação de coordenadas e altitudes de vértices geodésicos para controlo posicional e levantamentos topográficos#
Determinação de altitudes de alta precisão, para cartografia e projetos de apoio à construção de obras de arte#
Determinação de valores de aceleração da gravidade para a exploração mineira, entre outras#
Disponibilização de registos maregráficos para elaboração de tabelas de maré, apoio a levantamentos hidrográficos e controlo de zonas costeiras#";Difusão de dados das Estações Permanentes GNSS (Global Navigation Satellite System)#;;"DL 153/2015#
Portaria 265/2015#";;PE;N;DGT#;;;"150.10.600#
800.10.001#";"Avaliação de políticas e instrumentos de operacionalização#
Produção de informação georreferenciada#";"Cruzada#
Complementar#";Elevada;S;3;;"Conjugação dos critérios:
- Legal
[DL 180/2009], artº 24, ""3 — O IGP compila e envia à Comissão Europeia um relatório, de três em três anos (…)
- Utilidade administrativa
Prazo para processamento do PN 150.10.600 - Avaliação de políticas e instrumentos de operacionalização";Data do registo;C;"Densidade informacional:
Informação não recuperável noutro PN.";;;;;;;;;
800.10.300;"Controlo ambiental de infraestruturas e equipamentos


";"Recolha contínua ou pontual de informação ou dados, quantitativos ou qualitativos, de modo a garantir o controlo ambiental tendo por base valores de referência.
Inicia com a observação ou medição de informação e termina com a identificação de fatores críticos ou a validação de agentes padrão.
Inclui registo de valores.
";"Identificação de microorganismos em equipamentos#
Controlo ambiental em contexto de higiene e saúde no trabalho#
Monitorização e controlo ambiental de instalações# 
Verificação e controlo microbiológico de instrumentos e mecanismos#
Controlo da temperatura e da humidade em equipamentos, instrumentos e mecanismos#
Controlo ambiental de infraestruturas#
Controlo ambiental de laboratórios#
";;"O combate a fatores de risco ambientais deve ser considerado em 300.40.506 – Implementação de ações para cumprimento de parâmetros ambientais#
Combate às pragas deverá ser considerado no 710.10.600 – Controlo de pragas e infestantes#";"Portaria 353-A/2013#
DL 118/2013#
Lei 102/2009#
Regulamento (CE) 1221/2009#
DL 35/2008#
Portaria 461/2007#
DL 79/2006#
DL 80/2006#
DL 152/2005#
DL 50/2005#
Lei 7/2009#
DL 441/91#
DL 243/86#";;PC;N;AP#;;;"150.10.200#
150.40.500#
250.30.600#
300.10.005#
300.30.008#
300.40.503#
300.40.505#
300.40.506#
300.40.507#
300.40.509#
500.10.001#
500.10.301#
500.30.500#
550.20.001#
700.10.001#
700.20.100#
710.10.600#
800.10.601#

";"Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Prevenção e resolução de conflitos laborais#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Registo de documentos e informação#
Conservação e valorização de edifícios, infraestruturas e equipamentos#
Higienização de instalações e equipamentos#
Implementação de ações para cumprimento de parâmetros ambientais#
Implementação de planos de contingência#
Manutenção e reparação de bens móveis duradouros#
Realização de auditorias#
Realização de fiscalização#
Aplicação de medidas administrativas cautelares#
Emissão de avisos e declaração de alertas#
Referenciação de utentes para consultas#
Rastreio#
Controlo de pragas e infestantes#
Realização de ensaios laboratoriais#
";"Cruzada#
Sucessão (antecessor)#
Cruzada#
Cruzada#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Suplementar#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
";Média;N;5;;" Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27; [Lei 50/2006] - Lei quadro das contraordenações ambientais, artº 40)
- Utilidade administrativa
Prazo decorrente da necessidade de  consulta para apuramento da responsabilidade em sede de PN 500.10.301 - Realização de fiscalização";Data do registo;E;"Densidade Informacional:
Informação recuperável no
PN  150.40.500 -Recolha e tratamento de dados estatísticos de apoio à gestão:
E caso tenha existido um incidente a informação é recuperável nos
PN  300.40.506 - Implementação de ações para cumprimento de parâmetros ambientais;
PN 300.40. 507 - Implementação de planos de contingência.";;;;;;;;;
800.10.301;"Monitorização de índices da qualidade ambiental


";"Recolha  contínua ou pontual de informação sobre níveis de ruído, da qualidade da água, do ar e de  toxicidade do solo.
Inicia com a verificação  de acordo com um plano de monitorização previamente estabelecido e termina com o relatório de apuramento de valores e sua comparação com os indicadores de referência.
Inclui a identificação das fontes de emissão, do tipo poluentes e a evolução das concentrações médias anuais.



";"Monitorização de índices de qualidade das massas de água#
Monitorização das águas balneares costeiras e fluviais#
Monitorização microbiológica das areias#
Monitorização de índices de qualidade do ar#
Monitorização de índices de poluição do solo#
Monitorização de índices de ruído#
Monitorização de índices radiológicos# ";;"Os índices de poluição em ambiente de trabalho devem ser considerados em 800.10.300 – Controlo ambiental de infraestruturas e equipamentos#
Os avisos e alertas de segurança devem ser considerados em 550.20.001 – Emissão de avisos e declaração de alertas#
A vigilância no âmbito da segurança deve ser considerada em 550.20.002 – Ação de vigilância#
A qualidade da água da rede de distribuição pública deve ser considerada em 800.10.303 – Monitorização do abastecimento e distribuição de água e do saneamento de águas residuais#
";"Lei 31/2014#
DL 127/2013#
DL 38/2013#
DL 102/2010#
Portaria 677/2009#
Portaria 676/2009#
DL 173/2008#
DL 278/2007#
DL 226-A/2007#
DL 9/2007#
DL 221/2006#
DL 146/2006#
DL 181/2006#
Portaria 263/2005#
Lei 58/2005#
Portaria 303-A/2004#
DL 78/2004#
Portaria 1387/2003#
DL 293/2003#
DL 193/2003#
DL 178/2003#
DL 129/2002#
DL 242/2001#
DL 276/99#
Portaria 286/93#";;PE;N;"APA#
CCDR#
DRAP#
IPMA#
DGADR#
AL#
ACES#
IST#
DGRM#
ARS#
INSA#
DGS#";;;"150.10.100#
150.10.200#
150.10.600#
150.40.500#
200.10.001#
200.10.800#
300.30.008#
300.40.502#
300.40.506#
300.50.601#
450.10.066#
450.10.068#
450.10.070#
450.10.072#
450.10.207#
450.10.208#
450.10.215#
450.10.223#
450.10.232#
450.10.234#
450.10.640#
500.10.301#
500.30.001#
550.20.001#
550.20.002#
800.10.601#
800.10.602#
";"Definição de políticas setoriais#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional#
Avaliação de políticas e instrumentos de operacionalização#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Negociação e definição de posições nacionais#
Celebração de acordos e outros atos internacionais#
Registo de documentos e informação#
Conservação e proteção de recursos naturais, espécies e paisagens#
Implementação de ações para cumprimento de parâmetros ambientais#
Exploração de recursos naturais#
Licenciamento ou autorização de atividades agrícolas, pecuárias, florestais, de caça e de pesca#
Licenciamento de atividades de gestão de resíduos#
Licenciamento ou autorização de atividades industriais#
Licenciamento ou autorização de atividades artísticas, desportivas e recreativas#
Licenciamento ou autorização de instalações agropecuárias#
Licenciamento ou autorização de instalações industriais#
Licenciamento especial de ruído#
Licenciamento para a rejeição de águas residuais#
Licenciamento de pesquisa e captação de água#
Licenciamento ou autorização de instalações de armazenamento de produtos de petróleo e de postos de abastecimento de combustíveis#
Autorização de introdução de produtos e substâncias no mercado#
Realização de fiscalização#
Processamento de contraordenações#
Emissão de avisos e declaração de alertas#
Ação de vigilância#
Realização de ensaios laboratoriais#
Realização de estudos científicos e técnicos de apoio a políticas públicas#
";"Cruzada#
Cruzada#
Sucessão (sucessor)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Sucessão (antecessor)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Suplementar#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Cruzada#
Cruzada#
";Elevada;S;5;;" Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27; [Lei 50/2006] - Lei quadro das contraordenações ambientais, artº 40)
- Utilidade administrativa
Prazo decorrente da necessidade de  consulta para apuramento da responsabilidade em sede de PN 500.10.301 - Realização de fiscalização";Data do registo;C;"Densidade informacional:
Informação não recuperável noutro PN.";;;;;;;;;
800.10.302;Monitorização de recursos naturais, espécies e paisagens;"Recolha sistemática ou pontual de dados sobre recursos zoológicos, marinhos, minerais e botânicos, por forma a controlar os respetivos níveis de perenidade e sustentabilidade.
Inicia com a verificação ou medição de dados e termina com a emissão de relatórios.
Inclui registo de dados recolhidos.";"Monitorização de áreas protegidas#
Monitorização de elementos geológicos, geomorfológicos e hidrográficos#
Monitorização de fauna e flora em vias de extinção#
Monitorização de habitats naturais#
Monitorização de geomonumentos# 
Monitorização de parques naturais#
Monitorização de reservas ecológicas#
Monitorização dos aspetos hidrográficos / hidromorfológicos#";;"A conservação e proteção de recursos naturais, espécies e paisagens deve ser considerada em 300.40.502 – Conservação e proteção de recursos naturais, espécies e paisagens#
A classificação de áreas protegidas deve ser considerada em 450.20.505 – Classificação de bens sítios e áreas#
Os avisos e alertas de segurança devem ser considerados em 550.20.001 – Emissão de avisos e declaração de alertas#
A vigilância no âmbito da segurança deve ser considerada em 550.20.002 – Ação de vigilância#";"DL 242/2015#
DL 38/2015#
Lei 19/2014#
RCM 12/2014#
DL 201/2012#
DL142/2008#
DL 340/2007#
DL 180/2006#
DL 59/99#
Lei 33/96#";;PE;N;"APA#
DGADR#
DGRM#
ICNF#";;;"150.10.100#
150.10.200#
150.10.300#
150.10.500#
150.20.101#
150.40.500#
200.10.800#
300.30.008#
300.40.004#
300.40.502#
300.40.506#
300.50.601#
500.10.301#
550.10.300#
550.20.001#
550.20.002#
800.10.001#
800.10.601#
800.10.602#
800.10.608#
800.20.001#
800.20.002#
800.20.500#
850.10.003#
";"Definição de políticas setoriais#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito regional#
Elaboração de instrumentos de cooperação interinstitucional#
Planeamento estratégico de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Celebração de acordos e outros atos internacionais#
Registo de documentos e informação#
Reprodução de espécies de fauna e flora#
Conservação e proteção de recursos naturais, espécies e paisagens#
Implementação de ações para cumprimento de parâmetros ambientais#
Exploração de recursos naturais#
Realização de fiscalização#
Sinalização informativa e reguladora#
Emissão de avisos e declaração de alertas#
Ação de vigilância#
Produção de informação georreferenciada#
Realização de ensaios laboratoriais#
Realização de estudos científicos e técnicos de apoio a políticas públicas#
Produção de repositórios de amostras biológicas e seus derivados#
Realização de estudos de investigação básica#
Execução de projetos de investigação aplicada#
Desenvolvimento experimental e aplicacional#
Formalização de candidaturas e acompanhamento de apoios pontuais#
";"Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Suplementar#
Suplementar#
Sucessão (antecessor)#
Cruzada#
Sucessão (antecessor)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Sucessão (antecessor)#
";Média;N;5;;" Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27; [Lei 50/2006] - Lei quadro das contraordenações ambientais, artº 40)
- Utilidade administrativa
Prazo decorrente da necessidade de  consulta para apuramento da responsabilidade em sede de PN 500.10.301 - Realização de fiscalização";Data do registo;C;"Densidade informacional:
Informação não recuperável noutro PN.";;;;;;;;;
800.10.303;Monitorização do abastecimento e distribuição de água e do saneamento de águas residuais;"Recolha contínua, pontual ou aleatória de informação ou dados, quantitativos ou qualitativos, de modo a identificar ocorrências anómalas através da constante comparação entre os valores de referência e as medidas apuradas.
Inicia com a verificação ou medição de dados e termina com o reconhecimento de valores críticos ou a validação de dados indicadores ou obrigatórios.
Inclui medição de pressão de água, medição de caudais de água, medição de cloro, nível de água em reservatório e volume de água consumida.";;;"Os avisos e alertas de segurança devem ser considerados em 550.20.001 – Emissão de avisos e declaração de alertas#
A vigilância no âmbito da segurança deve ser considerada em 550.20.002 – Ação de vigilância#";"Lei 10/2014#
DL 77/2006#
Lei 58/2005#";;PE;N;"AL#
";;;"150.40.500#
300.30.008#
300.40.504#
300.40.505#
300.40.506#
300.50.601#
450.10.069#
500.10.001#
550.20.001#
800.10.601#
";"Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Controlo de segurança e vigilância de instalações e equipamentos públicos#
Higienização de instalações e equipamentos públicos#
Implementação de ações para cumprimento de parâmetros ambientais#
Exploração de recursos naturais#
Licenciamento ou autorização de atividades de tratamento e distribuição de água#
Realização de auditorias#
Emissão de avisos e declaração de alertas#
Realização de ensaios laboratoriais#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Suplementar#
Sucessão (antecessor)#
Cruzada#
";Média;N;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1) – 10 anos
- Utilidade administrativa
Prazo decorrente da necessidade de  consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração)";Data da última ocorrência do PN;E;"Densidade informacional:
Informação síntese recuperável no
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (quantificação/tipificação dos casos);
PN 300.30.008 - Registo de documentos e informação (casos tratados).";Os planos de gestão de bacia hidrográfica são revistos de seis em seis anos.;;;;;;;;
800.10.304;Monitorização de segurança de medicamentos após autorização de introdução no mercado (AIM);"Deteção, registo e avaliação das reações adversas, com o objectivo de determinar a incidência, gravidade e nexo de causalidade com os medicamentos, baseadas no estudo sistemático e multidisciplinar dos efeitos dos medicamentos.
Inicia com a comunicação de reações adversas ou com a recolha sistemática de informações sobre os riscos de medicamentos para os doentes ou para a saúde pública e termina com a comunicação da proposta de medida de segurança ou regulamentar.  
Inclui avaliação científica, ponderação das medidas de segurança adequadas à prevenção ou minimização dos riscos, proposta de adoção das medidas regulamentares necessárias feitas com base nos relatórios periódicos remetidos.


";"Gestão de sinal de segurança#
Processamento e Avaliação de notificações de Reações Adversas a Medicamentos (RAM)#
Processamento e Avaliação de Relatórios Periódicos de Segurança (RPS)#
Processamento e Avaliação de Planos de Gestão do Risco (PGR)#
Processamento e Avaliação dos Estudos de Segurança (PASS) ou de Eficácia (PAES) Pós-Autorização#
Troca de informação de segurança de medicamentos entre as Autoridades congéneres nos Estados-membros, a Agência Europeia do Medicamento (EMA) e a Comissão Europeia (NUI - Non Urgent Information e RA - Rapid Alerts)#
";;A divulgação de alertas de segurança deve ser classificada em 550.20.001 – Emissão de avisos e declaração de alertas#;Regulamento de Execução (UE) 520/2012#;;PE;S;INFARMED#;"DGS#
SICAD#";"Comunicar#
Comunicar#";"300.30.008#
450.10.640#
500.10.001#
550.10.307#
550.20.001#
800.10.606#";"Registo de documentos e informação#
Autorização de introdução de produtos e substâncias no mercado#
Realização de auditorias#
Controlo e implementação de medidas de segurança de medicamentos e produtos de saúde#
Emissão de avisos e declaração de alertas#
Avaliação da rutura de stocks de medicamentos e identificação de alternativas terapêuticas#";"Síntese (sintetiza)#
Sucessão (sucessor)#
Suplementar#
Cruzada#
Sucessão (antecessor)#
Sucessão (antecessor)#";Elevada;N;10;;"Critério legal: [Regulamento de Execução (UE) 520/2012] da Comissão, artº 12 -2 -"" Os dados e documentos de farmacovigilância relativos a cada medicamento autorizado devem ser conservados enquanto o medicamento for autorizado e durante pelo menos 10 anos depois de a autorização de introdução no mercado ter deixado de existir.(...)""";"Data de caducidade ou suspensão da AIM

";"E
";"Densidade informacional:
Informação recuperável no
PN 550.20.001 - Emissão de avisos e declaração de alertas.";;;;;;;;;
"800.10.305
";Monitorização de segurança de ensaios clínicos;"Verificação da segurança na utilização experimental de medicamentos, de forma a permitir a avaliação permanente da relação benefício-risco em que se baseou a autorização dos ensaios clínicos em curso.
Inicia com o processamento das notificações de realização do ensaio clínico e termina com a informação de conclusão do ensaio ou com a comunicação da suspensão.
Inclui análise e avaliação de toda a informação com potencial impacto na realização do ensaio (segurança dos participantes e credibilidade dos dados/resultados) e, quando aplicável, suspensão ou revogação da autorização do ensaio.      
";"Avaliação das notificações de suspeitas de reações Adversas graves e inesperadas (SUSAR)#
Avaliação de relatórios anuais de segurança de medicamentos experimentais (DSUR)#
Avaliação de outra informação de segurança notificada durante a realização do ensaio clínico#";;A autorização para a realização dos ensaios clínicos deve ser classificada em 450.10.073 – Licenciamento ou autorização de atividades de investigação científica e de desenvolvimento#;"Lei 21/2014#
Lei 73/2015#";;PE;N;INFARMED#;;;"300.30.008#
450.10.073#
550.20.001#
800.10.600#";"Registo de documentos e informação#
Licenciamento ou autorização de atividades de investigação científica e de desenvolvimento#
Emissão de avisos e declaração de alertas#
Realização de ensaios clínicos#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#";Média;N;30;;Critério legal: Suplemento à Diretiva 2005/28/CE, datado de  03/12/2009 - Detailed guidelines on good clinical practice specific to advanced therapy medicinal products, 7.3 e Annex - Traceability records;Data  de encerramento do processo documental;E;"Densidade informacional:
Informação recuperável no
PN 800.10.600 - Realização de ensaios clínicos.";Suplemento à Diretiva 2005/28/CE, datado de  03/12/2009   Detailed guidelines on good clinical practice specific to advanced therapy medicinal products,  Annex - Traceability records e Emenda à  Diretiva 75/319/EEC de 20 maio de 1975,  versão de julho de 1996, - 8. Essential documents for the conduct of a clinical trial.;;;;;;;;
