Estado;Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;
;900;DINAMIZAÇÃO E COMUNICAÇÃO INSTITUCIONAL;Relativo à conceção, produção, organização e comunicação (por qualquer meio ou forma) de eventos, conteúdos informativos ou outros produtos e serviços que sirvam para melhorar a perceção e o conhecimento dos organismos e respetivas atividades, ou para sensibilizar para programas, atitudes ou valores que os serviços promovam.;;;;;;;;;;;;;;;;;;;;;;;;;
;900.10;Execução de atividades de dinamização da sociedade;Compreende as atividades de conceção, de produção, de organização ou participação na organização de eventos, como sejam conferências, encontros, seminários, debates, exposições, festivais, espetáculos, ou outras atividades de caráter informativo, educativo, científico, cultural, desportivo, recreativo ou outro que estimulem a iniciativa e a participação das comunidades.;"Todo o processo técnico e protocolar de organização (planeamento operacional, ações comuns de divulgação, processamento de inscrições, etc.), bem como eventuais registos dos eventos (comunicações e discursos, registos sonoros, audiovisuais).#
Eventos e cerimónias desportivas#
Cerimónias de entrega de prémios ou distinções honoríficas#
Cerimónias e eventos comemorativos#
Ações de sensibilização#
Qualquer evento de divulgação e sensibilização pública ou dirigida a comunidades de interesse.#";"Produções culturais#
- Feiras do livro#
- Feiras agrícolas#
- Exposições de arte#
Semana da saúde#
Semana do ambiente#
Dia da árvore#";"A organização da representação nacional em eventos internacionais, a organização de eventos de promoção do país no estrangeiro e a colaboração na organização de eventos de promoção de países estrangeiros em Portugal, devem ser consideradas em ""Execução da política externa/ Projetos de execução da política externa"" (200.30).#
Conferências de imprensa devem ser consideradas em ""Dinamização e comunicação institucional/ Execução de atividades de comunicação institucional"" (900.20).#
O processo de publicação de atas ou outros registos de eventos deve ser considerado em ""Dinamização e comunicação institucional/ Execução de atividades de comunicação institucional"" (900.20).#";;;;;;;;;;;;;;;;;;;;;;
;900.10.001;Conceção e realização de atividades ou acontecimentos artísticos;"Criação e produção de iniciativas ou atividades artísticas de qualquer tipo.
Inicia com a conceção da atividade ou obra e termina com a concretização da mesma.
Inclui o desenvolvimento do conceito ou ideia, planeamento, estudo de viabilidade (quando aplicável), a definição dos meios de divulgação e a produção.";Representação e exposição artística, teatral, cinematográfica, musical, televisiva#;;"A aquisição de bens ou serviços deve ser considerado em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#
O processamento de despesas e receitas deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
As questões de segurança devem ser consideradas em 550.20.004 – Realização de piquetes de prevenção#
A divulgação deve ser considerada em 900.20.201 - Edição e publicação de conteúdos#";"Lei 28/2014#
DL 23/2014#
Lei 107/2001#
Decreto Regulamentar 34/95#";;PC;S;AP#;AP#;Assessorar#;"300.10.005#
300.10.006#
300.30.008#
300.40.504#
300.50.202#
300.50.204#
300.50.402#
350.30.001#
450.10.072#
450.10.205#
450.10.649#
500.10.001#
550.10.001#
550.10.002#
550.20.004#
800.10.604#
800.10.605#
850.10.002#
850.10.003#
900.10.500#
900.20.001#
900.20.002#
900.20.200#
900.20.201#
";"Transação e transmissão de bens móveis não culturais e contratação de serviços#
Transação e transmissão de direitos de propriedade intelectual#
Registo de documentos e informação#
Controlo de segurança e vigilância de instalações e equipamentos#
Cedência de bens móveis culturais#
Cedência de direitos de propriedade intelectual#
Processamento de pedidos de material e de reserva de espaços#
Cobrança de receitas e pagamento de despesas#
Licenciamento ou autorização de atividades artísticas, desportivas e recreativas#
Autorização de utilização de edificações, frações ou recintos fixos#
Categorização de bens e produtos#
Realização de auditorias#
Segurança de espaços públicos e abertos ao público#
Ação de segurança a eventos de alto risco#
Realização de piquetes ocasionais de prevenção#
Realização de traduções#
Realização de transcrições#
Formalização de candidaturas e acompanhamento de apoios regulares#
Formalização de candidaturas e acompanhamento de apoios pontuais#
Organização e participação em homenagens e cerimónias comemorativas#
Criação de imagem e identidade gráficas#
Criação de produtos e artigos promocionais#
Conceção de conteúdos institucionais para divulgação#
Edição e publicação de conteúdos#
";"Cruzada#
Sucessão (sucessor)#
Síntese (sintetizado)#
Cruzada#
Sucessão (sucessor)#
Cruzada#
Sucessão(sucessor)#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Suplementar#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
";Média;S;;;;;;;;;;
;900.10.001.01;Conceção e realização de atividades ou acontecimentos artísticos: conceção e registo;"Criação de obras ou atividades artísticas.
Inicia com a proposta ou iniciativa de criação da obra ou atividade e termina com a autorização de realização.
Inclui, entre outros, o registo documental do ato criativo (em imagem, som ou texto).";"Maquetes de cenografia#
Esboços e / ou desenhos de figurinos#
Memórias descritivas#
Registo fotográfico/vídeo da obra ou atividade#";;;;;;;;;;;;;;;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;C;"Densidade informacional:
Informação não recuperável noutro PN.";;;;
;900.10.001.02;Conceção e realização de atividades ou acontecimentos artísticos: realização;"Concretização das ações necessárias à produção e apresentação de obras ou atividades artísticas. 
Inicia com a definição de meios e termina com a apresentação de obra ou atividade.
Inclui, entre outras, o planeamento, a logística e organização do espaço ou materiais, estudo de viabilidade (quando aplicável), a definição dos meios de divulgação e a produção.";"Marcação de provas de guarda roupa#
Visionamento e revisão de filmes#";;;;;;;;;;;;;;;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação sintetizada em
PN 150.20.300 - Avaliação de atividades
PN 300.30.008 - Registo de documentos e informação
PN 900.10.001.01 - Conceção e realização de atividades ou acontecimentos artísticos: conceção ";;;;
;900.10.002;Conceção e realização de atividades desportivas ou recreativas;"Criação e produção de iniciativas e atividades de caráter desportivo, amador ou profissional, de recreação, entretenimento ou ocupação do tempo.
Inicia com a conceção da atividade e termina com a concretização da mesma.
Inclui o desenvolvimento do conceito ou ideia, planeamento, estudo de viabilidade (quando aplicável), a definição dos meios de divulgação e a produção, a distribuição de eventuais convites, a gestão dos ingressos do público, a seleção dos executantes ou intervenientes nas atividades.";"Provas desportivas#
Sessões recreativas#
";;"A aquisição de bens ou serviços deve ser considerado em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#
O processamento de despesas e receitas deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
As questões de segurança devem ser consideradas em 550.20.004 – Realização de piquetes de prevenção#";"DL 23/2014#
Decreto Regulamentar 6/2010#
DL 268/2009#
Decreto Regulamentar 34/95#";;PC;S;AP#;AP#;Assessorar#;"150.20.300#
300.10.005#
300.30.008#
300.40.504#
300.50.202#
300.50.402#
350.30.001#
450.10.072#
450.10.205#
450.10.213#
450.10.215#
450.10.221#
500.10.001#
550.10.001#
550.20.004#
900.10.500#
900.20.001#
900.20.002#
900.20.200#
900.20.201#
";"Avaliação de atividades#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Registo de documentos e informação#
Controlo de segurança e vigilância de instalações e equipamentos#
Cedência de bens móveis culturais#
Processamento de pedidos de material e de reserva de espaços#
Cobrança de receitas e pagamento de despesas#
Licenciamento ou autorização de atividades artísticas, desportivas e recreativas#
Autorização de utilização de edificações, frações ou recintos fixos#
Licenciamento ou comunicação de ocupação de espaços públicos#
Licenciamento especial de ruído#
Licenciamento de recintos itinerantes ou improvisados ou de acampamentos ocasionais#
Realização de auditorias#
Segurança de espaços públicos e abertos ao público#
Realização de piquetes ocasionais de prevenção#
Organização e participação em homenagens e cerimónias comemorativas#
Criação de imagem e identidade gráficas#
Criação de produtos e artigos promocionais#
Conceção de conteúdos institucionais para divulgação#
Edição e publicação de conteúdos#
";"Síntese (sintetizado)#
Cruzada#
Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Suplementar#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
";Média;S;;;;;;;;;;
;900.10.002.01;Conceção e realização de atividades desportivas ou recreativas: conceção ;"Criação e idealização de atividades desportivas ou recreativas.
Inicia com a proposta ou iniciativa para atividade  e termina com a com a autorização de realização.
Inclui, entre outros, o registo documental da iniciativa (em imagem, som ou texto).";;;;;;;;;;;;;;;N;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;C;"Densidade informacional:
Informação não recuperável noutro PN.";;;;
;900.10.002.02;Conceção e realização de atividades desportivas ou recreativas: realização;"Concretização das ações necessárias à produção ou participação em atividades desportivas ou recreativas.
Inicia com a definição de meios e termina com a execução da atividade.
Inclui, entre outras, o planeamento, a logística e organização do espaço ou materiais, estudo de viabilidade (quando aplicável), a definição dos meios de divulgação e a produção.";;;;;;;;;;;;;;;N;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação sintetizadaem
PN 150.20.300 - Avaliação de atividades
PN 300.30.008 - Registo de documentos e informação
PN 900.10.002.01- Conceção e realização de atividades desportivas ou recreativas: conceção";;;;
;900.10.500;Organização e participação em homenagens e cerimónias comemorativas;"Preparação e execução ou intervenção em atos de celebração de datas, pessoas ou acontecimentos relevantes e de entrega de prémios, distinções ou condecorações.
Inicia com a proposta ou  pedido de participação e termina com a realização do ato.
Inclui, entre outras, o planeamento, a logística e organização do espaço ou materiais, a definição dos meios de divulgação e a produção.";"Entrega de condecorações ou prémios#
Cerimónias fúnebres#
Manifestação de condolências#
Celebração de datas comemorativas#";;"A aquisição de bens ou serviços deve ser considerado em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#
A seleção dos premiados deve ser considerada em 850.10.500 – Atribuição de prémios#
A seleção para atribuição de prémios de reconhecimento da prestação de atos cívicos ou para distinções honoríficas deve ser considerada em 950.30.001 – Reconhecimento por mérito e serviços prestados#
A divulgação da cerimónia deve ser considerada em 900.20.201 - Edição e publicação de conteúdos#
As questões de segurança devem ser consideradas em 550#10 - Segurança pública#";;;PC;S;AP#;AP#;Assessorar#;"150.20.300#
300.10.005#
300.30.008#
350.30.001#
500.10.001#
550.10.001#
550.10.007#
850.10.500#
850.10.600#
900.10.001#
900.10.002#
900.20.601#
900.20.602#
950.30.001#";"Avaliação de atividades#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Segurança de espaços públicos e abertos ao público#
Prestação de escolta e guarda de honra#
Atribuição de prémios#
Atribuição de patrocínios#
Conceção e realização de atividades ou acontecimentos artísticos#
Conceção e realização de atividades desportivas ou recreativas#
Organização de cerimónias de tomada de posse e assinatura de documentos#
Organização de visitas institucionais#
Reconhecimento por mérito e serviços prestados#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Suplementar#
Sucessão (antecessor)#
Cruzada#
Sucessão (sucessor)#
Cruzada#
Sucessão (sucessor)#
Sucessão (antecessor)#
Cruzada#
Cruzada#
Cruzada#";Média;;;;;;;;;;;
;900.10.500.01;Organização e participação em homenagens e cerimónias comemorativas: preparação;"Planeamento e programação de iniciativas comemorativas ou de homenagem.
Inicia com a proposta e termina com a decisão relativa à execução da atividade.
Inclui o cronograma, a identificação dos intervenientes e a definição dos recursos a utilizar.";;;;;;;;;;;;;;;;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;C;"Densidade informacional:
Informação não recuperável noutro PN.";;;;
