Estado;Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Normalização Forma de contagem do prazo de cons. adm.;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;;;;;;;

;500;SUPERVISÃO, CONTROLO E RESPONSABILIZAÇÃO;Relativo às atividades de verificação da legalidade e da conformidade às normas, orientações e boas práticas, conduzidas por autoridades ou entidades autorizadas de regulação, de certificação e de supervisão, por autoridades de inspeção, ou pelos próprios organismos sobre os respetivos serviços, nomeadamente quando procedam a auditorias internas. Inclui o eventual subsequente processamento de ações de responsabilização, quando sejam de competência administrativa, bem como eventuais recursos hierárquicos e tutelares.;"Todos os domínios#
Operações de fiscalização levadas a cabo pelas forças segurança#";"Domínio tributário#
Domínio aduaneiro#
Domínio policial#
Domínio militar#
Domínio económico#
Domínio ambiental#
Domínio cultural#
Domínio financeiro#
Domínio gestão#
";"O controlo da execução de políticas, programas ou planos de atividades deve ser considerado em ""Planeamento e gestão estratégica"" (150).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;500.10;Inspeção, auditoria, fiscalização e monitorização de conformidade à norma;"Compreende os processos de verificação da conformidade legal, regulamentar e/ou normativa dos atos, produtos ou serviços de uma qualquer entidade singular ou coletiva, pública ou privada. Abrange processos de controlo prévio, de controlo concomitante e de controlo sucessivo.
Inclui o processamento das comunicações obrigatórias que a lei prevê que sejam feitas às autoridades de supervisão e controlo.";"Processos de inspeção#
Processos de fiscalização#
Processos de auditoria (interna ou externa) ou de averiguação#
Ações de vigilância ou monitorização
Processamento de comunicações obrigatórias efetuadas no cumprimento de funções de supervisão e controlo da legalidade ou de normativos adotados.
Acompanhamento aos processos conduzidos por entidades externas, europeias ou internacionais.";;"Quando haja lugar a operações ou ações que careçam de autorização prévia ou ratificação do Ministério Público (ilícitos criminais) deverá ser iniciado processo em ""Administração da justiça/ Prevenção e investigação criminal"" (600.10).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;500.10.001;Realização de auditorias;"Verificação de atos ou operações com o objetivo de analisar a conformidade dos mesmos com determinadas disposições legais e orientações aplicáveis no âmbito do desenvolvimento das atividades dos serviços ou entidades, podendo revestir a forma de controlo sucessivo e concomitante.
Inicia com o planeamento da intervenção e termina com o relatório final homologado.
Inclui a execução, a elaboração do relatório, o  procedimento do contraditório e o  envio à entidade competente para homologação.
";"Auditoria ao funcionamento de organismos públicos#
Auditoria a entidades privadas#
Auditorias internas e externas#
Fiscalização concomitante e sucessiva do Tribunal de Contas#";;"A concessão de visto prévio pelo Tribunal de Contas deve ser considerada em 500.10.002 – Fiscalização prévia do Tribunal de Contas#
As auditorias iniciais para certificação de qualidade de serviços devem ser classificadas em 450.10.648 – Reconhecimento das  características e origem de bens, produtos e serviços#
";"DL 276/2007#
DL 146/2012#
DL 58/2012#
Regulamento 189/2013#
Despacho 15171/2012#
Despacho 6387/2010#
Despacho 3786/2008#";"DL 276/2007
Diplomas específicos:
DL 146/2012#
DL 58/2012#
Regulamento 189/2013#
Despacho 15171/2012#
Despacho 6387/2010#
Despacho 3786/2008#";PC;S;ECA#;AP#;Comunicar#;"150.20.101#
150.20.300#
150.40.500#
500.20.001#
500.20.003#
500.20.300#
500.30.004#
600.10.500#
";"Planeamento estratégico de atividades#
Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Realização de averiguações#
Realização de inquérito#
Procedimento disciplinar#
Aplicação de sanções disciplinares#
Processamento de inquérito-crime#
";"Sucessão (sucessor)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
";Elevada;S;;;;;;;;;;;;;;;;;;;

;500.10.001.01;Realização de auditorias: Preparação e execução;"Desenvolvimento de todas as fases do processo de auditoria, com exceção da elaboração do relatório final.
Inclui o planeamento da auditoria, a comunicação ao auditado, a recolha de elementos, a notificação das conclusões e  recomendações provisórias e as alegações produzidas no âmbito do procedimento do contraditório.";;;;;;;;;;;;;;;;10;;"#Critério legal:
[Lei 98/97], artº 70 - Prazo prescricional  da responsabilidade financeira reintegratória.
Nota: A prescrição do procedimento interrompe-se com a citação do demandado em processo judicial.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Sintetizado no
PN 500.10.001.02 - Realização de auditorias: elaboração do relatório final.";;;;;;;;;;;;

;500.10.001.02;Realização de auditorias: elaboração do relatório final;Avaliação dos resultados da auditoria  e elaboração do relatório final.;;;;;;;;;;;;;;;;10;;"#Critério legal:
[Lei 98/97], artº 70 - Prazo prescricional  da responsabilidade financeira reintegratória.
Nota: A prescrição do procedimento interrompe-se com a citação do demandado em processo judicial.";Data de conclusão do procedimento;Data de encerramento do processo;C;"#Critério de densidade informacional:
Não é recuperável noutro PN.                                         ";;;;;;;;;;;;
