Estado;Código;Título;Descrição;Notas de aplicação;Exemplos de NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Normalização Forma de contagem do prazo de cons. adm.;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;;;;;;;

;550;EXECUÇÃO DE OPERAÇÕES DE SEGURANÇA, PROTEÇÃO OU DEFESA;Relativo à realização de ações operacionais de prevenção e contenção de riscos e ameaças (internas ou externas, de causa humana ou natural) à segurança nacional, à segurança coletiva e à segurança das pessoas individualmente consideradas, no que se inclui a garantia do regular funcionamento das instituições, a manutenção e reposição da ordem, segurança e tranquilidade públicas e a proteção e socorro a pessoas e bens.;"Operações e ações materiais que ocorram tanto em território nacional como no estrangeiro, de forma autónoma ou em cooperação com outras entidades nacionais ou estrangeiras#
Prestação de serviços de segurança, proteção e socorro#
Aplicável tanto às entidades que prestam os serviços referidos como às que solicitam a prestação dos mesmos#";;"A produção de informações no âmbito do SIRP deve ser considerada em ""Planeamento e gestão estratégica/ Produção de informações estratégicas e de segurança"" (150.30);
As operações de sensibilização das populações (por exemplo, exercícios de reação em cenário de acidente) devem ser consideradas em ""Dinamização e comunicação institucional/ Execução de atividades de dinamização da sociedade"" (900.10);
As operações de fiscalização da conformidade às normas (por exemplo, fiscalização de atividades de pesca, entre outras) devem ser consideradas em ""Supervisão, controlo e responsabilização/ Inspeção, auditoria, fiscalização e monitorização de conformidade à norma"" (500.10);
As autorizações (por exemplo, atribuição de licença de uso e porte de arma) devem ser consideradas em ""Reconhecimentos e permissões/ Licenciamentos, certificações e outras autorizações"" (450.10);
O registo e processamento de títulos de identificação e de autorização de circulação ou permanência de pessoas no país (por exemplo, passaporte, visto, autorização de residência) devem ser considerados em ""Prestação de serviços de identificação e registo/ Registo de dados de identificação e caracterização de entidades ou atos"" (400.10);
A participação em ações de deteção e investigação criminal deve ser considerada em ""Administração da justiça/ Prevenção e investigação criminal"" (600.10).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;550.10;"Segurança pública
";"Compreende as operações vocacionadas para a manutenção e Reposição da ordem e gestão de incidentes de segurança e segurança geral de pessoas e bens, nomeadamente no que respeita à prevenção e intervenção em situações perturbadoras da tranquilidade na rua e em locais públicos, à dissuasão de atentados à segurança de pessoas e bens e, ainda, ao controlo da entrada, permanência e saída de cidadãos nacionais e estrangeiros do país.
Compreende, igualmente, as atividades de proteção pessoal aos elementos dos órgãos de soberania, a altas entidades nacionais ou estrangeiras ou a qualquer cidadão sujeito a situação de ameaça relevante.
Compreende, ainda, as atividades de prestação das honras de Estado.";"Policiamento regular de espaços públicos#
Policiamento ou apoio policial no quadro de programas especiais (verão seguro, escola segura, programa de proteção de idosos, etc.)#
Operações de segurança rodoviária#
Apoio policial a eventos de alto risco ou iniciativas específicas (manifestações, concentrações, desfiles, cortejos, provas desportivas, entre outros)#
Segurança a pessoas e comitivas#
Policiamento a infraestruturas críticas (transportes, redes de energia, água, comunicações, infraestruturas logísticas, entre outras)#
Interdições de utilização decididas por entidades administrativas (por exemplo, interdição de utilização de praia)#
Apoio de forças de segurança a diligências diversas (circulação de boletins de voto, entrega de exames, realização de notificações, etc.)#
Interceção e controlo de pessoas na fronteira#
Ações de admissão/readmissão, afastamento, expulsão administrativa e condução à fronteira de pessoas em situação irregular#
";"Verão seguro#
Escola segura#
Programa de proteção de idosos#
Manifestações#
Concentrações#
Desfiles#
Cortejos#
Provas desportivas#
Transportes#
Redes de energia#
Redes de água#
Comunicações#
Infraestruturas logísticas#
Interdição de utilização de praia#
Circulação de boletins de voto#
Entrega de exames#
Realização de notificações#";"Quando haja lugar a operações ou ações que careçam de autorização prévia ou ratificação do Ministério Público (ilícitos criminais) deverá ser iniciado processo em ""Administração da justiça/Prevenção e investigação criminal"" (600.10).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;"550.10.001
";Segurança de espaços públicos e abertos ao público;"Operações de guarda, de vigia e de apoio à mobilidade, em situações de rotina ou no âmbito de acontecimentos ocasionais e temporários onde a previsão de risco é reduzida, em espaços públicos ou abertos ao público, edifícios e equipamentos públicos, costa marítima, cursos fluviais, parques, matas e florestas.
Inicia com a ação planeada e termina com o relato da operação.
Inclui indicação do pagamento do serviço, quando devido, alocação de meios e recursos adequados, captação e tratamento de imagem e som, sinalização de ocorrências, emissão da alerta aquando da deteção de anomalias e correspondente atuação.";"Monitorização de recursos tecnológicos de vigilância#
Operações de policiamento de espaço público e aberto ao público que decorram da requisição dos serviços de segurança por entidades públicas e privadas#
Operações de regulação do trânsito rodoviário e pedonal#
Reposição da ordem e gestão de incidentes de segurança que decorra do policiamento do espaço público e aberto ao público#
Policiamento de proximidade#
Operações para garantir a segurança rodoviária#";;"A segurança e vigilância de instalações e equipamentos públicos que não seja realizada por forças de segurança deve ser considerada em 300.40.504 – Controlo de segurança e vigilância de instalações e equipamentos públicos#
O processamento da requisição de serviços de segurança por entidades públicas e privadas deve ser considerado em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#
As operações de segurança no âmbito de eventos de alto risco, bem como a Reposição da ordem e gestão de incidentes de segurança que decorra no âmbito destes eventos devem ser consideradas em 550.10.002 – Ação de segurança a eventos de alto risco#
A Reposição da ordem e gestão de incidentes de segurança que decorra de intervenções não programadas deve ser considerada em 550.10.600 – Reposição da ordem e gestão de incidentes de segurança#
O processamento de contraordenação deve ser considerado em 500.30.001 – Processamento de contraordenações#";"DL 13/2017#
DL 216/2012#
Lei 49/2008#
DL 197/2008#
Lei 53/2007#
Lei 19/2004#
DL 81/95#";;PC;S;"FSS#
AL#";AP#;Iniciar#;"150.20.300#
150.30.001#
150.40.500#
300.10.005#
450.10.213#
500.10.301#
500.20.002#
500.20.003#
500.20.300#
500.30.001#
600.10.500#
900.10.001#
900.10.002#
900.10.500#
900.20.601#
900.20.602#
950.20.600#
";"Avaliação de atividades#
Produção e intercâmbio de informação estratégica para segurança interna e defesa#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Licenciamento ou comunicação de ocupação de espaços públicos#
Realização de fiscalização#
Realização de inquérito#
Realização de sindicância#
Procedimento disciplinar#
Processamento de contraordenações#
Processamento de inquérito-crime#
Conceção e realização de atividades ou acontecimentos artísticos#
Conceção e realização de atividades desportivas ou recreativas#
Organização e participação em homenagens e cerimónias comemorativas#
Organização de cerimónias de tomada de posse e assinatura de documentos#
Organização de visitas institucionais#
Processamento de avisos de exercício do direito de reunião em locais públicos#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Sucessão (sucessor)#
Suplementar#
Sucessão (antecessor)#
Suplementar#
Suplementar#
Suplementar#
Sucessão (antecessor)#
Cruzada#
Cruzada#
Sucessão (sucessor)#
Cruzada#
Suplementar#
Sucessão (antecessor)#
";Reduzida;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede de ação disciplinar (PN 500.20.002 - Realização de inquérito; PN 500.20.003 - Realização de sindicância) e de fiscalização (PN 500.10.301 - Realização de fiscalização - base para as Inspeções Sem Aviso Prévio a Postos da GNR e Esquadras da PSP, que tendencialmente não se debruçam sobre os atos de gestão).";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (operações efetuadas)";;;;;;;;;;;;

;"550.10.002
";Ação de segurança a eventos de alto risco;"Operações de segurança programadas, no âmbito de iniciativas públicas ou privadas de grande visibilidade e de impacto nacional ou cuja previsão de risco seja considerada elevada.
Inicia com a comunicação, interna ou externa, ou com a requisição do serviço e termina com o relato da operação.
Inclui indicação do pagamento do serviço, quando devido, diagnóstico de segurança e de avaliação de risco, definição da atuação, articulação das forças de segurança, quando devido, emissão de alerta aquando da deteção de anomalias e a correspondente atuação.";"Garante e reposição da ordem e gestão de incidentes de segurança que decorra da ação de segurança a eventos de alto risco#
Operações de policiamento a eventos de alto risco que decorram da requisição dos serviços de segurança por entidades públicas e privadas#";;"O processamento da requisição de serviços de segurança por entidades públicas e privadas deve ser considerado em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#
A Reposição da ordem e gestão de incidentes de segurança que decorra do policiamento do espaço público deve ser considerada em 550.10.001 – Segurança de espaços públicos e abertos ao público#
A Reposição da ordem e gestão de incidentes de segurança que decorra de intervenções não programadas deve ser considerada em 550.10.600 – Reposição da ordem e gestão de incidentes de segurança#";"DL 13/2017#
DL 216/2012#
DL 197/2008#
Lei 53/2007#
Lei 19/2004#
";;PE;S;FSS#;"AL#
FA#
SEF#
ANPC#";"Assessorar#
Assessorar#
Assessorar#
Assessorar#";"150.20.300#
150.30.001#
300.10.005#
350.30.001#
450.10.213#
500.10.001#
500.30.001#
500.20.002#
500.20.003#
500.20.300#
550.10.600#
600.10.500#
900.10.001#
950.20.600#";"Avaliação de atividades#
Produção e intercâmbio de informação estratégica para segurança interna e defesa#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Cobrança de receitas e pagamento de despesas#
Licenciamento ou comunicação de ocupação de espaços públicos#
Realização de auditorias#
Processamento de contraordenações#
Realização de inquérito#
Realização de sindicância#
Procedimento disciplinar#
Reposição da ordem e gestão de incidentes de segurança#
Processamento de inquérito-crime#
Conceção e realização de atividades ou acontecimentos artísticos#
Processamento de avisos de exercício do direito de reunião em locais públicos#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Sucessão (sucessor)#
Complementar#
Sucessão (antecessor)#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Sucessão (antecessor)#
Cruzada#
Sucessão (sucessor)#";Elevada;S;;;;;;;;;;;;;;;;;;;

;"550.10.002.01
";Ação de segurança a eventos de alto risco: preparação;"Inicia com planeamento da ação ou com a comunicação da requisição e termina a definição da atuação.
Inclui o diagnóstico de segurança e avaliação de risco.";;;;;;;;;;;550.10.002.02#;Ação de segurança a eventos de alto risco: realização e registo#;Síntese (sintetizado)#;;;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória [Lei 98/97], artº 70, nº 1 – 10 anos;
Prazo prescricional do procedimento contraordenacional [DL 433/82], Ilícito de mera ordenação social, artº 27 – 5 anos;
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.301 - Realização de fiscalização.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada no
PN 550.10.002.02 - Ação de segurança a eventos de alto risco: realização e registo.
A informação relativa à preparação da Ação de segurança a eventos de alto risco está sintetizada no relato da operação.";;;;;;;;;;;;
