Estado;Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Normalização Forma de contagem do prazo de cons. adm.;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;

;700;PRESTAÇÃO DE CUIDADOS DE SAÚDE;Relativo à prestação de cuidados preventivos, curativos ou continuados, assegurada em unidades do Serviço Nacional de Saúde, em contexto laboral (saúde ocupacional), em clinicas, nas escolas, em prisões ou em qualquer outro contexto onde sejam praticados atos clínicos para humanos ou animais.;Atos clínicos realizados no quadro da promoção da saúde  (rastreio, vacinação, consulta do viajante, etc.).#;;"A constituição de redes de referenciação dos serviços e unidades de prestação de serviços de saúde (primária e secundária) deve ser considerada em ""Planeamento e gestão estratégica/ Planeamento, avaliação e melhoria de serviços"" (150.20);#
As ações de promoção da saúde e/ou prevenção de doenças que se revistam da forma de campanhas de divulgação e informação, devem ser consideradas em ""Dinamização e comunicação institucional/ Execução de atividades de dinamização da sociedade"" (900.10);#
Os estudos científicos e técnico-científicos no domínio da saúde devem ser considerados em ""Prestação de serviços técnicos e científicos, investigação e desenvolvimento"" (800);#
Os serviços de assistência religiosa e/ou de assistência social ou psicossocial orientados à (re)integração social do utente dos serviços de saúde devem ser considerados em ""Prestação de serviços de proteção e inclusão social/ Serviços e equipamentos sociais"" (650.20).#";;;;;;;;;;;;;;;;;;;;;

;700.10;Gestão de utentes;Compreende as atividades de gestão do atendimento, admissão e encaminhamento de utentes dos serviços de saúde, no que se inclui os serviços de emergência médica.;"Referenciação dos doentes#
Organização do transporte de doentes#
Referenciação de colheitas e transplantes#
Gestão de inscritos para consultas, para cirurgia e para outros atos clínicos#";;"O registo nacional de ""utente de saúde"" deve ser considerado em ""Prestação de serviços de identificação e registo/ Registo de dados de identificação e caracterização de entidades ou atos"" (400.10).#";;;;;;;;;;;;;;;;;;;;;

;700.10.001;Referenciação de utentes para consultas;"Inscrição e monitorização das inscrições de utentes que aguardam a realização de consulta numa unidade de saúde.
Inicia com a inscrição na consulta e termina com a confirmação da realização da consulta ou cancelamento do registo.
Inclui identificação do utente, avaliação clinica da necessidade da consulta, verificação de disponibilidade e marcação de consulta, notificação ao utente do agendamento da consulta.";"Encaminhamento de utentes para referenciação em consultas de especialidade#
Marcação, alteração e cancelamento de atos clínicos médicos e de enfermagem no âmbito da Medicina do Trabalho#
Marcação de atos clínicos médicos e de enfermagem nas unidades de saúde dos Serviços Sociais#
Referenciação de utentes para consultas em unidades de saúde públicas ou privadas#
Referenciação para realizar MCDT (meios complementares de Diagnóstico e Terapêutica)#";;;"Lei 26/2016#
Portaria 95/2013#
Lei 12/2005#
Lei 67/98#";Lei 67/98 (3ª versão Lei 103/2015)#;PE;S;"UPCS#
AL#";"ARS-N#
ARS-C#
ARS-LVT#
ARS-Aln#
ARS-Alg#
ACSS#
AL#
ACES#
SMT#
HH#";"Decidir#
Decidir#
Decidir#
Decidir#
Decidir#
Comunicar#
Comunicar#
Comunicar#
Comunicar#
Comunicar#";"150.10.600#
150.20.101#
150.20.300#
150.20.501#
150.40.500#
300.10.008#
400.10.040#
500.10.301#
700.10.006#
700.20.200#
700.20.402#
700.20.404#
800.10.300#
";"Avaliação de políticas e instrumentos de operacionalização#
Planeamento estratégico de atividades#
Avaliação de atividades#
Análise e melhoria de serviços#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Estabelecimento de convenções com operadores privados#
Registo nacional de utentes#
Realização de fiscalização#
Registo clinico de utentes#
Prestação de cuidados de saúde personalizados#
Realização de consultas de especialidade#
Realização de cuidados de saúde de ambulatório médico#
Controlo ambiental de infraestruturas e equipamentos#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Suplementar#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
";Elevada;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27).
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 (Realização de fiscalização).";Data de conclusão do procedimento;Data da realização da consulta ou cancelamento do registo;E;"#Critério de densidade informacional:
A informação está sintetizada e é recuperável nos PN:
700.10.006 (Registo clinico de utentes)
700.20.200 (Prestação de cuidados de saúde personalizados);
700.20.402 (Realização de consultas de especialidade).
";"""O sistema informático de suporte ao CTH ( Consulta a tempo e horas ) visa agilizar o sistema de referenciação para as 1ºas consultas mas tem ainda subjacente a avaliação especializada dos pedidos inscritos, a identificação da prioridade de atendimento e a marcação de primeiras consultas com base nessa prioridade, permitindo a monitorização de todos os pedidos de consulta com identificação clara dos intervenientes e respetivo desempenho em termos de tempo de resposta e dos atos associados"".
";

;700.10.002;Referenciação de utentes para a rede de cuidados continuados integrados;"Informação decorrente de um conjunto de intervenções sequenciais integradas de saúde e apoio social em sequência de uma avaliação conjunta que visa promover a autonomia melhorando a funcionalidade do utente em situação de dependência, através da sua reabilitação, readaptação e reinserção familiar e social.
Inicia com a avaliação da necessidade de cuidados continuados e preparação da alta hospitalar em articulação com outros serviços e termina com a confirmação do ingresso ou a anulação do registo.
Inclui as atividades necessárias à execução do processo de referenciação de acordo com os interesses dos utentes e os recursos disponíveis na comunidade, nomeadamente, a nota de alta, os pareceres das equipas de gestão de altas, o envio dos processos de ingresso e de admissão para as unidades prestadoras. Inclui ainda, o consentimento informado e o termo de aceitação de internamento.

";;;Os internamentos hospitalares devem ser considerados em 700.20.400 – Internamento de doentes agudos e crónicos#;"DL 101/2006#
Portaria 174/2014#
Diretiva Técnica UMCCI 1/2008#
Diretiva Técnica UMCCI 5/2008#
Diretiva Técnica UMCCI 2/2012#
Diretiva Técnica UMCCI 5/2012#
Lei 12/2005#
Lei 26/2016#
Lei 67/98#";"Portaria 174/2014 (art 10, nº 2)#
Modelo de referenciação de utentes publicado pela Unidade de Missão para os Cuidados Continuados Integrados , versão Setembro de 2009#
Diretiva Técnica nº 1/ UMCCI/2008#
Diretiva Técnica nº 5/ UMCCI/2008#
Diretiva Técnica nº 2/ UMCCI/2012#
Diretiva Técnica nº 5/ UMCCI/2012#
 Lei 67/98 (3ª versão Lei 103/2015)#";PE;S;UPCS#;"ARS-N#
ARS-C#
ARS-LVT#
ARS-Aln#
ARS-Alg#
ACES#";"Comunicar#
Comunicar#
Comunicar#
Comunicar#
Comunicar#
Decidir#
";"150.10.600#
150.20.101#
150.20.300#
150.20.501#
150.40.001#
150.40.500#
400.10.040#
500.10.301#
700.10.006#
700.20.200#
700.20.300#
700.20.400#
700.20.402#
700.20.404#
700.20.407#
700.20.500#
700.20.600#


";"Avaliação de políticas e instrumentos de operacionalização#
Planeamento estratégico de atividades#
Avaliação de atividades#
Análise e melhoria de serviços#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo nacional de utentes#
Realização de fiscalização#
Registo clinico de utentes#
Prestação de cuidados de saúde personalizados#
Internamento de doentes agudos e crónicos#
Realização de cirurgias de ambulatório#
Realização de consultas de especialidade#
Realização de cuidados de saúde de ambulatório médico#
Prestação de cuidados de convalescença#
Prestação de cuidados de reabilitação#
Prestação de cuidados paliativos#
";"Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
";Elevada;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27).
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 (Realização de fiscalização).";Data de conclusão do procedimento;Data da emissão de nota de alta;E;"#Critério de densidade informacional:
A informação está sintetizada e é recuperável nos PN:
700.10.006 (Registo clinico de utentes)
700.20.407 (Prestação de cuidados de convalescença);
700.20.500 (Prestação de cuidados de reabilitação);
700.20.600 (Prestação de cuidados paliativos).




";"Portaria 174/2014, art. 10º nº 2 — O processo individual de cuidados continuados do utente deve ser permanentemente atualizado,|durante o internamento | sendo que, no que reporta a registo de observações, prescrições, administração de terapêutica e prestação de serviços e cuidados, deve ser anotada a data e a hora em que foram realizados, bem como a identificação clara do seu autor.
nº 4 - As unidades e equipas prestadoras asseguram o arquivo do processo individual do utente, em conformidade com a legislação vigente.";

;700.10.003;Referenciação de utentes para cirurgias;"Informação decorrente de um conjunto de procedimentos de encaminhamento de utentes para realização de cirurgias.
Inicia com a referenciação do médico de familia que encaminha o utente para consulta de especialidade ou na sequência de atendimemnto de urgencia na unidade hospitalar e termina com a confirmação da realização da cirurgia ou cancelamento do registo. 
Incluí inscrição dos utentes através da plataforma para a gestão de inscritos para cirurgia e referenciação para outras unidades do setor público ou setor privado ou social através da emissão de um cheque cirúrgico.

";;;;"Portaria 45/2008#
Lei 12/2005#
Lei 26/2016#
Lei 67/98#";Lei 67/98 (3ª versão Lei 103/2015)#;PE;S;UPCS#;"ARS-N#
ARS-C#
ARS-LVT#
ARS-Aln#
ARS-Alg#
ACSS#
HH#";"Comunicar#
Comunicar#
Comunicar#
Comunicar#
Comunicar#
Decidir#
Comunicar#";"150.10.600#
150.20.101#
150.20.300#
150.20.501#
150.40.500#
400.10.040#
500.10.301#
700.10.006#
700.20.200#
700.20.300#
700.20.400#
700.20.401#
700.20.402#

";"Avaliação de políticas e instrumentos de operacionalização#
Planeamento estratégico de atividades#
Avaliação de atividades#
Análise e melhoria de serviços#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo nacional de utentes#
Realização de fiscalização#
Registo clinico de utentes#
Prestação de cuidados de saúde personalizados#
Prestação de cuidados de emergência médica#
Internamento de doentes agudos e crónicos#
Realização de cirurgias de ambulatório#
Realização de consultas de especialidade#

";"Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#

";Elevada;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27).
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 (Realização de fiscalização).";Data de conclusão do procedimento;Data da realização da cirurgia ou cancelamento do registo;E;"#Critério de densidade informacional:
A informação está sintetizada e é recuperável nos PN:
700.10.006 (Registo clinico de utentes);
700.20.200 (Prestação de cuidados de saúde personalizados);
700.20.400 (Internamento de doentes agudos e crónicos);
700.20.401 (Realização de cirurgias de ambulatório)
700.20.402 (Realização de consultas de especialidade).";;
