Sigla;Designação;"Tipologia";AP;Privados c/ FP;;;;;;;;;;;;;

A3ES;Agência de Avaliação e Acreditação do Ensino Superior;Organização;N;X;;;;;;;;;;;;;

AAC;Autoridades Administrativas Civis;Conjunto de Organizações;AP;;;;;;;;;;;;;;

AADR;Assembleias de apuramento distrital de resultados;Conjunto de Organizações;AP;;;;;;;;;;;;;;

AAGR;Assembleias de apuramento geral dos resultados;Conjunto de Organizações;AP;;;;;;;;;;;;;;

AAN;Autoridade Aeronáutica Nacional;Organização;AP;;;;;;;;;;;;;;

ACE;Administração Central do Estado ;Conjunto de Organizações;AP;;;;;;;;;;;;;;

ACES;Agrupamentos de Centros de Saúde;Conjunto de Organizações;AP;;;;;;;;;;;;;;

ACSS;Administração Central do Sistema de Saúde, IP;Organização;AP;;;;;;;;;;;;;;

ACT;Autoridade para as Condições de Trabalho;Organização;AP;;;;;;;;;;;;;;

ADSE;Direção-Geral de Proteção Social aos Trabalhadores em Funções Públicas;Organização;AP;;;;;;;;;;;;;;

AF;Assembleias de Freguesia;Conjunto de Organizações;AP;;;;;;;;;;;;;;

AICEP;Agência para o Investimento e Comércio Externo de Portugal ;Organização;AP;;;;;;;;;;;;;;

AISAN;Agência ISAN Portugal;Organização;N;;;;;;;;;;;;;;

AJ;Autoridades judiciárias;Conjunto de Organizações;AP;;;;;;;;;;;;;;

AL;Autarquias Locais;Conjunto de Organizações;AP;;;;;;;;;;;;;;

ALRAA;Assembleia Legislativa da Região Autónoma dos Açores;Organização;AP;;;;;;;;;;;;;;

ALRAM;Assembleia Legislativa da Região Autónoma da Madeira;Organização;AP;;;;;;;;;;;;;;

AM;Assembleias Municipais;Conjunto de Organizações;AP;;;;;;;;;;;;;;

AMN;Autoridade Marítima Nacional;Organização;AP;;;;;;;;;;;;;;

ANA;ANA - Aeroportos de Portugal;Organização;N;X;;;;;;;;;;;;;

ANAC;Autoridade Nacional da Aviação Civil;Organização;AP;;;;;;;;;;;;;;

ANACOM;Autoridade Nacional de Comunicações;Organização;AP;;;;;;;;;;;;;;

ANCP;Agência Nacional de Compras Públicas ;Organização;AP;;;;;;;;;;;;;;

ANMP;Associação Nacional de Municípios Portugueses;Organização;N;;;;;;;;;;;;;;

ANPC;Autoridade Nacional de Proteção Civil;Organização;AP;;;;;;;;;;;;;;

ANQEP;Agência Nacional para a Qualificação e o Ensino Profissional, IP;Organização;AP;;;;;;;;;;;;;;

ANS;Autoridade Nacional de Segurança ;Organização;AP;;;;;;;;;;;;;;

ANSR;Autoridade Nacional de Segurança Rodoviária;Organização;AP;;;;;;;;;;;;;;

ANTRAL;Associação Nacional dos Transportes Rodoviários em Automóveis Ligeiros;Organização;N;;;;;;;;;;;;;;

AP;Administração Pública;Conjunto de Organizações;AP;;;;;;;;;;;;;;

APA;Agência Portuguesa do Ambiente, IP;Organização;AP;;;;;;;;;;;;;;

APAV;Associação Portuguesa de Apoio à Vítima;Organização;N;;;;;;;;;;;;;;

APEL;Associação Portuguesa de Editores e Livreiros;Organização;N;;;;;;;;;;;;;;

AR;Assembleia da República;Organização;N;;;;;;;;;;;;;;

ARS-Alg;Administração Regional de Saúde do Algarve;Organização;AP;;;;;;;;;;;;;;

AS;Autoridades de Saúde;Tipologia de Organização;AP;;;;;;;;;;;;;;

ARS-Aln;Administração Regional de Saúde do Alentejo;Organização;AP;;;;;;;;;;;;;;

ARS-C;Administração Regional de Saúde do Centro;Organização;AP;;;;;;;;;;;;;;

ARS-LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo;Organização;AP;;;;;;;;;;;;;;

ARS-N;Administração Regional de Saúde do Norte;Organização;AP;;;;;;;;;;;;;;

ASAE;Autoridade de Segurança Alimentar e Económica;Organização;AP;;;;;;;;;;;;;;

