Ano do diploma;Tipo de diploma;N.º do diploma;Data do diploma;Título / âmbito do diploma;Link;;
1941;Decreto;31730/1941;15 de dezembro;Regulamento das Alfândegas;https://dre.pt/application/file/469131;;
1960;DL;43453/1960;30 de dezembro;Altera algumas disposições da Lei n.º 1933 (dívida pública) e cria o Fundo de regularização da dívida pública e o Fundo de renda vitalícia, em substituição do Fundo de amortização da dívida pública - Autoriza o Ministro das Finanças a mandar emitir, por intermédio da Junta do Crédito Público, títulos da dívida pública nominativos e amortizáveis, denominados certificados de aforro, destinados a conceder uma aplicação remuneradora aos pequenos capitais - Revoga determinadas disposições da referida lei e dos Decretos-Leis n.os 31089 e 38811.;https://dre.pt/application/file/479772;;
1966;DL;47344/66;25 de novembro;Aprova o Código Civil e regula a sua aplicação - Revoga, a partir da data da entrada em vigor do novo Código Civil, toda a legislação civil relativa às matérias que o mesmo abrange;http://dre.pt/pdf1sdip/1966/11/27400/18832086.pdf;;
1969;Decreto;49029/69;26 de maio;Promulga o Regulamento do Processo de Execução da Convenção Internacional sobre o Limite de Responsabilidade dos Proprietários dos Navios de Alto Mar, concluída em Bruxelas em 10 de Outubro de 1957.;https://dre.pt/application/file/201110;;
1970;DL;74/70;2 de março;Insere disposições destinadas a tomar as providências necessárias no sentido de se constituir em operações de tesouraria as reservas pecuniárias para ocorrer a despesas com a cobertura dos riscos por prejuízos causados no património do Estado, provenientes de circunstâncias acidentais ou fortuitas, e à responsabilidade pelos danos derivados de quaisquer acidentes no trabalho resultantes do exercício normal das funções dos servidores do Estado ou de quaisquer indivíduos que lhe prestem serviço - Revoga o artigo 28.º do Decreto-Lei n.º 38523, mantendo-se em vigor o seu § único, para aplicação aos serviços que menciona.;https://dre.pt/application/file/228490;;
1972;DL;265/72;31 de julho;Aprova o Regulamento Geral das Capitanias;https://dre.pt/application/file/408463;;
1972;DL;498/72;9 de dezembro;Promulga o Estatuto da Aposentação;https://dre.pt/application/file/685276;;
1974;DL;406/74;29 de agosto ;Garante e regulamenta o direito de reunião;https://dre.pt/application/file/a/424815;;
1975;Decreto;55/75;12 de fevereiro;Aprova o Regulamento do Registo de Automóveis;https://dre.pt/application/file/159844;;
1975;Diretiva (UE);2010/75/UE ;24 de novembro;Relativa às emissões industriais (prevenção e controlo integrados da poluição) - Reformulação;http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2010:334:0017:0119:pt:PDF;;
1975;DL;54/75;13 de fevereiro;Remodela o actual sistema de registo da propriedade automóvel;https://dre.pt/application/file/159843;;
1976;DL;319-A/76;3 de maio;Regulamenta a eleição do Presidente da República;https://dre.pt/application/file/655817;;
1977;DL;460/77;7 de novembro;Aprova o estatuto das colectividades de utilidade pública;https://dre.pt/application/file/277734;;
1977;DL;496/77;25 de novembro;Introduz alterações ao Código Civil;https://dre.pt/application/file/300130;;
1978;Decreto;73/78;26 de julho;Aprova, para adesão, o Acto de Paris da Convenção de Berna para a Proteção das Obras Literárias e Artísticas;https://dre.pt/application/file/297088;;
1978;DL;156/78;30 de junho;Regime de recrutamento e funções dos juízes sociais;http://dre.pt/pdf1sdip/1978/06/14800/11751179.pdf;;
1978;Lei;64/78;6 de outubro;Insere disposições relativas a organizações fascistas;https://dre.pt/application/file/328565;;
