Sigla;Designação;"Organismo
Conjunto de Organismos
Tipologia de Organismos";AP;Privados c/ FP;;;;;;;;;;;;;

A3ES;Agência de Avaliação e Acreditação do Ensino Superior;Organismo;N;X;;;;;;;;;;;;;

AAC;Autoridades Administrativas Civis;Conjunto de organismos;AP;;;;;;;;;;;;;;

AADR;Assembleias de apuramento distrital de resultados;Conjunto de organismos;AP;;;;;;;;;;;;;;

AAGR;Assembleias de apuramento geral dos resultados;Conjunto de organismos;AP;;;;;;;;;;;;;;

AAN;Autoridade Aeronáutica Nacional;Organismo;AP;;;;;;;;;;;;;;

ACE;Administração Central do Estado ;Conjunto de organismos;AP;;;;;;;;;;;;;;

ACES;Agrupamentos de Centros de Saúde;Conjunto de organismos;AP;;;;;;;;;;;;;;

ACSS;Administração Central do Sistema de Saúde, IP;Organismo;AP;;;;;;;;;;;;;;

ACT;Autoridade para as Condições de Trabalho;Organismo;AP;;;;;;;;;;;;;;

ADSE;Direção-Geral de Proteção Social aos Trabalhadores em Funções Públicas;Organismo;AP;;;;;;;;;;;;;;

AF;Assembleias de Freguesia;Conjunto de organismos;AP;;;;;;;;;;;;;;

AICEP;Agência para o Investimento e Comércio Externo de Portugal ;Organismo;AP;;;;;;;;;;;;;;

AISAN;Agência ISAN Portugal;Organismo;N;;;;;;;;;;;;;;

AJ;Autoridades judiciárias;Conjunto de organismos;AP;;;;;;;;;;;;;;

AL;Autarquias Locais;Conjunto de organismos;AP;;;;;;;;;;;;;;

ALRAA;Assembleia Legislativa da Região Autónoma dos Açores;Organismo;AP;;;;;;;;;;;;;;

ALRAM;Assembleia Legislativa da Região Autónoma da Madeira;Organismo;AP;;;;;;;;;;;;;;

AM;Assembleias Municipais;Conjunto de organismos;AP;;;;;;;;;;;;;;

AMN;Autoridade Marítima Nacional;Organismo;AP;;;;;;;;;;;;;;

ANA;ANA - Aeroportos de Portugal;Organismo;N;X;;;;;;;;;;;;;

ANAC;Autoridade Nacional da Aviação Civil;Organismo;AP;;;;;;;;;;;;;;

ANACOM;Autoridade Nacional de Comunicações;Organismo;AP;;;;;;;;;;;;;;

ANCP;Agência Nacional de Compras Públicas ;Organismo;AP;;;;;;;;;;;;;;

ANMP;Associação Nacional de Municípios Portugueses;Organismo;N;;;;;;;;;;;;;;

ANPC;Autoridade Nacional de Proteção Civil;Organismo;AP;;;;;;;;;;;;;;

ANQEP;Agência Nacional para a Qualificação e o Ensino Profissional, IP;Organismo;AP;;;;;;;;;;;;;;

ANS;Autoridade Nacional de Segurança ;Organismo;AP;;;;;;;;;;;;;;

