Título da classe de terceiro nível / quarto nível;Código;Termo
Produção e comunicação de atos legislativos;100.10.001;Ato legislativo, produção e comunicação de
Produção e comunicação de atos legislativos;100.10.001;Comunicação de ato legislativo
Produção e comunicação de atos legislativos;100.10.001;Declaração de estado de emergência 
Produção e comunicação de atos legislativos;100.10.001;Declaração de estado de sítio 
Produção e comunicação de atos legislativos;100.10.001;Decreto da Assembleia da República 
Produção e comunicação de atos legislativos;100.10.001;Decreto legislativo regional 
Produção e comunicação de atos legislativos;100.10.001;Decreto-lei 
Produção e comunicação de atos legislativos;100.10.001;Diploma legislativo, produção e comunicação de 
Produção e comunicação de atos legislativos;100.10.001;Diretiva comunitária, transposição de
Produção e comunicação de atos legislativos;100.10.001;Estatutos, produção e comunicação de atos legislativos a aplicar em
Produção e comunicação de atos legislativos;100.10.001;Lei constitucional, produção e comunicação de 
Produção e comunicação de atos legislativos;100.10.001;Lei do Orçamento de Estado 
Produção e comunicação de atos legislativos;100.10.001;Lei orgânica, produção e comunicação de 
Produção e comunicação de atos legislativos;100.10.001;Lei, produção e comunicação de
Produção e comunicação de atos legislativos;100.10.001;Produção de ato legislativo
Produção e comunicação de atos legislativos;100.10.001;Projeto de lei 
Produção e comunicação de atos legislativos;100.10.001;Promulgação de diploma
Produção e comunicação de atos legislativos;100.10.001;Proposta de lei 
Produção e comunicação de atos legislativos;100.10.001;Resolução do Conselho de Ministros
Produção e comunicação de atos legislativos;100.10.001;Transposição de diretiva comunitária 
Aprovação e comunicação de convenções internacionais;100.10.002;Acordo internacional, vinculação do Estado a 
Aprovação e comunicação de convenções internacionais;100.10.002;Aprovação de convenção internacional
Aprovação e comunicação de convenções internacionais;100.10.002;Comunicação de convenção internacional
Aprovação e comunicação de convenções internacionais;100.10.002;Depósito de instrumento de regulação
Aprovação e comunicação de convenções internacionais;100.10.002;Ratificação de convenção internacional
Aprovação e comunicação de convenções internacionais;100.10.002;Ratificação de tratado internacional
Aprovação e comunicação de convenções internacionais;100.10.002;Tratado internacional, aprovação e comunicação de 
Comunicação de decisões dos tribunais a que a lei confira força obrigatória geral;100.10.003;Acórdão de declaração da inconstitucionalidade com força obrigatória legal
Comunicação de decisões dos tribunais a que a lei confira força obrigatória geral;100.10.003;Declaração da inconstitucionalidade com força obrigatória legal
Comunicação de decisões dos tribunais a que a lei confira força obrigatória geral;100.10.003;Inconstitucionalidade com força obrigatória legal, acórdão de declaração da
Comunicação de decisões dos tribunais a que a lei confira força obrigatória geral;100.10.003;Tribunal Constitucional, comunicação de decisão com força obrigatória geral 
Produção e comunicação de atos regulamentares gerais;100.10.200;Decreto Regulamentar 
Produção e comunicação de atos regulamentares gerais;100.10.200;Portaria, produção e comunicação de
Produção e comunicação de atos regulamentares gerais;100.10.200;Produção e comunicação de ato regulamentar geral
Produção e comunicação de atos regulamentares locais;100.10.400;Postura municipal
Produção e comunicação de atos regulamentares locais;100.10.400;Produção e comunicação de ato regulamentar local
Produção e comunicação de atos regulamentares locais;100.10.400;Regulamento municipal 
Produção e comunicação de regras institucionais;100.10.600;Ato administrativo individual 
Produção e comunicação de regras institucionais;100.10.600;Aviso, produção e comunicação institucional de
Produção e comunicação de regras institucionais;100.10.600;Circular interna
Produção e comunicação de regras institucionais;100.10.600;Circular normativa
Produção e comunicação de regras institucionais;100.10.600;Delegação de competências, despacho de
